#{"t_start": 1784737866.121793, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
583.784786,85,0.193839
683.059664,97,0.413557
421.042867,63,0.565921
349.591344,57,0.691063
343.225965,54,0.825481
295.891427,50,0.932731
333.777233,56,1.056087
423.738906,63,1.189943
292.074239,51,1.312103
784.764152,108,1.556674
380.969397,60,1.685442
220.963517,40,1.768268
341.464316,53,1.88239
432.481714,67,2.030327
557.928693,81,2.225836
339.193845,52,3.166458
519.802808,77,3.336098
364.466221,60,3.470044
291.874315,49,3.575139
770.919049,106,3.818774
535.509239,77,3.995998
429.769629,65,4.142441
269.896982,52,4.258594
742.463946,104,4.486259
285.904079,48,4.593968
361.45016,57,4.718024
417.06885,68,4.875563
400.531795,61,5.010001
651.142159,89,5.617846
445.659588,67,5.765745
433.457647,67,6.778175
185.618968,33,6.854329
380.111264,60,6.999152
381.960944,58,7.138359
473.79438,70,7.304354
638.539868,93,7.53865
279.18793,46,7.643035
330.938602,54,7.774029
323.888637,52,7.900496
467.590235,69,8.056082
735.672781,102,8.284555
243.061807,45,8.416288
566.335945,86,8.632851
261.467343,45,8.747495
567.505566,81,8.94976
414.308281,67,9.11293
626.842619,92,10.167953
486.593235,72,10.339561
264.94508,44,10.437896
730.325509,103,10.667897
1034.187187,142,10.989672
844.519234,116,11.24414
367.89982,57,11.366659
269.001877,45,11.470696
253.696518,45,12.076517
373.323775,61,12.228994
496.491097,72,12.413086
448.299631,68,12.574788
511.523681,75,12.749803
417.463257,68,13.701591
403.710335,61,13.835351
777.42492,107,14.068646
646.456931,92,14.267773
456.18999,69,14.423085
710.413765,101,14.6459
1152.146148,155,15.006419
1350.931695,179,15.404984
1145.707212,157,15.746005
977.599345,132,16.82732
725.130316,99,17.034435
1425.653054,197,17.458948
2871.323031,368,19.81833
555.707237,81,19.99543
544.16816,80,20.182626
598.902434,86,20.385497
359.850116,56,20.508018
4038.246394,522,22.464151
1330.860854,176,22.84685
749.518069,117,23.096691
3623.167002,458,24.871704
3915.665517,494,29.984997
2280.50107,302,31.573754
