time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
2.5500000000000003,-0.5778935,-1.7974819,-0.0556175,1.4035315,-24.0,3,0.9999999,-0.1571574,-0.1584707
2.6,-0.6771278,-1.5586594,0.0074129,0.6819836,21.0,3,0.9999999,0.1422942,0.1432664
2.65,-0.7705247,-0.8274525,0.0400297,0.2814772,51.0,3,0.9999999,0.3402855,0.3544155
2.7,-0.7063143,-0.7189839,0.0340994,0.4841514,132.0,3,0.9999999,0.8780865,1.3673485
2.75,-0.6771278,0.7591876,0.0459601,-0.151363,148.0,3,0.9999999,0.9837445,2.4021532
2.8000000000000003,-0.6654531,0.5957536,0.0252039,-0.3506384,-5.0,3,0.9999999,-0.030619,-0.0306286
2.85,-0.624592,0.3510138,-0.0158907,0.114126,75.0,3,0.9999999,0.4998403,0.5490931
2.9,-0.6479413,-1.8544853,-0.0333705,1.0506007,-94.0,3,0.9999999,-0.6289129,-0.7396157
2.95,-0.5778935,-0.6275851,0.0148258,0.3276642,89.0,3,0.9999999,0.5956966,0.68645
3.0,-0.6012427,1.0309889,0.0518904,-0.7968829,36.0,3,0.9999999,0.2411723,0.2460184
3.0500000000000003,-0.5195205,1.1549347,0.0014826,-0.7307474,-74.0,3,0.9999999,-0.4922889,-0.5390768
3.1,-0.4553101,0.3064089,-0.0301923,-0.4007311,-145.0,3,0.9999999,-0.9637516,-1.996109
3.15,-0.3560758,0.6383248,-0.0333705,-0.2437134,-20.0,3,0.9999999,-0.132049,-0.1328247
3.2,-0.3385639,0.0722379,-0.0031781,0.3267604,133.0,3,0.9999999,0.886875,1.407092
3.25,-0.3852623,-0.8835085,-0.046083,0.3638288,-138.0,3,0.9999999,-0.9211815,-1.5967743
3.3000000000000003,-0.4261235,-1.5678233,-0.0095344,0.6570422,-73.0,3,0.9999999,-0.4854004,-0.5300253
3.35,-0.5545443,-1.3909791,0.0340994,0.1569149,-91.0,3,0.9999999,-0.6059012,-0.7024194
3.4,-0.60708,-0.057875,0.0563381,-0.6160271,-108.0,3,0.9999999,-0.7167582,-0.9009462
3.45,-0.4786593,0.8076492,0.0266865,-0.9759604,-130.0,3,0.9999999,-0.8679672,-1.3247778
3.5,-0.4553101,-0.2472719,-0.0143016,-0.0387589,-90.0,3,0.9999999,-0.6029434,-0.6977589
3.5500000000000003,-0.4436355,0.0720219,0.0074129,-0.3413758,-108.0,3,0.9999999,-0.7180203,-0.9035465
3.6,-0.4436355,0.6329066,-0.0047672,-0.8615736,-147.0,3,0.9999999,-0.9774824,-2.2376396
3.65,-0.4553101,-1.4944097,-0.0301923,0.4618946,-136.0,3,0.9999999,-0.9077786,-1.5147511
3.7,-0.472822,-2.065551,0.0148258,1.1625609,106.0,3,0.9999999,0.7083932,0.8839512
3.75,-0.5311951,0.2782624,0.0385472,-0.2625643,132.0,3,0.9999999,0.877419,1.3644405
3.8000000000000003,-0.548707,-0.4206377,0.0148258,0.3942889,132.0,3,0.9999999,0.8818688,1.3841122
3.85,-0.5895681,-2.3529579,-0.0286033,0.604513,-142.0,3,0.9999999,-0.9449776,-1.7826323
3.9,-0.6421039,-1.6381049,0.0266865,0.1779033,-138.0,3,0.9999999,-0.9227051,-1.6069301
3.95,-0.6187547,0.6274278,0.0815421,-0.7126446,101.0,3,0.9999999,0.676077,0.8218526
4.0,-0.6421039,0.9906796,0.0370646,-0.6977422,38.0,3,0.9999999,0.2563168,0.2621622
4.05,-0.6654531,-0.7675662,-0.0158907,0.1416701,-142.0,3,0.9999999,-0.9469158,-1.8010604
4.1,-0.7355008,-2.4993314,0.0044477,1.3310312,141.0,3,0.9999999,0.9373577,1.7158195
4.15,-0.8055485,-2.0138251,0.0504078,0.9506215,62.0,3,0.9999999,0.4133626,0.4396601
4.2,-0.7821993,1.0150556,0.0800595,-0.6243757,142.0,3,0.9999999,0.944722,1.7802495
4.25,-0.7355008,1.335985,0.0489252,-0.6296524,121.0,3,0.9999999,0.8043385,1.1107815
4.3,-0.8347351,-1.3484802,-0.0301923,0.7655144,-103.0,3,0.9999999,-0.6866772,-0.8416408
4.3500000000000005,-0.8697589,-2.1133208,0.0207562,1.1485695,81.0,3,0.9999999,0.5375681,0.600729
4.4,-0.928132,-0.8683699,0.0400297,0.3413323,18.0,3,0.9999999,0.1217458,0.1223527
4.45,-0.9106201,0.8446216,0.0681988,-0.4649439,108.0,3,0.9999999,0.7229171,0.9137288
4.5,-0.9456439,0.5027041,0.0103781,-0.7809691,-150.0,3,0.9999999,-0.9975246,-3.3466358
4.55,-1.0332036,-0.2662929,0.0014826,-0.52717,-150.0,3,0.9999999,-0.9995052,-4.1521034
4.6000000000000005,-1.0507154,-0.6309251,0.0578207,0.7769147,149.0,3,0.9999999,0.9903446,2.6642727
4.65,-1.0098543,0.6911517,0.0415123,-0.7797426,-146.0,3,0.9999999,-0.9710165,-2.1097891
4.7,-1.0507154,0.8177764,0.0415123,-0.7476157,-144.0,3,0.9999999,-0.9606554,-1.9543378
4.75,-0.9806678,1.5923089,0.0429949,-0.7356719,-11.0,3,0.9999999,-0.0705584,-0.0706758
4.8,-0.928132,0.9996579,0.0074129,-0.3634034,-110.0,3,0.9999999,-0.7318249,-0.9326453
4.8500000000000005,-0.8814335,0.5524119,-0.0095344,-0.3539665,-145.0,3,0.9999999,-0.9657789,-2.0253994
4.9,-0.8230605,1.2869961,0.0103781,-0.6125071,-107.0,3,0.9999999,-0.7113818,-0.8899757
4.95,-0.7296636,2.3261392,0.0044477,-0.7886996,121.0,3,0.9999999,0.8049473,1.1125085
5.0,-0.776362,-0.5694535,-0.046083,0.8104145,-44.0,3,0.9999999,-0.291026,-0.2996868
5.05,-0.776362,-1.2241727,-0.0286033,0.7081242,-64.0,3,0.9999999,-0.4250368,-0.4538234
5.1000000000000005,-0.7880366,0.3402575,0.0281691,-0.2935649,-74.0,3,0.9999999,-0.4964963,-0.5446455
5.15,-0.7471755,2.0440642,0.0311342,-1.169714,-78.0,3,0.9999999,-0.5172065,-0.5725185
5.2,-0.7880366,-0.1058496,-0.0270142,0.0017213,-144.0,3,0.9999999,-0.959729,-1.9424653
5.25,-0.8230605,-1.4481879,-0.0031781,0.8140843,-11.0,3,0.9999999,-0.074118,-0.0742542
5.3,-0.7938739,-0.5672088,0.0400297,0.0566506,-32.0,3,0.9999999,-0.2124616,-0.215748
5.3500000000000005,-0.682965,1.4627232,0.0578207,-0.6180293,144.0,3,0.9999999,0.9613741,1.9637392
5.4,-0.5837308,2.2696015,0.0163084,-0.7100031,141.0,3,0.9999999,0.9409893,1.7466174
5.45,-0.5545443,0.796401,-0.0524393,-0.2068168,-122.0,3,0.9999999,-0.8128751,-1.1354466
5.5,-0.5136832,-0.0308852,-0.0349596,0.1227611,-120.0,3,0.9999999,-0.8016369,-1.1031758
5.55,-0.5603816,0.1174859,-0.0047672,-0.074144,-83.0,3,0.9999999,-0.5534362,-0.6233211
5.6000000000000005,-0.6187547,-0.2032454,-0.0143016,-0.1813823,-146.0,3,0.9999999,-0.971182,-2.1126935
5.65,-0.5428697,-0.268014,-0.0047672,-0.1227697,-134.0,3,0.9999999,-0.8944174,-1.4435867
5.7,-0.6129174,-1.7311567,-0.0143016,0.7060134,-114.0,3,0.9999999,-0.7592188,-0.9943683
5.75,-0.700477,-0.4076214,0.0518904,-0.1493046,-2.0,3,0.9999999,-0.0110323,-0.0110327
5.8,-0.7938739,-0.5892086,0.0340994,-0.2110752,-136.0,3,0.9999999,-0.9072803,-1.5119264
5.8500000000000005,-0.7705247,-0.6241164,0.0340994,-0.2043411,-137.0,3,0.9999999,-0.91294,-1.5448992
5.9,-0.7296636,0.1638367,0.0340994,-0.1336856,107.0,3,0.9999999,0.7116848,0.8905898
5.95,-0.7705247,-0.1438617,0.0340994,0.3543238,144.0,3,0.9999999,0.962072,1.9730331
6.0,-0.7471755,0.5919234,0.0252039,-0.4428039,-58.0,3,0.9999999,-0.3858391,-0.4069021
6.05,-0.700477,-0.2455772,0.0044477,0.4064475,103.0,3,0.9999999,0.687323,0.8428639
6.1000000000000005,-0.7238263,1.0046205,0.0074129,-0.7611356,-134.0,3,0.9999999,-0.8944417,-1.4437085
6.15,-0.7997112,-1.2878922,0.0044477,0.9447925,111.0,3,0.9999999,0.7387347,0.9476881
6.2,-0.8755962,-0.5187149,0.0148258,-0.3009337,-149.0,3,0.9999999,-0.9931826,-2.8390062
6.25,-0.8172231,-0.342009,0.0266865,0.1980866,79.0,3,0.9999999,0.5252255,0.5835289
6.3,-0.6771278,1.5806045,0.0340994,-1.067828,-86.0,3,0.9999999,-0.5741055,-0.6536253
6.3500000000000005,-0.6596158,1.6201499,0.0029652,-0.9834414,-131.0,3,0.9999999,-0.8707564,-1.3361994
6.4,-0.7880366,-1.3124068,-0.0333705,0.6078596,-129.0,3,0.9999999,-0.8590248,-1.2896115
6.45,-0.7355008,-0.5099772,-0.0079454,0.309223,-67.0,3,0.9999999,-0.4494513,-0.4840125
6.5,-0.7121516,-0.7464375,0.0400297,0.8879579,149.0,3,0.9999999,0.9949115,2.9856853
6.55,-0.700477,0.7527134,0.0148258,-0.2446032,100.0,3,0.9999999,0.6664895,0.8043999
