#{"t_start": 1784742743.9584525, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
368.673593,56,1.859678
664.829614,93,2.18496
282.082258,50,2.369266
855.458785,116,2.798432
906.211937,122,3.251919
365.41024,55,3.462711
338.708521,58,3.675498
475.050932,70,3.928004
314.072935,51,4.123163
391.122342,64,4.357175
268.643693,45,4.521474
462.637925,70,4.783492
298.733948,48,4.963497
635.716017,88,5.297184
590.127635,86,7.271
695.801197,97,7.637852
177.98677,33,7.752506
329.264882,53,7.950436
318.895822,50,8.13332
237.527523,43,8.285876
288.075103,50,8.471687
448.215538,67,8.735132
643.85163,90,9.109336
497.831372,75,10.221244
231.716366,40,10.366508
705.23081,96,10.728908
716.044599,102,11.124552
609.304324,86,11.481193
324.56434,53,11.674525
386.138943,58,13.548207
847.518358,117,13.965706
250.443876,41,14.139086
600.586269,87,14.455995
400.631298,64,14.707629
775.818634,107,15.113316
328.794924,54,15.338041
338.258513,58,15.551921
709.403911,98,15.935608
564.693372,83,16.243066
797.711969,111,16.677474
561.714326,79,16.97292
538.352004,78,17.259773
294.66654,48,19.083008
846.100209,117,20.568341
721.140723,102,20.952456
1007.554716,137,21.450595
1079.769938,146,21.982157
407.478525,62,22.216639
937.401449,128,22.69856
562.753614,84,23.005399
538.966135,81,23.30842
784.077094,107,23.696974
804.953376,115,25.777468
1052.799562,142,26.292415
1047.415411,141,26.810371
566.220432,83,27.108125
1167.800889,162,28.898289
1158.671989,154,29.453112
745.097585,104,29.832458
657.380493,93,30.168164
875.372495,122,32.307662
734.217946,104,32.688995
1036.555592,139,33.191774
665.239686,95,33.537293
1189.164739,158,34.103772
1039.929449,141,34.612604
1077.922835,146,35.138438
1032.324167,141,35.643334
976.065923,133,37.92761
1110.093244,149,40.140827
1295.375588,173,40.771477
1173.589809,158,41.346485
920.484534,128,41.799858
1226.165692,166,42.39524
796.758843,118,42.818225
1304.479392,175,45.126523
1778.97862,229,45.933788
2072.689135,276,46.910403
1365.774905,185,49.732559
1423.895417,190,50.445449
2634.510133,357,53.450593
1330.724127,179,54.106326
2735.312823,351,55.361151
5029.38555,668,65.928126
3711.402204,493,67.738503
23545.979201,3001,126.27674
23263.667638,3001,185.985803
12946.330757,1721,216.167111
22944.863118,3001,281.914043
19882.219735,2602,341.164278
22879.103684,3001,382.052315
2707.007966,365,407.449162
22827.072993,3001,468.563556
17140.923329,2243,502.696269
23008.540683,3001,560.505091
14545.4631,1918,593.232589
2856.297397,385,594.697148
9767.083205,1319,624.077491
15418.817278,2025,676.960795
22364.977533,3001,737.147832
22710.856661,3001,775.115844
4869.805098,654,799.859204
22749.616936,3001,861.01742
22490.848772,3001,920.569131
22495.341188,3001,983.8208
13484.83579,1788,1013.95418
13512.174948,1783,1046.421556
3279.428507,432,1049.691109
10918.579184,1462,1079.550492
22409.847933,3001,1134.447846
12043.710295,1604,1162.302791
3661.834832,481,1165.745275
21829.509704,3001,1224.614721
15540.92488,2039,1279.857368
13524.779388,1787,1314.851891
22266.704722,3001,1371.264643
8273.946338,1140,1377.192851
13492.851336,1783,1427.803931
21791.98437,3001,1466.025532
12538.98736,1662,1518.666388
12480.278633,1654,1548.108704
4088.093472,549,1550.135386
3338.240625,441,1553.48955
22249.129483,3001,1608.245314
5331.394066,720,1634.797844
5434.194649,737,1639.113961
21835.994687,3001,1699.184712
21680.573364,3001,1754.178928
6085.439801,830,1758.90418
11260.796773,1502,1786.347058
22000.263115,3001,1844.784399
22343.426723,3001,1903.660974
7776.404993,1082,1929.173328
13125.349664,1735,1959.001993
22240.427818,3001,2014.068591
22620.977389,3001,2074.268667
6529.013701,858,2079.066711
21533.779822,3001,2139.951198
21651.021134,3001,2196.846598
11989.933439,1592,2228.821138
3890.715445,508,2252.787531
7737.564891,1057,2258.37992
