time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
0.0,0.02559985350385572,0.0,3.086917269804986,0.0,120.0,1,0.0,-0.39144499611164635,-0.4135053753852844
0.005,0.029200584571023182,0.06163889164543246,3.092469067892706,0.09522382560458453,120.0,1,0.0,-0.011205502205791492,-0.011205971240997314
0.01,0.035027076538104725,0.22626572209243911,3.101426456816954,0.34900777358943813,120.0,1,0.0,0.005994575934859401,0.005994647741317749
0.015,0.04294172460220032,0.46102388992341065,3.1135476766409234,0.7096252764044797,120.0,1,0.0,0.004439891012671877,0.00443992018699646
0.02,0.05281017648562299,0.7415003206473428,3.1285896737945613,1.1382799485018247,120.0,1,0.0,-0.030642345910881698,-0.030651941895484924
0.025,0.06450010339143028,1.0495478346566407,-3.1368782485692366,1.6058098190582668,120.0,1,0.0,-0.057209123586461984,-0.05727165937423706
0.03,0.07788023986815763,1.3716572212828444,-3.1167337934492503,2.0902266050831164,120.0,1,0.0,-0.06653347694409327,-0.06663191318511963
0.035,0.09281981192326096,1.6977497397985044,-3.0944134911319128,2.5748927098116523,120.0,1,0.0,-0.06856111159584063,-0.06866884231567383
0.04,0.10918842677089471,2.0202909076040445,-3.070170743880438,3.047184648225614,120.0,1,0.0,-0.08755014690382898,-0.08777487277984619
0.045,0.12685644663195042,2.333648923084715,-3.044259690982575,3.4975258487429395,120.0,1,0.0,-0.09731670131580555,-0.09762567281723022
0.05,0.14569581453052566,2.6336376853663106,-3.0169331257118355,3.9186970314503657,120.0,1,0.0,-0.10429344636078194,-0.1046740710735321
0.055,0.1655812475037298,2.9171966589535048,-2.988439927161523,4.305351037124749,120.0,1,0.0,-0.12102151784670147,-0.12161760032176971
0.06,0.18639166992723244,3.1821691428753454,-2.9590222262235,4.653673205359176,120.0,1,0.0,-0.12709078039000274,-0.12778174877166748
0.065,0.20801173445876756,3.427147978331651,-2.9289125583034834,4.9611399509205425,120.0,1,0.0,-0.12086082484737123,-0.12145452201366425
0.07,0.23033327516786078,3.6513642103254984,-2.898331251389474,5.226338359191235,120.0,1,0.0,-0.11600669588098529,-0.11653132736682892
0.075,0.25325655668738717,3.8546001931987894,-2.8674842580441213,5.448819115093902,120.0,1,0.0,-0.0917176351008015,-0.0919761210680008
0.08,0.27669121967589083,4.037114220875411,-2.836561573273027,5.628964003588055,120.0,1,0.0,-0.08958338322042772,-0.08982418477535248
0.085,0.30055686817880845,4.199568815081738,-2.805736301752675,5.7678572412457605,120.0,1,0.0,-0.08725672199909891,-0.08747918903827667
0.09,0.32478328955779734,4.342959036457195,-2.775164362952895,5.8671565069519245,120.0,1,0.0,-0.0847379413830597,-0.08494164049625397
0.095,0.34931033518103616,4.468540346292352,-2.7449847631383735,5.928964320202934,120.0,1,0.0,-0.08202981289803864,-0.08221454918384552
0.1,0.37408751585152444,4.57775754088121,-2.715320325227432,5.955703230878279,120.0,1,0.0,-0.07913756875357383,-0.07930339872837067
0.105,0.39907337913601143,4.672177189185316,-2.6862787514232678,5.949999318705792,120.0,1,0.0,-0.07606929629007998,-0.07621653378009796
0.11,0.4242347380186795,4.753426056113339,-2.6579538956507283,5.914578179237546,120.0,1,0.0,-0.07283559267961452,-0.07296480238437653
0.115,0.44954581466396526,4.823137486218416,-2.630427137368282,5.852176423055136,120.0,1,0.0,-0.0694500192126071,-0.06956200301647186
0.12,0.47498735281531224,4.882906946928111,-2.6037687694032554,5.765470231413657,120.0,1,0.0,-0.06592836932189916,-0.06602413952350616
0.125,0.5005457402983788,4.934257117763426,-2.578039335272741,5.657021071811579,120.0,1,0.0,-0.062289061487905126,-0.06236980855464935
0.13,0.5262121712626425,4.978612212475905,-2.553290872731712,5.5292375103844,120.0,1,0.0,-0.058552551650622,-0.058619603514671326
0.135,0.551981867393872,5.017280707570108,-2.529568038239748,5.384351259839763,120.0,1,0.0,-0.054740742230249016,-0.0547955185174942
0.14,0.57785336890375,5.051445337239055,-2.506909101015452,5.224405169478011,120.0,1,0.0,-0.05087710118169559,-0.05092106759548187
0.145,0.6038278997313823,5.082159078423193,-2.4853468054658587,5.05125073832332,120.0,1,0.0,-0.04698556036327655,-0.04702018201351166
0.15,0.6299088068820494,5.110345850199007,-2.4649091075587224,4.866552831222146,120.0,1,0.0,-0.04309030224846198,-0.04311700165271759
0.155,0.6561010708634284,5.136804745182601,-2.4456197948260545,4.671799518773426,120.0,1,0.0,-0.039215069061478126,-0.0392351895570755
0.16,0.6824108824119403,5.162216757955899,-2.4274990018231764,4.468315275713463,120.0,1,0.0,-0.03538267840310232,-0.03539745509624481
0.165,0.708845279811344,5.187153145892517,-2.410563633609716,4.257276106929005,120.0,1,0.0,-0.03161424039302095,-0.03162477910518646
0.17,0.7354118408228393,5.212084729389572,-2.394827709642637,4.0397254908697695,120.0,1,0.0,-0.02792905922005565,-0.02793632447719574
0.17500000000000002,0.7621184233589753,5.237391597616947,-2.380302639735497,3.816590316506283,120.0,1,0.0,-0.024343940037711717,-0.024348750710487366
0.18,0.7889729493845018,5.263372825019516,-2.366997442699685,3.5886962327367113,120.0,1,0.0,-0.020873032758614025,-0.020876064896583557
0.185,0.8159832270032067,5.290255920040957,-2.354918917117426,3.356782026343134,120.0,1,0.0,-0.017527707222971218,-0.017529502511024475
0.19,0.8431568062139214,5.318205820965952,-2.344071772515719,3.1215127988702935,120.0,1,0.0,-0.0143163703920541,-0.014317348599433899
0.195,0.8705008643414407,5.347333326260205,-2.334458728083102,2.8834918292380753,120.0,1,0.0,-0.011244657523117527,-0.011245131492614746
0.2,0.8980221176389118,5.377702901071107,-2.326080585034276,2.6432710935594073,120.0,1,0.0,-0.008315475838294194,-0.008315667510032654
0.20500000000000002,0.925726756000827,5.4093398406768864,-2.318936277797723,2.401360472610861,120.0,1,0.0,0.002934730568338449,0.0029347389936447144
0.21,0.9536203981128929,5.442236798603429,-2.313022908382364,2.158235716285791,120.0,1,0.0,0.009965000497047707,0.009965330362319946
0.215,0.981708064695551,5.476359704555867,-2.3083357675672995,1.9143452579822835,120.0,1,0.0,0.004727030354522075,0.004727065563201904
0.22,1.0099941677742765,5.511653107549808,-2.304868345946176,1.670115984239943,120.0,1,0.0,-0.012178683118865163,-0.012179285287857056
