#{"t_start": 1784737747.594598, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
424.090181,65,0.158106
259.498821,42,0.252463
405.892071,61,0.392759
329.393786,51,0.507671
809.78038,111,0.756763
300.104743,48,0.872016
253.335752,44,0.973493
854.037389,114,1.229734
817.030847,114,1.496036
286.927563,47,1.600607
443.496677,70,1.759064
297.577133,48,1.866777
292.371526,50,1.980766
271.586021,45,2.082229
625.113469,87,2.281257
395.778946,63,3.214643
763.281248,103,3.446098
526.491453,77,3.614916
601.597098,93,3.852509
232.540248,40,3.958143
348.884624,56,4.074598
536.152093,77,4.256926
372.514851,60,4.407893
534.560419,77,4.597051
519.811561,75,4.780795
367.029106,60,4.927808
649.379442,92,5.142223
399.090447,62,5.717934
500.185384,76,5.891831
198.072373,36,5.974172
307.917942,50,6.882267
411.499586,65,7.024864
615.615401,88,7.21777
418.908119,63,7.356486
508.603713,74,7.518178
486.05157,72,7.678989
493.080104,75,7.842884
629.251905,94,8.052119
455.648163,68,8.200874
1243.070945,165,8.563594
1043.15132,142,8.882402
487.159529,71,9.037427
469.183519,71,9.980628
310.636897,51,10.094031
599.334615,86,10.276091
449.424231,69,10.424819
809.557545,119,10.682688
861.502184,121,10.945108
430.176,66,11.088012
1137.34978,153,12.186926
473.409031,71,12.34737
730.741645,102,12.576321
625.59894,89,12.777113
733.000947,102,13.791424
912.047634,124,14.055818
2046.586049,264,14.635428
882.62856,121,14.89928
1344.946998,184,15.332722
1260.076724,168,15.710986
328.592925,52,15.822682
794.425325,115,16.875965
3823.124293,497,19.547879
1180.419393,158,19.888656
1331.342683,176,20.259919
2365.288583,317,21.749133
2588.235246,334,22.462727
3814.445006,486,23.498877
4530.766219,592,28.733884
1120.476656,154,29.058022
6549.935986,853,31.643081
2282.040829,293,32.25753
4810.289894,635,38.492093
