#{"t_start": 1784739001.7044375, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
524.837566,75,0.179052
330.560168,52,0.29601
397.204286,62,0.435576
597.672238,84,0.622077
295.094379,47,0.723129
442.364515,65,0.866615
261.837619,42,0.961155
294.360022,47,1.063196
560.668759,81,1.238461
1170.1943,155,1.57264
540.476758,77,1.744252
300.346199,49,1.852518
380.351264,59,1.98773
406.617418,61,2.127369
708.187511,97,3.167818
423.309309,63,3.310863
448.240752,68,3.46415
990.371184,135,3.782851
487.794015,70,3.947162
323.168268,52,4.067701
533.961968,77,4.241028
286.829744,46,4.348787
244.149132,43,4.443487
400.891496,65,4.591494
433.899534,64,4.724589
649.291186,90,4.922069
189.538923,36,5.004114
781.388161,109,5.685346
592.542191,83,6.730101
270.357215,46,6.845961
291.347606,48,6.960137
414.813017,63,7.116431
514.474062,76,7.303046
793.796755,111,7.546747
353.258271,54,7.661224
730.368019,100,7.885797
603.697664,86,8.07801
399.80591,59,8.208937
230.586013,40,8.29861
545.979009,80,8.477693
509.126167,76,8.639098
580.943313,83,8.819905
797.705725,109,9.855543
742.719072,103,10.091679
974.728623,131,10.383014
666.305689,94,10.591749
613.643812,88,10.791055
672.013644,94,10.99685
609.101519,88,11.191126
815.802564,112,12.10152
460.103072,70,12.254083
1593.988806,209,12.759871
232.962586,41,13.631905
1735.196309,225,14.115944
791.998015,114,14.359384
1239.206929,167,14.723615
922.290439,125,15.012184
1294.620375,176,15.387959
480.457346,69,15.537343
931.06102,128,15.819005
2686.243156,342,17.333859
2404.740164,305,21.131834
1383.197102,181,21.512879
1501.387375,198,22.742971
5018.060616,645,24.144238
24533.926878,3001,41.289257
