timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
328,238.558486,41,5.818499658536585,5.818499658536585,0.0,0.0
344,261.859806,43,6.089762930232558,5.954131294384572,0.0,0.0
352,266.224605,44,6.050559204545454,5.986273931104866,0.0,0.0
360,289.433606,45,6.431857911111111,6.097669926106427,0.0,0.0
376,300.434367,47,6.392220574468086,6.156580055778758,0.0,0.0
416,342.56626,52,6.5878126923076925,6.228452161866914,0.0,0.0
448,351.943065,56,6.284697589285714,6.236487222926742,0.0,0.0
552,485.545044,69,7.036884695652174,6.336536907017422,0.0,0.0
728,309.702228,50,6.19404456,6.320704424015486,0.0,0.0
824,370.85458,59,6.285670847457627,6.317201066359701,0.0,0.0
856,338.997374,51,6.647007333333333,6.3471834542663945,0.0,0.0
928,278.85292,47,5.933040851063829,6.31267157066618,0.0,0.0
936,466.648324,70,6.666404628571429,6.339881805889661,0.0,0.0
952,504.449698,74,6.816887810810811,6.373953663384029,0.0,0.0
1128,724.021174,98,7.387971163265306,6.44155483004278,0.0,0.0
1144,647.5535,91,7.115972527472527,6.483705936132139,0.0,0.0
1216,410.575302,61,6.730742655737705,6.498237507873643,0.0,0.0
1248,329.783536,53,6.222330867924529,6.482909361209803,0.0,0.0
1336,405.233161,60,6.753886016666667,6.497171290444375,0.0,0.0
1392,375.419879,57,6.586313666666666,6.50162840925549,0.0,0.0
1464,227.125827,40,5.678145675,6.462414945719514,0.0,0.0
1584,539.65307,79,6.8310515189873415,6.479171153595325,0.0,0.0
1592,250.115253,43,5.816633790697674,6.450365181295426,0.0,0.0
1600,300.472802,48,6.259850041666667,6.442427050477562,0.0,0.0
1624,634.039051,87,7.287805183908046,6.476242175814781,0.0,0.0
1720,489.972507,74,6.621250094594595,6.481819403460158,0.0,0.0
1824,277.20227,45,6.160050444444445,6.469902034607724,0.0,0.0
1960,473.543692,71,6.669629464788732,6.477035157114188,0.0,0.0
1960,266.463988,45,5.921421955555555,6.457876081198373,0.0,0.0
2056,380.50985,59,6.449319491525423,6.4575908615426085,0.0,0.0
2144,721.333793,101,7.141918742574258,6.501704831010531,0.0,0.0
2208,291.442182,48,6.071712125,6.5011031375027795,0.0,0.0
2272,459.350042,69,6.657246985507246,6.52132606353484,0.0,0.0
2280,571.609122,82,6.970842951219511,6.539292231538453,0.0,0.0
2296,616.242204,88,7.002752318181819,6.559643289662244,0.0,0.0
2424,386.481189,58,6.663468775862069,6.562165159114057,0.0,0.0
2528,479.717352,71,6.756582422535211,6.577894653555706,0.0,0.0
2592,351.022077,56,6.268251375,6.5522735428673,0.0,0.0
2616,239.876129,42,5.711336404761904,6.536183271026031,0.0,0.0
2624,230.403422,44,5.236441409090909,6.501208956413808,0.0,0.0
2648,513.445134,74,6.938447756756758,6.510923637194588,0.0,0.0
2744,369.416315,56,6.5967199107142855,6.533046272516269,0.0,0.0
2824,535.788774,77,6.958295766233766,6.542775977105014,0.0,0.0
2928,242.57409,42,5.775573571428572,6.508065502458938,0.0,0.0
3040,332.260371,52,6.38962251923077,6.474787214324453,0.0,0.0
3048,549.086886,78,7.039575461538462,6.472240645459984,0.0,0.0
3048,433.087877,65,6.662890415384616,6.469978904114882,0.0,0.0
3048,311.143606,50,6.22287212,6.469996945850733,0.0,0.0
3080,382.804057,58,6.600069948275862,6.464869743571039,0.0,0.0
3080,258.143783,42,6.146280547619047,6.450201972936117,0.0,0.0
3360,226.419697,40,5.660492425,6.449613531269451,0.0,0.0
3392,373.078651,58,6.432390534482758,6.436324831785966,0.0,0.0
3432,518.66067,76,6.824482499999999,6.469919788762709,0.0,0.0
3464,335.366034,52,6.449346807692308,6.4762363476302305,0.0,0.0
3544,393.736297,58,6.7885568448275855,6.459594736327549,0.0,0.0
3608,455.270556,66,6.898038727272727,6.4688210240834865,0.0,0.0
3712,577.819433,83,6.961679915662651,6.495542006457426,0.0,0.0
3760,640.05908,89,7.1916750561797755,6.512943526170461,0.0,0.0
3904,412.332107,64,6.442689171875,6.530319100047777,0.0,0.0
3992,539.366177,79,6.827419962025316,6.542922449064439,0.0,0.0
4008,495.055892,72,6.875776277777778,6.534051033571225,0.0,0.0
4008,469.216216,68,6.900238470588235,6.561668578424165,0.0,0.0
4064,270.176127,44,6.140366522727273,6.544439229664833,0.0,0.0
4088,392.979724,60,6.5496620666666665,6.530399866846404,0.0,0.0
4168,518.626851,78,6.649062192307692,6.518610195983935,0.0,0.0
4168,180.847183,33,5.480217666666666,6.479168492344087,0.0,0.0
4352,493.545952,74,6.669539891891892,6.476267074655977,0.0,0.0
4448,342.665999,57,6.0116841929824565,6.467714835255391,0.0,0.0
4464,274.457694,47,5.839525404255319,6.471987801905172,0.0,0.0
4544,271.256315,47,5.7714109574468075,6.489820120183702,0.0,0.0
4584,482.453612,72,6.700744611111111,6.481896681995513,0.0,0.0
4616,515.910492,76,6.788295947368421,6.4882825498839845,0.0,0.0
4664,496.362303,75,6.61816404,6.476944825676193,0.0,0.0
4808,366.428581,57,6.428571596491228,6.498711426511615,0.0,0.0
4832,596.383096,83,7.185338506024097,6.525235292738059,0.0,0.0
4976,426.757576,64,6.668087125,6.512852348186777,0.0,0.0
5040,495.830574,74,6.700413162162162,6.514103106412695,0.0,0.0
5056,416.911513,64,6.514242390625,6.523815448766863,0.0,0.0
5064,299.033052,50,5.98066104,6.503168485157665,0.0,0.0
5096,427.66754,64,6.6823053125,6.5210359773203646,0.0,0.0
5272,368.085615,58,6.346303706896552,6.543896353383584,0.0,0.0
5288,376.587516,57,6.60679852631579,6.549709953111352,0.0,0.0
5352,658.280357,92,7.15522127173913,6.560734578835988,0.0,0.0
5440,370.692913,58,6.391257120689655,6.5587982559359,0.0,0.0
5488,347.131273,56,6.198772732142857,6.539138785513075,0.0,0.0
5488,303.934081,49,6.202736346938775,6.515962039501944,0.0,0.0
5496,335.951462,54,6.22132337037037,6.491283487992201,0.0,0.0
5568,421.537893,64,6.586529578125,6.471111972057042,0.0,0.0
5704,343.794449,52,6.6114317115384615,6.476736723379157,0.0,0.0
5760,401.930261,61,6.589020672131147,6.468790080382685,0.0,0.0
5840,273.561751,43,6.361901186046512,6.451660910658308,0.0,0.0
5912,329.422283,53,6.215514773584905,6.428836787424865,0.0,0.0
6000,430.251764,64,6.7226838125,6.448247363750624,0.0,0.0
6048,618.40333,87,7.108084252873563,6.466861436624187,0.0,0.0
6112,600.30117,84,7.146442499999999,6.483440780213929,0.0,0.0
6160,485.259481,74,6.557560554054054,6.519352209793509,0.0,0.0
6184,343.31871,53,6.477711509433963,6.512957930378246,0.0,0.0
6256,448.268469,69,6.496644478260869,6.5291232732208595,0.0,0.0
6424,327.902441,53,6.186838509433962,6.540700376726813,0.0,0.0
6440,280.928015,49,5.7332247959183675,6.539427504675865,0.0,0.0
6536,555.055176,78,7.116091999999999,6.553272417638827,0.0,0.0
6696,462.469936,67,6.902536358208955,6.557080431333513,0.0,0.0
6728,545.935841,77,7.090075857142857,6.5728108252382755,0.0,0.0
6760,843.256848,115,7.332668243478261,6.602947380137843,0.0,0.0
6832,483.824415,72,6.719783541666667,6.587428881325928,0.0,0.0
6840,302.982763,50,6.0596552599999995,6.567147819159261,0.0,0.0
6976,345.804967,55,6.287363036363636,6.553379481632644,0.0,0.0
7032,770.314692,106,7.267119735849057,6.5784753931401125,0.0,0.0
7096,576.837002,84,6.867107166666666,6.608023597362334,0.0,0.0
7160,318.650289,50,6.37300578,6.597713612945668,0.0,0.0
7176,259.773806,42,6.185090619047618,6.592339843350704,0.0,0.0
7208,299.118539,47,6.364224234042553,6.5842540336082624,0.0,0.0
7272,479.701854,72,6.66252575,6.567830849550292,0.0,0.0
7336,281.835073,45,6.263001622222223,6.563555666268044,0.0,0.0
7512,201.708983,38,5.308131131578947,6.533867612915913,0.0,0.0
7536,290.243582,47,6.175395361702128,6.53295624674136,0.0,0.0
7616,341.992045,55,6.2180371818181825,6.532846707122953,0.0,0.0
7656,533.301914,78,6.837204025641026,6.5412025220401535,0.0,0.0
7744,576.421377,81,7.116313296296297,6.558031908198747,0.0,0.0
7864,1066.349649,142,7.509504570422536,6.588714704808461,0.0,0.0
7888,257.692983,44,5.856658704545455,6.571873288758424,0.0,0.0
7896,295.997738,48,6.166619541666667,6.570243447694484,0.0,0.0
7896,555.513074,78,7.121962487179487,6.583552736850466,0.0,0.0
7920,492.946727,73,6.752694890410959,6.571706424768379,0.0,0.0
8088,397.116756,59,6.730792474576272,6.557851423920922,0.0,0.0
8144,325.326397,50,6.50652794,6.556150336785787,0.0,0.0
8248,507.435581,74,6.8572375810810815,6.568801205840691,0.0,0.0
8320,349.277555,53,6.590142547169812,6.5719178081376555,0.0,0.0
8336,376.185649,59,6.376027949152543,6.578224122794942,0.0,0.0
8440,251.386697,44,5.713334022727273,6.577561097021905,0.0,0.0
8520,536.029873,78,6.872177858974358,6.569430625654385,0.0,0.0
8544,305.482923,50,6.10965846,6.543001362380752,0.0,0.0
8616,648.805003,91,7.129725307692309,6.5443230107324,0.0,0.0
8800,786.497774,110,7.149979763636364,6.53823339473767,0.0,0.0
8832,405.649432,62,6.542732774193548,6.532331702488567,0.0,0.0
8840,484.404356,74,6.546004810810811,6.54854335418226,0.0,0.0
9000,401.502376,60,6.691706266666667,6.562021461859028,0.0,0.0
9136,416.960875,65,6.414782692307692,6.533610227074315,0.0,0.0
9144,586.395764,88,6.663588227272727,6.526826262427851,0.0,0.0
9208,801.87089,111,7.224062072072073,6.55519480549692,0.0,0.0
9224,585.558927,85,6.888928552941177,6.578656069960037,0.0,0.0
9336,442.299,67,6.6014776119402985,6.586564515889964,0.0,0.0
9368,427.424518,66,6.47612906060606,6.580351292910167,0.0,0.0
9464,545.882214,79,6.909901443037975,6.601914620270691,0.0,0.0
9528,433.868346,66,6.573762818181818,6.644102343157454,0.0,0.0
9552,327.001361,52,6.288487711538461,6.647872088151998,0.0,0.0
9568,343.11286,53,6.473827547169812,6.656398433663719,0.0,0.0
9704,384.975118,60,6.416251966666667,6.642366698364572,0.0,0.0
9720,259.186279,44,5.89059725,6.601509496821364,0.0,0.0
9848,188.635912,35,5.389597485714286,6.530845927331089,0.0,0.0
9856,535.137531,81,6.6066361851851845,6.555845176685746,0.0,0.0
9880,453.743498,68,6.6726985,6.5727144752968565,0.0,0.0
9952,397.706415,61,6.519777295081967,6.552641635560274,0.0,0.0
10000,395.280241,59,6.699665101694915,6.550873975936406,0.0,0.0
10096,450.679879,68,6.627645279411765,6.547435736097587,0.0,0.0
10176,353.311934,57,6.19845498245614,6.537166637512792,0.0,0.0
10208,432.615495,63,6.8669126190476195,6.5374891387783425,0.0,0.0
10280,342.747851,53,6.466940584905661,6.533382406702872,0.0,0.0
10440,325.547522,55,5.9190458545454545,6.518149670215968,0.0,0.0
10488,518.115935,76,6.817314934210526,6.554949033932077,0.0,0.0
10504,317.504062,51,6.225569843137254,6.533395433404174,0.0,0.0
10616,324.868051,51,6.369961784313725,6.542072210881298,0.0,0.0
10656,731.526653,101,7.242838148514852,6.545842638908718,0.0,0.0
10744,490.063998,71,6.902309830985915,6.537586974487036,0.0,0.0
10840,812.66375,111,7.321295045045045,6.563539050182086,0.0,0.0
10896,312.076569,49,6.3689095714285715,6.557635875536011,0.0,0.0
10944,568.908654,83,6.85432113253012,6.563056371064792,0.0,0.0
11040,505.857003,75,6.74476004,6.574055615987869,0.0,0.0
11080,325.161665,53,6.135125754716982,6.556440200236011,0.0,0.0
11200,378.574785,57,6.641662894736842,6.537026894324836,0.0,0.0
11200,607.71803,89,6.828292471910112,6.535005691623801,0.0,0.0
11216,222.998668,40,5.5749667,6.5007886612257915,0.0,0.0
11232,512.895036,77,6.660974493506494,6.506950175655806,0.0,0.0
11256,294.396368,52,5.661468615384615,6.4653357480673606,0.0,0.0
11552,388.610677,59,6.5866216440677965,6.465764375596894,0.0,0.0
11600,289.727063,50,5.79454126,6.449299493878944,0.0,0.0
11656,323.560753,55,5.8829227818181815,6.429602668367224,0.0,0.0
11680,362.541319,56,6.473952124999999,6.431526006978334,0.0,0.0
11752,608.307905,89,6.834920280898876,6.46300344134163,0.0,0.0
11872,842.044966,116,7.259008327586208,6.5253171360706945,0.0,0.0
11952,663.848101,94,7.062213840425533,6.540503057912038,0.0,0.0
12024,673.878078,96,7.0195633125,6.552065218328706,0.0,0.0
12080,433.230865,66,6.564104015151515,6.553542775664357,0.0,0.0
12088,312.881414,51,6.13492968627451,6.53471826181701,0.0,0.0
12096,248.62959,43,5.782083488372093,6.5065328687823545,0.0,0.0
12112,362.064971,57,6.352017035087719,6.5116516038700745,0.0,0.0
12152,462.565412,69,6.703846550724637,6.506216068259309,0.0,0.0
12240,282.421578,46,6.139599521739131,6.495304699487091,0.0,0.0
12480,315.861937,50,6.3172387400000005,6.50857779566891,0.0,0.0
12512,294.614125,50,5.8922825,6.477743381195224,0.0,0.0
12544,343.558538,56,6.1349738928571425,6.474723516185888,0.0,0.0
12592,417.567936,63,6.628062476190475,6.483326872581779,0.0,0.0
12592,253.378647,44,5.758605613636363,6.433852454752497,0.0,0.0
12616,360.760261,58,6.2200045,6.411108943719631,0.0,0.0
12760,635.548101,92,6.908131532608695,6.397336826638421,0.0,0.0
12808,757.806941,107,7.082307859813085,6.421116769584572,0.0,0.0
12856,257.896779,43,5.997599511627906,6.3925593822211635,0.0,0.0
13040,471.642186,70,6.737745514285714,6.392325564697354,0.0,0.0
13056,371.56327,58,6.406263275862068,6.401363482068857,0.0,0.0
13056,384.914976,58,6.636465103448276,6.401190222359238,0.0,0.0
13192,546.533589,81,6.747328259259259,6.398491415270876,0.0,0.0
13248,387.789372,61,6.357202819672131,6.42456595259328,0.0,0.0
13432,501.391609,72,6.963772347222222,6.434659214383805,0.0,0.0
13528,381.510874,59,6.466286,6.461486460537651,0.0,0.0
13576,441.120901,65,6.7864754000000005,6.468148252402059,0.0,0.0
13608,722.154615,100,7.22154615,6.515715082068724,0.0,0.0
13648,319.165071,50,6.3833014200000004,6.532394370008118,0.0,0.0
13664,366.867005,59,6.218084830508475,6.523865460191734,0.0,0.0
13888,276.598901,45,6.146642244444445,6.500922858976588,0.0,0.0
13952,294.216076,47,6.2599165106382975,6.467619798411658,0.0,0.0
13984,1285.489438,171,7.517482093567252,6.482795406849715,0.0,0.0
14184,429.112442,65,6.601729876923077,6.468867625663818,0.0,0.0
14208,223.863588,40,5.5965897,6.4366171484921,0.0,0.0
14320,797.394573,111,7.183734891891892,6.47157732201268,0.0,0.0
14328,641.670279,90,7.129669766666667,6.516496864622499,0.0,0.0
14336,269.369863,44,6.122042340909091,6.508831041483211,0.0,0.0
14352,597.902883,88,6.794350943181818,6.511847854565118,0.0,0.0
14448,1334.10542,176,7.580144431818183,6.559866018234419,0.0,0.0
14496,213.310966,39,5.469511948717949,6.5316084585250165,0.0,0.0
14544,255.114566,42,6.074156333333333,6.537670919636128,0.0,0.0
14656,251.030097,42,5.976907071428572,6.5324020255885085,0.0,0.0
14856,417.178215,63,6.621876428571429,6.532195824001207,0.0,0.0
14880,457.078209,69,6.624321869565217,6.561053032532167,0.0,0.0
14944,407.084642,62,6.565881322580645,6.572582259951522,0.0,0.0
14984,540.424988,81,6.671913432098766,6.564708323267859,0.0,0.0
