trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
29,35.68319734468785,"{""ent_coef"": 0.0022119445769798836, ""learning_rate"": 0.00015178318391115422, ""target_kl_code"": 0}",runs\search_ppo_t0029_20260722_181344,0,0,0,2026-07-22T16:14:25+00:00
30,164.09056995459883,"{""ent_coef"": 0.00470725472080188, ""learning_rate"": 0.00012493121434622575, ""target_kl_code"": 1}",runs\search_ppo_t0030_20260722_181425,0,0,0,2026-07-22T16:15:22+00:00
31,190.7545263894324,"{""ent_coef"": 0.0007326884405157862, ""learning_rate"": 0.00017979587306106773, ""target_kl_code"": 0}",runs\search_ppo_t0031_20260722_181522,0,0,0,2026-07-22T16:16:34+00:00
32,115.33840986283155,"{""ent_coef"": 0.001471477994815289, ""learning_rate"": 0.00018580143964274257, ""target_kl_code"": 0}",runs\search_ppo_t0032_20260722_181634,0,0,0,2026-07-22T16:17:16+00:00
33,190.7869413657078,"{""ent_coef"": 0.00037098356735758287, ""learning_rate"": 0.0001489490424358108, ""target_kl_code"": 0}",runs\search_ppo_t0033_20260722_181717,0,0,0,2026-07-22T16:17:58+00:00
34,23.013425306939574,"{""ent_coef"": 0.00035357571513047314, ""learning_rate"": 0.00014528049874649708, ""target_kl_code"": 0}",runs\search_ppo_t0034_20260722_181759,0,0,0,2026-07-22T16:18:33+00:00
35,27.71975086755444,"{""ent_coef"": 0.00227335558851678, ""learning_rate"": 0.00014963899311319474, ""target_kl_code"": 3}",runs\search_ppo_t0035_20260722_181834,0,0,0,2026-07-22T16:19:08+00:00
36,81.18636248195715,"{""ent_coef"": 0.0011938215166874555, ""learning_rate"": 0.00011482231671173592, ""target_kl_code"": 0}",runs\search_ppo_t0036_20260722_181908,0,0,0,2026-07-22T16:19:45+00:00
37,149.10278387249386,"{""ent_coef"": 0.0006348055856732177, ""learning_rate"": 0.00022051347811643867, ""target_kl_code"": 0}",runs\search_ppo_t0037_20260722_181945,0,0,0,2026-07-22T16:20:28+00:00
38,190.73824494978047,"{""ent_coef"": 0.0074668097631073365, ""learning_rate"": 0.00020038058425376858, ""target_kl_code"": 2}",runs\search_ppo_t0038_20260722_182029,0,0,0,2026-07-22T16:21:09+00:00
39,72.12723795761724,"{""ent_coef"": 0.0001873696092772081, ""learning_rate"": 0.0001609928130863206, ""target_kl_code"": 0}",runs\search_ppo_t0039_20260722_182109,0,0,0,2026-07-22T16:21:48+00:00
40,162.61490908963916,"{""ent_coef"": 0.0003469303000043971, ""learning_rate"": 0.0001331984427986068, ""target_kl_code"": 3}",runs\search_ppo_t0040_20260722_182149,0,0,0,2026-07-22T16:22:27+00:00
41,190.7617442286338,"{""ent_coef"": 0.0002604177066727181, ""learning_rate"": 0.00017816189530226383, ""target_kl_code"": 0}",runs\search_ppo_t0041_20260722_182227,0,0,0,2026-07-22T16:23:10+00:00
42,190.90915724358837,"{""ent_coef"": 0.0005254117238693768, ""learning_rate"": 0.00017427623860447004, ""target_kl_code"": 0}",runs\search_ppo_t0042_20260722_182310,0,0,0,2026-07-22T16:23:50+00:00
43,151.00299978786646,"{""ent_coef"": 0.0005790839812651091, ""learning_rate"": 0.00016164369170217383, ""target_kl_code"": 0}",runs\search_ppo_t0043_20260722_182350,0,0,0,2026-07-22T16:24:27+00:00
44,154.17503801445423,"{""ent_coef"": 0.0009218639145328908, ""learning_rate"": 0.00020369381922994838, ""target_kl_code"": 0}",runs\search_ppo_t0044_20260722_182428,0,0,0,2026-07-22T16:25:06+00:00
45,190.84291192655925,"{""ent_coef"": 0.0004736657987066267, ""learning_rate"": 0.00018796924880429703, ""target_kl_code"": 0}",runs\search_ppo_t0045_20260722_182507,0,0,0,2026-07-22T16:25:49+00:00
46,190.84965835280605,"{""ent_coef"": 0.01702510800122907, ""learning_rate"": 0.00024351300331321586, ""target_kl_code"": 0}",runs\search_ppo_t0046_20260722_182549,0,0,0,2026-07-22T16:26:29+00:00
47,190.9075352447754,"{""ent_coef"": 0.0178915642101802, ""learning_rate"": 0.0002910726843607464, ""target_kl_code"": 1}",runs\search_ppo_t0047_20260722_182629,0,0,0,2026-07-22T16:27:13+00:00
48,29.345867014169748,"{""ent_coef"": 0.009808095267297251, ""learning_rate"": 0.00030882615417968817, ""target_kl_code"": 1}",runs\search_ppo_t0048_20260722_182713,0,0,0,2026-07-22T16:27:48+00:00
49,36.3200417650453,"{""ent_coef"": 0.005236860142546294, ""learning_rate"": 0.0003395499956230951, ""target_kl_code"": 1}",runs\search_ppo_t0049_20260722_182748,0,0,0,2026-07-22T16:28:24+00:00
50,121.70209415706493,"{""ent_coef"": 0.0008797023994831796, ""learning_rate"": 0.00042830438251429824, ""target_kl_code"": 1}",runs\search_ppo_t0050_20260722_182825,0,0,0,2026-07-22T16:29:07+00:00
51,152.05224827201943,"{""ent_coef"": 0.01926074067923867, ""learning_rate"": 0.00023871984099924147, ""target_kl_code"": 1}",runs\search_ppo_t0051_20260722_182907,0,0,0,2026-07-22T16:29:48+00:00
52,106.03335591969103,"{""ent_coef"": 0.014377847388675738, ""learning_rate"": 0.0002746127373988294, ""target_kl_code"": 0}",runs\search_ppo_t0052_20260722_182948,0,0,0,2026-07-22T16:30:25+00:00
53,190.1951867951633,"{""ent_coef"": 0.01868728854803272, ""learning_rate"": 0.0002368717883692843, ""target_kl_code"": 2}",runs\search_ppo_t0053_20260722_183025,0,0,0,2026-07-22T16:31:05+00:00
54,190.79691476720402,"{""ent_coef"": 0.010693261075832777, ""learning_rate"": 0.0002121571406822553, ""target_kl_code"": 0}",runs\search_ppo_t0054_20260722_183106,0,0,0,2026-07-22T16:31:48+00:00
55,190.89276146220965,"{""ent_coef"": 0.010292180808344676, ""learning_rate"": 0.00028278886714035205, ""target_kl_code"": 1}",runs\search_ppo_t0055_20260722_183148,0,0,0,2026-07-22T16:32:29+00:00
56,21.938512187701157,"{""ent_coef"": 0.013661037219351344, ""learning_rate"": 0.00028240430477238516, ""target_kl_code"": 1}",runs\search_ppo_t0056_20260722_183229,0,0,0,2026-07-22T16:33:03+00:00
57,190.82228376848346,"{""ent_coef"": 0.0016427191625879277, ""learning_rate"": 0.0003431484893061432, ""target_kl_code"": 1}",runs\search_ppo_t0057_20260722_183304,0,0,0,2026-07-22T16:33:44+00:00
58,80.72548357519563,"{""ent_coef"": 0.00864367063691433, ""learning_rate"": 0.0003684444172364723, ""target_kl_code"": 1}",runs\search_ppo_t0058_20260722_183344,0,0,0,2026-07-22T16:34:23+00:00
59,190.49519392876027,"{""ent_coef"": 0.0005259826444101651, ""learning_rate"": 0.0003017245010728399, ""target_kl_code"": 1}",runs\search_ppo_t0059_20260722_183423,0,0,0,2026-07-22T16:35:03+00:00
60,154.10996577850966,"{""ent_coef"": 0.000149033107194434, ""learning_rate"": 0.0002894927779510433, ""target_kl_code"": 1}",runs\search_ppo_t0060_20260722_183503,0,0,0,2026-07-22T16:35:43+00:00
61,54.63629604404018,"{""ent_coef"": 0.011457013311333317, ""learning_rate"": 0.0002551851432515064, ""target_kl_code"": 0}",runs\search_ppo_t0061_20260722_183543,0,0,0,2026-07-22T16:36:21+00:00
62,190.54376295095295,"{""ent_coef"": 0.016106856450454798, ""learning_rate"": 0.00025969154874929724, ""target_kl_code"": 0}",runs\search_ppo_t0062_20260722_183621,0,0,0,2026-07-22T16:36:59+00:00
63,155.35951943053465,"{""ent_coef"": 0.006993153765691205, ""learning_rate"": 0.0002465686694040635, ""target_kl_code"": 0}",runs\search_ppo_t0063_20260722_183700,0,0,0,2026-07-22T16:37:40+00:00
64,190.88511571083166,"{""ent_coef"": 0.01653734974930623, ""learning_rate"": 0.00031465040066853983, ""target_kl_code"": 3}",runs\search_ppo_t0064_20260722_183740,0,0,0,2026-07-22T16:38:22+00:00
65,190.8687482976109,"{""ent_coef"": 0.005210194544321181, ""learning_rate"": 0.0003185226991044839, ""target_kl_code"": 3}",runs\search_ppo_t0065_20260722_183822,0,0,0,2026-07-22T16:39:01+00:00
66,158.24923789778512,"{""ent_coef"": 0.005103657569234475, ""learning_rate"": 0.0003676360396216199, ""target_kl_code"": 3}",runs\search_ppo_t0066_20260722_183902,0,0,0,2026-07-22T16:39:43+00:00
