trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
25,198.99091057148107,"{""clip_range"": 0.15, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 5}",runs\search_ppo_long_t0025_20260723_200818,1,0,0,2026-07-23T18:19:55+00:00
26,219.58409046917362,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""linear"", ""n_epochs"": 5}",runs\search_ppo_long_t0026_20260723_201956,0,0,0,2026-07-23T18:31:36+00:00
27,220.42137456391606,"{""clip_range"": 0.2, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.9, ""lr_schedule"": ""linear"", ""n_epochs"": 5}",runs\search_ppo_long_t0027_20260723_203137,0,0,0,2026-07-23T18:43:16+00:00
28,218.69052776784133,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 5}",runs\search_ppo_long_t0028_20260723_204317,1,0,0,2026-07-23T18:54:53+00:00
29,211.62796770986446,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""linear"", ""n_epochs"": 5}",runs\search_ppo_long_t0029_20260723_205453,1,0,0,2026-07-23T19:00:44+00:00
30,220.66688673227912,"{""clip_range"": 0.15, ""dr_curriculum_fraction"": 0.35, ""log_std_init"": -0.4, ""lr_schedule"": ""constant"", ""n_epochs"": 10}",runs\search_ppo_long_t0030_20260723_210044,0,0,0,2026-07-23T19:13:54+00:00
31,212.5746617228648,"{""clip_range"": 0.2, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 5}",runs\search_ppo_long_t0031_20260723_211354,1,0,0,2026-07-23T19:25:35+00:00
32,220.94660931773757,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""linear"", ""n_epochs"": 10}",runs\search_ppo_long_t0032_20260723_212535,1,0,0,2026-07-23T19:28:52+00:00
33,221.6706282989195,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0033_20260723_212853,1,0,0,2026-07-23T19:35:10+00:00
34,221.42406713905652,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0034_20260723_213510,1,0,0,2026-07-23T19:41:25+00:00
35,220.4527834066042,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.7, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0035_20260723_214125,1,0,0,2026-07-23T19:47:41+00:00
36,221.0260365308636,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 8}",runs\search_ppo_long_t0036_20260723_214741,0,0,0,2026-07-23T20:00:21+00:00
37,216.63058466839638,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.4, ""lr_schedule"": ""linear"", ""n_epochs"": 5}",runs\search_ppo_long_t0037_20260723_220021,1,0,0,2026-07-23T20:03:15+00:00
38,181.75083621863212,"{""clip_range"": 0.15, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 10}",runs\search_ppo_long_t0038_20260723_220315,1,0,0,2026-07-23T20:16:24+00:00
39,222.1508759322748,"{""clip_range"": 0.2, ""dr_curriculum_fraction"": 0.2, ""log_std_init"": -0.7, ""lr_schedule"": ""linear"", ""n_epochs"": 8}",runs\search_ppo_long_t0039_20260723_221624,1,0,0,2026-07-23T20:22:41+00:00
40,133.2437179445214,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.5, ""log_std_init"": -0.9, ""lr_schedule"": ""constant"", ""n_epochs"": 5}",runs\search_ppo_long_t0040_20260723_222241,1,0,0,2026-07-23T20:25:34+00:00
41,221.82060386885783,"{""clip_range"": 0.1, ""dr_curriculum_fraction"": 0.35, ""log_std_init"": -0.7, ""lr_schedule"": ""linear"", ""n_epochs"": 10}",runs\search_ppo_long_t0041_20260723_222534,0,0,0,2026-07-23T20:38:48+00:00
