#{"t_start": 1784739940.354493, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
275.598649,45,0.112852
294.155679,49,0.220337
273.607514,44,0.323256
278.771347,44,0.430783
479.07342,72,0.613773
413.620068,65,0.768974
257.989042,43,0.873577
383.391433,58,1.009617
472.894113,68,1.171404
373.872368,56,1.294372
323.919375,53,1.409313
345.160271,55,1.531025
486.516132,71,1.685654
358.148722,55,1.801933
370.094836,58,1.928323
593.267599,83,2.108021
336.195479,51,2.218599
484.545033,70,3.163977
291.946549,46,3.265869
527.688715,76,3.433638
709.957518,100,3.663318
315.909757,52,3.776151
433.368792,65,3.91975
589.272731,85,4.145546
313.563862,53,4.269959
407.538076,62,4.406504
818.611243,112,4.655404
175.681603,32,4.726114
279.869342,49,4.831747
366.13333,58,4.959845
745.489124,104,5.656235
237.737045,41,5.744978
588.798128,83,6.722075
257.271832,45,6.821915
839.30424,116,7.073858
245.021023,41,7.169627
777.965009,112,7.421692
392.864573,60,7.556718
602.415643,86,7.749503
484.550679,72,7.910205
504.849698,76,8.08348
590.384121,86,8.276027
731.084073,102,8.507506
382.037199,58,8.63719
763.765027,105,8.866399
243.393207,44,8.96232
1411.053004,186,10.157525
495.325072,73,10.313982
361.12663,57,10.441566
636.341514,91,10.644567
599.123748,88,10.83706
486.652449,73,10.994453
500.758542,76,11.163011
675.506069,99,11.881129
402.755625,63,12.0237
353.925073,58,12.148877
409.56265,63,12.284238
509.39089,75,12.450478
423.029311,66,13.402847
324.873924,53,13.517211
929.477812,127,13.793793
466.224266,72,13.951534
1664.987337,219,14.421743
299.507338,51,14.535236
527.388807,78,14.723179
1290.356014,174,15.100044
535.705277,87,15.288401
254.553432,44,15.383614
675.424594,98,16.392361
1194.762048,163,16.745203
993.426598,140,17.052419
1590.489092,211,18.4123
963.619304,131,18.713435
985.762674,137,19.005206
795.901915,115,19.251878
1325.018344,174,20.443997
3593.238328,469,21.45482
1290.992958,170,21.818665
1262.565995,169,22.179864
1257.441598,166,23.342789
1358.928996,179,23.743561
1657.416307,218,25.531563
2735.716127,358,26.310541
564.86849,82,26.494448
956.541435,133,26.779088
2127.936371,285,28.176351
1922.232161,250,28.719923
