#{"t_start": 1784739940.3520458, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
321.713876,51,0.129704
348.258607,54,0.248245
266.269171,43,0.349165
344.782166,53,0.475429
231.239059,40,0.584178
725.747354,99,0.821619
607.582351,86,1.026621
342.926159,54,1.15512
336.132693,53,1.273309
279.61237,45,1.372425
545.350956,79,1.544392
339.077758,54,1.660968
344.370253,53,1.775041
311.171693,50,1.882795
269.603376,44,1.979147
306.867972,51,2.08917
365.266321,59,2.215845
203.185434,35,2.293366
828.735815,112,3.331676
290.569552,48,3.438924
375.877392,63,3.571633
700.552243,99,3.803018
301.396706,50,3.913114
507.093741,74,4.079071
255.530874,44,4.217772
250.885565,43,4.313585
214.859703,37,4.39555
232.088055,42,4.487638
268.481245,48,4.595794
432.747034,65,4.739669
440.067614,66,4.885742
395.066627,64,5.023271
645.193944,92,5.695414
276.008527,47,5.795462
424.896894,63,6.729558
598.764099,88,6.920361
495.956562,74,7.083712
632.765144,90,7.289011
925.159745,128,7.576283
771.631634,109,7.821118
577.903198,84,8.010567
315.609449,52,8.130672
479.189754,73,8.291671
409.055796,68,8.449278
270.153113,46,8.550926
469.317253,70,8.70467
368.101906,58,8.831235
528.627401,77,9.786345
519.763269,77,9.957546
613.855587,92,10.156898
720.454715,101,10.375284
636.053734,91,10.579703
390.894586,60,10.711842
418.72357,66,10.856688
385.572882,67,11.002359
719.278838,103,11.230532
648.902478,91,11.93197
636.935387,90,12.128617
562.260426,83,12.308545
628.16193,93,12.513024
800.802978,112,13.564028
1182.75084,160,13.912328
663.473494,95,14.116762
625.717537,92,14.314038
2057.445328,265,14.911106
1359.836391,180,15.301961
1423.549371,187,16.504265
829.313007,116,16.754742
1066.98322,142,17.066015
1056.177754,143,17.373593
840.2104,119,18.541963
702.272905,98,18.769255
952.468957,130,19.044099
1067.508418,144,19.351361
2016.474911,261,20.736318
2864.539432,366,21.522452
1003.039587,136,21.809498
1359.824108,183,22.203267
1595.597271,211,23.46217
1499.515733,197,23.909805
1179.550614,158,25.562934
1814.863544,239,26.086782
843.032149,116,26.332715
986.400158,139,26.638107
1084.749568,149,27.746004
5501.523517,720,29.291381
1537.519466,207,29.737612
2072.411461,272,33.107506
1402.602426,188,33.505222
2192.018991,287,34.107689
1149.678947,153,34.432281
935.501111,129,34.71164
