time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,observer_blend,action_norm,policy_raw
0.1,-0.15503236550883193,5.93531670567101,-2.66664712582319,8.554539287816864,149.99119877809625,1,0.0,0.9999413251873083,5.218308925628662
0.105,-0.12343201961108988,6.028682576921791,-2.624611532288351,8.559235556104833,149.9888557695457,1,0.0,0.9999257051303047,5.100289344787598
0.11,-0.09181545300554372,6.101529227578447,-2.58352276820157,8.521206343820568,149.9861435718002,1,0.0,0.9999076238120014,4.991371154785156
0.115,-0.060208824505439865,6.156975250961142,-2.543475989308834,8.445342962204485,149.98265136408628,1,0.0,0.9998843424272418,4.878983020782471
0.12,-0.028626466297353305,6.198062863226055,-2.5045492933485725,8.33634616629016,149.9782282586465,1,0.0,0.9998548550576435,4.765426158905029
0.125,0.0029270174026667234,6.2276650578238675,-2.466806942686967,8.198594422730691,149.9729229328342,1,0.0,0.9998194862188947,4.6563801765441895
0.13,0.03445485759442646,6.248422978368911,-2.4303021460218766,8.03606335012828,149.96658638003825,1,0.0,0.9997772425335884,4.551231384277344
0.135,0.06596645449294294,6.262709243364673,-2.3950793919704827,7.852287345850743,149.9581809360351,1,0.0,0.999721206240234,4.439023017883301
0.14,0.09747594452301392,6.2726117774493275,-2.3611763523609426,7.65035321195775,149.94709190888545,1,0.0,0.9996472793925697,4.321402549743652
0.145,0.12900100507887327,6.279933334590544,-2.3286253792027067,7.432916889445318,149.93491371706935,1,0.0,0.999566091447129,4.217803478240967
0.15,0.16056185006270635,6.28620302873587,-2.297454675862416,7.202236324995781,149.92040822455468,1,0.0,0.9994693881636979,4.117180824279785
0.155,0.19218039941016407,6.29269452074355,-2.2676891875125986,6.960212410761376,149.9058672426012,1,0.0,0.9993724482840081,4.03325891494751
0.16,0.22387947448049322,6.300448357930546,-2.2393513771207307,6.708433725561897,149.87055824981783,1,0.0,0.9991370549987855,3.8739376068115234
0.165,0.25568202145495234,6.31029002196437,-2.2124618952843504,6.448215813764818,149.79864831747244,1,0.0,0.9986576554498162,3.652906656265259
0.17,0.28761056861090606,6.322844865196225,-2.187039961366541,6.1806359521426275,149.68839584260652,1,0.0,0.9979226389507101,3.434382438659668
0.17500000000000002,0.3196865133933778,6.3385610066948495,-2.1631038379716045,5.906573659997443,149.47918802719747,1,0.0,0.9965279201813164,3.1772055625915527
0.18,0.35192908245882903,6.35771799414472,-2.1406715247307737,5.626736414744904,149.0942005841275,1,0.0,0.9939613372275166,2.899847984313965
0.185,0.3843540400227035,6.3804169488811056,-2.1197615712357485,5.34166797310022,148.4070306800127,1,0.0,0.9893802045334179,2.616429328918457
0.19,0.41697245436808306,6.4065605898545614,-2.100393757427309,5.051748654576427,147.32891235930188,1,0.0,0.9821927490620126,2.3561766147613525
0.195,0.44978712017505096,6.435841159659901,-2.0825914666697476,4.7572021813543035,145.28976292222805,1,0.0,0.9685984194815204,2.0691094398498535
0.2,0.4827808942658483,6.467614160093321,-2.0663898327466113,4.458016173893789,140.66881498219104,1,0.0,0.9377920998812735,1.7194112539291382
0.20500000000000002,0.5159008242264295,6.500399324609866,-2.0518463450324873,4.153593826577159,131.97202549312783,1,0.0,0.8798135032875188,1.3749415874481201
0.21,0.5490801553002345,6.531295991486455,-2.0390244695262627,3.8423697556390666,124.45967597132086,1,0.0,0.8297311731421391,1.1872729063034058
0.215,0.5822588121059048,6.557438547305085,-2.027978951689365,3.52287109204053,116.69808274061769,1,0.0,0.7779872182707847,1.0402511358261108
0.22,0.6153662326406755,6.577011750762325,-2.018767789652903,3.1944292108752754,107.04880059577145,1,0.0,0.7136586706384763,0.8946006894111633
0.225,0.6483165030926854,6.588129839810283,-2.011455677768246,2.8563800099795618,96.21791655417208,1,0.0,0.6414527770278139,0.7606382966041565
0.23,0.6810570786662523,6.588610902458198,-2.006082921660971,2.507890601717514,92.67662973385056,1,0.0,0.6178441982256704,0.7215107083320618
0.23500000000000001,0.7135938609180092,6.578486955521999,-2.002649495585606,2.149555756651905,93.10399512622519,1,0.0,0.6206933008415012,0.7261320948600769
0.24,0.74595786737642,6.560704329229352,-2.0011363789044037,1.7838381212571792,94.90587851335667,1,0.0,0.6327058567557111,0.7459154725074768
0.245,0.7781822023979906,6.538728569842562,-2.0015199190320647,1.4135344250029909,96.42394909953583,1,0.0,0.6428263273302389,0.7629756331443787
0.25,0.8103042035255841,6.515263178460459,-2.003770371506291,1.0409738123691898,99.67605370027967,1,0.0,0.6645070246685311,0.8008416295051575
0.255,0.8423603040113815,6.492547440225011,-2.0078548092088817,0.6682077355655838,101.6639209872199,1,0.0,0.6777594732481327,0.8249581456184387
0.26,0.8743777781223434,6.472215604458625,-2.0137423284798066,0.29693391654464707,103.73757386207969,1,0.0,0.6915838257471979,0.8509852290153503
0.265,0.9064046647416568,6.455035408892058,-2.0213847437927694,-0.07167552613775974,110.09272802744479,1,0.0,0.7339515201829653,0.9372398257255554
0.27,0.9385109739398766,6.442620887634702,-2.0307145285700297,-0.4358774102514616,116.80291098049797,1,0.0,0.7786860732033198,1.04202401638031
0.275,0.9707426137894869,6.43728112563701,-2.041674360061679,-0.7933972965516066,119.13368045754189,1,0.0,0.7942245363836126,1.0827713012695312
0.28,1.003101061831712,6.439542836708261,-2.0542322901355066,-1.1430395469961787,117.86131762098736,1,0.0,0.7857421174732491,1.0602045059204102
0.28500000000000003,1.035550449943797,6.447579529642445,-2.0683796861016615,-1.485176163938506,113.40155500033343,1,0.0,0.7560103666688895,0.9868369698524475
0.29,1.0680315535960743,6.458154052836099,-2.084124024024609,-1.8212519212616236,107.84822723565159,1,0.0,0.7189881815710106,0.9055472016334534
0.295,1.100474718625118,6.467670722240934,-2.1014815036569368,-2.153155837093598,101.4792594536735,1,0.0,0.6765283963578234,0.8226845860481262
0.3,1.1328060369650874,6.472911293132878,-2.1204736315748196,-2.4827408594365834,95.15973451905892,1,0.0,0.6343982301270594,0.7487426400184631
0.305,1.1649545591909878,6.471249386848139,-2.1411223544280564,-2.81166204047158,89.35758427194702,1,0.0,0.5957172284796468,0.6864820122718811
0.31,1.1968562063147046,6.460863151431111,-2.163446988484483,-3.141182673015526,84.330782281546,1,0.0,0.5622052152103068,0.6360517144203186
0.315,1.2284502900053897,6.440729719759172,-2.1874668426391124,-3.47211870758298,79.2410622834214,1,0.0,0.5282737485561426,0.5877476334571838
0.32,1.2596747088573794,6.410251474353638,-2.2132053279454333,-3.805081738418698,74.11738913434887,1,0.0,0.49411592756232575,0.5414912104606628
0.325,1.290456498568581,6.368909548364702,-2.240698991053412,-4.1407355691300705,67.38957667926363,1,0.0,0.44926384452842416,0.48377758264541626
0.33,1.320697234893374,6.315771646833601,-2.2700126954517943,-4.480234832246479,58.30460793110187,1,0.0,0.3886973862073458,0.41026467084884644
0.335,1.3502758327462423,6.24886555136486,-2.3012400642634296,-4.825861344103981,48.28176563813665,1,0.0,0.32187843758757767,0.3337412476539612
0.34,1.3790218738123161,6.165579056167067,-2.334533608752341,-5.180764448659753,31.98139648406274,1,0.0,0.2132093098937516,0.21653109788894653
0.34500000000000003,1.4066794810839216,6.061486345429001,-2.370148487280056,-5.5502505609403805,9.63018150552198,1,0.0,0.0642012100368132,0.0642896369099617
0.35000000000000003,1.4329321789884173,5.928995122652026,-2.408426177685587,-5.943431847091027,-14.254557876768256,1,0.0,-0.0950303858451217,-0.0953180119395256
0.355,1.457402480867721,5.759381237213793,-2.4498025069603604,-6.371458405594836,-43.22509334026639,1,0.0,-0.2881672889351093,-0.2965664267539978
0.36,1.4796456655158385,5.543051021875533,-2.4948207652169567,-6.847410267934792,-73.63763995429804,1,0.0,-0.4909175996953203,-0.5372685790061951
0.365,1.4992014807345937,5.269447498812534,-2.544075468391524,-7.386470613780911,-100.84922570562318,1,0.0,-0.6723281713708212,-0.8149797320365906
0.37,1.5156539337478598,4.929876385047159,-2.5981352279026573,-8.002588119064052,-121.2455060385162,1,0.0,-0.808303373590108,-1.122115135192871
0.375,1.5286682061121348,4.520029939448676,-2.6574826894241332,-8.704929064854698,-134.80123064778243,1,0.0,-0.8986748709852163,-1.465288519859314
0.38,1.5379964559332224,4.040736072800268,-2.722487763806428,-9.496069874714822,-143.39063669463042,1,0.0,-0.9559375779642028,-1.896508812904358
0.385,1.543489361727472,3.4969645456545697,-2.7933714909953355,-10.372306125150853,-147.5714686360752,1,0.0,-0.9838097909071679,-2.404183864593506
0.39,1.5451184051932918,2.89736869895341,-2.8701547214113576,-11.323415953308519,-149.1929587182929,1,0.0,-0.9946197247886195,-2.9577345848083496
0.395,1.5429979319739031,2.254478697506043,-2.9526076733406628,-12.331723485782494,-149.71424379632887,1,0.0,-0.9980949586421926,-3.4777228832244873
0.4,1.5374151939990297,1.584835362160098,-3.040192348481196,-13.371440210802128,-149.7944991401573,1,0.0,-0.9986299942677154,-3.6427011489868164
0.405,1.5288482669295527,0.9094896228763919,-3.132031129186593,-14.407813915128264,-149.91310613802906,1,0.0,-0.9994207075868604,-4.073280334472656
0.41000000000000003,1.517946997051673,0.25377086368343094,3.056241900956323,-15.397799471616041,-149.9591225775154,1,0.0,-0.9997274838501026,-4.450411796569824
0.41500000000000004,1.5054626756536236,-0.3547353461314092,2.959612229532971,-16.293963455545526,-149.9789194374654,1,0.0,-0.999859462916436,-4.781558036804199
0.42,1.4921401653723143,-0.8902675795010182,2.862606048847492,-17.051956162826727,-149.9864722191162,1,0.0,-0.9999098147941079,-5.003373622894287
0.425,1.4786175569770263,-1.3338261986912268,2.7663754993305165,-17.639276156394015,-149.98981147028437,1,0.0,-0.9999320764685624,-5.145120620727539
0.43,1.465369356829151,-1.676500068782818,2.671790375087749,-18.040984593144277,-149.99095295183335,1,0.0,-0.9999396863455556,-5.204534530639648
0.435,1.4526995504203188,-1.9197850589808678,2.5794329011536288,-18.259994656996586,-149.99103789554252,1,0.0,-0.9999402526369502,-5.209251403808594
0.44,1.4407673723493117,-2.0733291146772497,2.489648069444609,-18.31286968945345,-149.99018859941938,1,0.0,-0.9999345906627959,-5.163980007171631
0.445,1.4296244870765284,-2.1516057395582924,2.4026110981674185,-18.223893852541075,-149.98828201039476,1,0.0,-0.9999218800692983,-5.075186729431152
0.45,1.4192497621228046,-2.170848568307895,2.3183882126447166,-18.019768953265334,-149.984944555011,1,0.0,-0.99989963036674,-4.949873924255371
0.455,1.4095762461314925,-2.1468726739171125,2.236982316352363,-17.725970991084093,-149.97968204598686,1,0.0,-0.9998645469732457,-4.79998254776001
0.46,1.4005100025203299,-2.0938303050034426,2.158363848273879,-17.36477305793074,-149.97197707465352,1,0.0,-0.9998131804976901,-4.6392107009887695
0.465,1.391942409729754,-2.0236849093107114,2.082490210291782,-16.954503197372258,-149.95995406876239,1,0.0,-0.9997330271250826,-4.460688591003418
0.47000000000000003,1.3837578263270929,-1.9461433215118311,2.009317345737319,-16.509559297134043,-149.94109540739234,1,0.0,-0.9996073027159489,-4.267711162567139
0.47500000000000003,1.3758381983645314,-1.8688366612669363,1.9388062819608365,-16.04081270057369,-149.91030248794343,1,0.0,-0.9994020165862895,-4.057397842407227
0.48,1.368065868781806,-1.7976088940782669,1.8709266372829862,-15.556162714254393,-149.8371355426512,1,0.0,-0.9989142369510079,-3.759038209915161
0.485,1.360325263371682,-1.7368231496949835,1.8056582466386617,-15.061104269583307,-149.70326336625993,1,0.0,-0.9980217557750661,-3.4588515758514404
0.49,1.3525039898403677,-1.6896476327774321,1.7429916539471675,-14.559247734403709,-149.45818580161003,1,0.0,-0.9963879053440668,-3.1574034690856934
0.495,1.3444939176365147,-1.6582994011487913,1.6829279630521654,-14.052765435377491,-149.0124577921581,1,0.0,-0.993416385281054,-2.856510639190674
0.5,1.3361926089353784,-1.644228161054253,1.6254781899153032,-13.542758621283223,-148.20675458580772,1,0.0,-0.9880450305720515,-2.556879997253418
0.505,1.327505475997512,-1.648236555847495,1.5706620804803268,-13.029557622805527,-146.79056938382996,1,0.0,-0.9786037958921998,-2.2634665966033936
0.51,1.3183484305013604,-1.6705340637789292,1.5185062056097713,-12.512973688852965,-144.51144528468663,1,0.0,-0.9634096352312442,-1.9913264513015747
0.515,1.3086525983436765,-1.7107528226417879,1.4690410764486899,-11.992524010167498,-140.71850722347682,1,0.0,-0.9381233814898454,-1.7221665382385254
0.52,1.2983706406687885,-1.767856224865535,1.422296838238279,-11.467649465679697,-134.86331389845216,1,0.0,-0.8990887593230145,-1.4674440622329712
0.525,1.2874857634536387,-1.8399900523935422,1.3782968103871411,-10.937949009780315,-125.79885007858358,1,0.0,-0.8386590005238905,-1.216635823249817
0.53,1.2760289793551816,-1.924236400052644,1.3370467267089179,-10.40346314989213,-111.35970184790521,1,0.0,-0.7423980123193681,-0.9558009505271912
0.535,1.2641013273338153,-2.016016504962342,1.2985188321855112,-9.865101546330258,-89.4835424029128,1,0.0,-0.596556949352752,-0.6877846717834473
0.54,1.251877918218272,-2.108394979790069,1.2626396376393574,-9.325220885918027,-61.733985965703404,1,0.0,-0.4115599064380227,-0.43748778104782104
0.545,1.2396115077378953,-2.1924666906197174,1.2292779588246052,-8.787875391746212,-26.180583955382613,1,0.0,-0.17453722636921742,-0.1763426661491394
0.55,1.227616161696608,-2.2576705419836225,1.1982447460252112,-8.258990484547267,11.841012136069704,1,0.0,0.07894008090713137,0.07910466939210892
0.555,1.216169704053486,-2.293020208552086,1.1693416711450286,-7.745903503380148,38.72501835063658,1,0.0,0.2581667890042439,0.26414328813552856
0.56,1.2054762344033814,-2.29208803857016,1.142389788296951,-7.254581371544242,61.05412436520952,1,0.0,0.40702749576806346,0.43204328417778015
0.5650000000000001,1.1956815291917662,-2.2537395114328413,1.1172321813724633,-6.788530171062067,75.66392705479188,1,0.0,0.5044261803652792,0.5552252531051636
0.5700000000000001,1.1868653377126281,-2.1800398941553905,1.0937470854614144,-6.349277974520933,84.61319465919838,1,0.0,0.5640879643946559,0.6388088464736938
0.5750000000000001,1.1790698498622307,-2.0758394945734335,1.0718362341359606,-5.936213276443143,91.46302512665096,1,0.0,0.6097535008443398,0.7085288763046265
0.58,1.1723215209018152,-1.9466540134499346,1.051413624291743,-5.547702523605047,96.91193918081463,1,0.0,0.6460795945387642,0.7685398459434509
0.585,1.1666368651731804,-1.7974069581082173,1.0324029914226438,-5.1819073849146715,101.47042461306926,1,0.0,0.6764694974204617,0.8225759863853455
0.59,1.1620216323052852,-1.6322880050128892,1.0147395241211896,-4.836962182140958,104.60803543099317,1,0.0,0.6973869028732878,0.8621950745582581
0.595,1.158472676438284,-1.4549776471544171,0.9983692285508363,-4.510895001678428,107.27838342904279,1,0.0,0.7151892228602853,0.897726833820343
0.6,1.1559819963566391,-1.2686810287158625,0.9832463197241825,-4.201686029776486,109.3269085470022,1,0.0,0.7288460569800147,0.9262613654136658
0.605,1.1545380769616551,-1.076044775619152,0.9693323380531025,-3.907409963665054,111.19744815968478,1,0.0,0.7413163210645652,0.9533953070640564
0.61,1.1541278423868466,-0.8792295514635754,0.956594629284309,-3.626256556302793,112.83433996509008,1,0.0,0.7522289331006006,0.9780693650245667
0.615,1.1547272006705223,-0.679933892338106,0.9450144898699504,-3.3565778556667665,112.7067771469718,1,0.0,0.7513785143131454,0.9761134386062622
0.62,1.1562830186088937,-0.47998250506978674,0.9346032018041237,-3.096440362468007,109.27202646144782,1,0.0,0.7284801764096521,0.9254813194274902
0.625,1.1586972727494724,-0.2821959818837675,0.925416819128567,-2.84289467514234,101.34067184410992,1,0.0,0.6756044789607328,0.8209828734397888
0.63,1.161831094391215,-0.09093427938388962,0.9175533707195198,-2.591490140134591,90.66856867570407,1,0.0,0.6044571245046938,0.7001407742500305
0.635,1.1655169091810171,0.08849037254919537,0.9111422950205768,-2.3367900255533023,77.40537414244307,1,0.0,0.5160358276162871,0.5709216594696045
0.64,1.1695514642773046,0.2506585189020082,0.906350576845262,-2.0731463041121296,60.0521975724825,1,0.0,0.40034798381655,0.4240632653236389
0.645,1.1737166096049028,0.38972164399087983,0.9033630490557245,-1.7944456368498354,43.27593351705232,1,0.0,0.2885062234470155,0.2969360947608948
0.65,1.1778674262579387,0.5005484993730785,0.9023002111675495,-1.4952106171142505,36.8790676101681,1,0.0,0.245860450734454,0.25100213289260864
0.655,1.1819908443953442,0.5829522071816069,0.9031634423930193,-1.174549857244436,41.11182657895661,1,0.0,0.2740788438597107,0.2812686562538147
0.66,1.1860937438404189,0.6433850622564785,0.9059386606951403,-0.837750831659841,37.73377935647028,1,0.0,0.2515585290431352,0.2570759356021881
0.665,1.1901391906883148,0.6876837689460824,0.9106548477213448,-0.4895522086388298,34.24422160421523,1,0.0,0.22829481069476817,0.23238977789878845
0.67,1.1941145659942984,0.7180351691043665,0.9173209325410134,-0.13135480516889908,34.316921977840636,1,0.0,0.2287794798522709,0.23290115594863892
0.675,1.1980124433948973,0.7372951421274592,0.9259435018293098,0.23478813710675983,31.247482419967845,1,0.0,0.2083165494664523,0.21141088008880615
0.68,1.2018105904276302,0.7478652266255273,0.936544775596893,0.6072195672448905,28.29445652507609,1,0.0,0.18862971016717392,0.19091594219207764
0.685,1.2054798218698635,0.7508062716057878,0.9491548141745278,0.9854783638128244,23.38441769186537,1,0.0,0.15589611794576913,0.15717780590057373
0.6900000000000001,1.2089296121679376,0.7465662758160059,0.9638578691356514,1.3696107017413621,9.054973998318228,1,0.0,0.060366493322121524,0.060439981520175934
0.6950000000000001,1.2119393145047903,0.7324142217656997,0.980846733339126,1.7623607743621998,-20.08598048131392,1,0.0,-0.1339065365420928,-0.13471561670303345
0.7000000000000001,1.2142767562038885,0.6997957831669106,1.0003158712472153,2.171213790945378,-39.667751499136486,1,0.0,-0.2644516766609099,-0.2708888053894043
0.705,1.2157644248900672,0.641718922330105,1.022404228499445,2.601867238613501,-62.599396065721635,1,0.0,-0.4173293071048109,-0.44445371627807617
0.71,1.2162393072553577,0.555672626056501,1.0472296653703381,3.05581829157161,-82.86887343888864,1,0.0,-0.5524591562592576,-0.6219138503074646
0.715,1.215569299912403,0.4404985878069106,1.0748756968776654,3.533135562223363,-103.49931676556527,1,0.0,-0.6899954451037684,-0.8479470610618591
0.72,1.213695993374601,0.2968735737074511,1.105363211311328,4.032153247033885,-113.26877779991905,1,0.0,-0.7551251853327937,-0.9847741723060608
0.725,1.2106631891917237,0.12898985339048613,1.138637228487343,4.548490656958549,-116.8538108001017,1,0.0,-0.7790254053340113,-1.0428866147994995
0.73,1.2065586658771228,-0.05489781910100161,1.1746153674603992,5.075068851519655,-118.96961384841156,1,0.0,-0.7931307589894103,-1.0798157453536987
0.735,1.2014754606455176,-0.2463995300557948,1.2132162818625467,5.6052085872925534,-121.55310069978272,1,0.0,-0.8103540046652181,-1.1280592679977417
0.74,1.1955033901586698,-0.4389599091220957,1.2543651378445944,6.133952160576792,-124.1026918796267,1,0.0,-0.8273512791975114,-1.1796818971633911
0.745,1.188732168740996,-0.6278234561839608,1.2979916756316854,6.657906919534977,-126.3965813912382,1,0.0,-0.842643875941588,-1.2302225828170776
0.75,1.1812546742083885,-0.8094286630216734,1.3440290017085248,7.174757079005784,-127.8471981385258,1,0.0,-0.8523146542568386,-1.2645536661148071
0.755,1.1731724987558758,-0.9809462238966293,1.3924125037670958,7.682934113096309,-127.71451044786605,1,0.0,-0.8514300696524403,-1.261328935623169
0.76,1.164590146712806,-1.1398184405481162,1.4430831827799118,8.181375687750782,-127.68517798189549,1,0.0,-0.8512345198793033,-1.2606184482574463
