time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,observer_blend,action_norm,policy_raw
0.0,-0.03656428434925813,0.0,2.6165230852739985,0.0,149.9852797147274,1,0.0,0.9999018647648493,4.9611310958862305
0.005,-0.03247651228420731,0.06938704904142501,2.623592832185854,0.11975322289545787,149.9930115214506,1,0.0,0.999953410143004,5.333625793457031
0.01,-0.025785185071110432,0.25642889003360536,2.6351810069613215,0.4433022627643668,149.99621244421803,1,0.0,0.9999747496281203,5.639902114868164
0.015,-0.016568008336700243,0.5268880281800572,2.6511491383537162,0.9118854358466544,149.9975823807361,1,0.0,0.9999838825382408,5.864373207092285
0.02,-0.004888102044692753,0.8560248578555554,2.67137092358173,1.482320646504727,149.997459079233,1,0.0,0.9999830605282201,5.83950138092041
0.025,0.00920170093192572,1.2260139579920495,2.695726538446003,2.1228297462792227,149.99747943445064,1,0.0,0.9999831962296709,5.843523025512695
0.03,0.02565425043064418,1.6240006173249535,2.7240965730219804,2.809903052923076,149.99670689802963,1,0.0,0.9999780459868642,5.709848403930664
0.035,0.04442299948557115,2.0406279379296484,2.7563553260366955,3.525929018491178,149.99509758448136,1,0.0,0.9999673172298756,5.510896682739258
0.04,0.06545636369499763,2.4689084061935906,2.792363304820089,4.257384414604141,149.99276200739683,1,0.0,0.999951746715979,5.316084861755371
0.045,0.0886915117968998,2.9033495151165276,2.8319588929102775,4.993437250122785,149.98935378500641,1,0.0,0.9999290252333761,5.1231489181518555
0.05,0.11404777607178467,3.339269541432494,2.8749494368813355,5.724857342101507,149.98438176650686,1,0.0,0.9998958784433791,4.931523323059082
0.055,0.14142017731849188,3.772265369818622,2.921102469564688,6.443170205129033,149.980011307776,1,0.0,0.99986674205184,4.808152198791504
0.06,0.1706738448391229,4.1978190896993235,2.9701382452912473,7.140029288014393,149.97564325544192,1,0.0,0.9998376217029461,4.709323883056641
0.065,0.20164042386200876,4.611047693306041,3.021725269000582,7.806810752338763,149.9700206759129,1,0.0,0.9998001378394195,4.605464935302734
0.07,0.2341177905147013,5.006614721123826,3.075480869819505,8.434459249720799,149.964775075106,1,0.0,0.9997651671673732,4.5248332023620605
0.075,0.2678740954439716,5.378829373477506,3.1309784153991007,9.013624478236764,149.9597547415703,1,0.0,0.9997316982771353,4.458205699920654
0.08,0.3026564145969187,5.721937276571639,-3.095423736587641,9.535095637657355,149.9554102338164,1,0.0,0.9997027348921093,4.406942367553711
0.085,0.33820320394890463,6.030568915076081,-3.037821064050294,9.990479487885246,149.95212289000978,1,0.0,0.9996808192667319,4.371370315551758
0.09,0.37425858074357576,6.300266153906365,-2.979852333276878,10.372993242781277,149.94634438357494,1,0.0,0.9996422958904996,4.314386367797852
0.095,0.4105859408073528,6.527968455163333,-2.921937566950798,10.678181470756769,149.9366058651425,1,0.0,0.9995773724342832,4.230977535247803
0.1,0.4469787399142024,6.712344344561351,-2.864447564982866,10.904374419371564,149.9274210642186,1,0.0,0.999516140428124,4.163310527801514
0.105,0.48326703404680266,6.853898213763502,-2.8076951921152333,11.052780912925277,149.9177667616352,1,0.0,0.9994517784109013,4.100852012634277
0.11,0.519319596355567,6.954838366952645,-2.751933761663518,11.127204328075592,149.90817199672827,1,0.0,0.9993878133115218,4.045657157897949
0.115,0.5550424569744178,7.018756890652693,-2.697360910384935,11.13347476864245,149.90055831422507,1,0.0,0.9993370554281671,4.005817413330078
0.12,0.5903750397661691,7.0502106989320525,-2.6441258976853454,11.07874864041099,149.8947908198872,1,0.0,0.9992986054659146,3.9776182174682617
0.125,0.6252850675200343,7.054287163786601,-2.592338373140911,10.970812115287728,149.8886280154577,1,0.0,0.9992575201030512,3.9491453170776367
0.13,0.6597632458752315,7.0362167605331996,-2.5420770387009757,10.817485313687525,149.8872824920282,1,0.0,0.9992485499468546,3.943138599395752
0.135,0.6938182201446084,7.001071488159764,-2.4933974652496267,10.626180707262403,149.88181138604702,1,0.0,0.9992120759069801,3.91943097114563
0.14,0.7274721622032971,6.953552329588672,-2.4463386153853794,10.403614203014252,149.8765058660749,1,0.0,0.9991767057738326,3.8974661827087402
0.145,0.7607571530794762,6.897861350125954,-2.400927931747354,10.155653145473051,149.87149888915297,1,0.0,0.9991433259276865,3.8775858879089355
0.15,0.7937122321306185,6.837645556403414,-2.357185245940155,9.887274041006052,149.86640315397497,1,0.0,0.9991093543598331,3.858132839202881
0.155,0.8263810694136934,6.775988119859679,-2.3151256524058677,9.602589821114488,149.861553152179,1,0.0,0.9990770210145267,3.84029483795166
