#{"t_start": 1784738342.1946445, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
497.42494,72,0.171332
406.685508,62,0.309434
325.876224,51,0.428616
379.30757,59,0.561955
220.206797,38,0.646662
356.423066,57,0.780035
442.116293,66,0.92528
467.428947,67,1.069761
279.550599,46,1.175261
530.785293,79,1.357458
218.918557,37,1.44436
616.430062,88,1.655006
568.452664,79,1.846521
280.532419,48,1.954894
293.394023,49,2.06192
422.151725,68,2.217448
347.715907,53,2.336806
253.630392,43,3.22628
280.619525,48,3.335355
305.640357,50,3.444384
302.689256,51,3.560887
499.453252,74,3.723933
340.041999,52,3.851853
314.232505,49,3.959723
755.188012,103,4.190364
402.563276,61,4.33201
275.840235,46,4.43985
364.617024,56,4.56435
366.91136,55,4.692129
326.656997,53,4.81206
291.528252,47,4.918011
619.955959,89,5.539948
361.705534,54,5.660909
481.653946,73,5.825449
250.089126,43,6.731332
379.976225,57,6.861152
262.416031,44,6.960443
452.376444,65,7.114734
1133.649788,151,7.459701
280.02351,50,7.568346
220.900877,40,7.658175
829.020393,112,7.915587
868.795635,117,8.189771
315.606427,54,8.316664
634.067722,89,8.524715
295.296703,47,8.630879
346.050669,53,8.75224
982.887279,132,9.83931
687.527238,100,10.063037
538.958583,80,10.242865
441.02168,66,10.391493
600.822211,86,10.57728
518.596691,77,10.751845
360.491749,56,10.873604
667.136623,94,11.077202
327.593277,55,11.199384
711.516067,100,12.020524
754.116245,103,12.250895
819.214487,114,12.502143
643.841175,90,13.49245
602.660511,90,13.683372
1357.703293,189,14.096356
841.622279,117,14.35128
1196.447536,159,14.699294
374.37074,59,14.847477
2244.871962,287,15.483884
1388.628119,182,16.708574
1297.860752,173,17.087131
699.095835,100,17.301693
3528.505457,483,19.389357
566.329806,85,19.575912
489.96612,74,19.736128
1767.423983,230,21.046689
879.753371,119,21.299707
435.256075,64,21.439183
1225.64517,165,21.793527
10633.416405,1406,29.771332
2866.137334,365,31.336628
