#{"t_start": 1784738342.1874604, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
271.057296,45,0.111004
669.301418,95,0.33109
262.935492,44,0.432307
377.330546,57,0.561768
353.789448,56,0.688849
723.442717,102,0.918743
670.732251,94,1.12625
254.041385,43,1.226864
396.935442,62,1.367285
479.936638,73,1.533674
819.782521,112,1.814502
583.715688,87,2.006429
270.522743,47,2.11227
388.59228,60,2.247819
222.819366,37,2.331405
406.5637,62,3.265632
266.313932,43,3.36158
279.454569,48,3.469185
608.239652,88,3.664334
284.029508,48,3.78292
589.47942,85,3.971547
275.90926,49,4.077164
712.755798,99,4.30634
142.707096,29,4.377973
239.92135,44,4.479119
457.084324,68,4.628083
743.560788,102,4.861429
465.990729,70,5.015903
471.791174,68,5.594272
239.84449,41,5.686638
946.761828,128,6.783636
1136.072278,154,7.14118
464.848274,70,7.300255
180.370766,33,7.376887
993.010586,134,7.675596
489.406242,72,7.842311
443.016205,67,7.998327
365.700937,56,8.127364
233.188188,41,8.22245
214.620381,38,8.312037
306.724028,48,8.423117
890.599934,122,8.702216
297.013559,51,8.820527
354.296066,60,8.952386
1102.549396,148,10.077293
261.283843,46,10.17974
866.98342,120,10.449469
793.134358,108,10.685473
369.213252,57,10.810828
1089.421946,146,11.130259
819.624247,112,11.981058
405.452568,62,12.114622
580.900938,81,12.297182
405.752452,64,12.438292
669.901491,95,12.642623
272.534187,48,13.544357
722.435471,100,13.755691
648.115513,94,13.963663
479.846563,76,14.130052
1494.43723,193,14.549929
483.665132,71,14.705653
481.190048,70,14.878908
795.644834,109,15.114401
698.599224,96,15.330375
1664.002517,219,16.642818
2828.161567,360,17.421286
1754.437014,226,18.947519
968.412403,131,19.233861
879.59562,119,19.495672
880.472869,121,19.760906
670.477364,94,20.775632
1881.138443,243,21.297108
1392.753495,185,21.695326
995.595514,133,21.981567
2230.960773,285,22.589894
515.814497,77,22.757012
6039.210944,784,29.400466
