#{"t_start": 1784738342.1774504, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
459.623936,69,0.178434
570.244941,82,0.367125
430.819699,64,0.514237
486.524719,73,0.676965
413.729413,62,0.820681
474.082604,70,0.974977
321.675616,53,1.089928
457.557373,67,1.246575
306.044713,49,1.354319
873.13064,119,1.626231
288.618859,47,1.762239
456.301494,66,1.909447
575.410352,81,2.088034
408.494872,61,2.225491
360.569118,57,2.356811
605.839761,87,3.344461
327.397115,51,3.454705
322.886821,52,3.574094
420.91105,64,3.716805
317.800793,50,3.838093
1169.570712,156,4.183631
344.464667,54,4.310088
423.570685,64,4.462517
650.010959,92,4.669974
412.362757,64,4.81354
245.189927,41,4.907053
386.418424,58,5.035538
143.661327,29,5.524198
709.4194,101,5.754003
315.238802,51,5.867825
456.864138,70,6.833945
531.790198,77,7.016046
401.655592,59,7.15016
884.370394,120,7.426581
532.371123,79,7.598855
414.932431,63,7.744558
650.085703,96,7.965713
590.835879,82,8.156393
493.168269,78,8.340573
589.445901,84,8.532801
234.791304,40,8.623872
516.304352,79,8.805368
249.128325,43,8.900741
146.297427,29,8.965451
609.428334,89,9.957927
555.167827,80,10.13406
500.150056,76,10.305881
665.112145,94,10.514677
390.788058,61,10.648002
348.217458,52,10.76503
266.956109,44,10.859886
1039.092127,139,11.165511
602.535694,84,11.945902
705.801712,102,12.178956
396.454506,61,12.314714
664.590775,93,12.517961
646.581472,90,13.508073
1230.481991,163,13.859692
340.823392,57,13.98487
481.876254,71,14.139083
988.12603,133,14.43013
471.248773,68,14.57981
682.052948,97,14.789077
1255.380899,169,15.176844
1411.045373,186,15.599412
1153.161547,154,16.759052
870.022706,118,17.014647
1586.299669,205,17.456625
1781.142324,231,18.996003
901.712265,123,19.264949
794.57384,110,19.504532
1177.016331,155,19.84518
2797.448112,373,21.461898
23757.601584,3001,38.718035
