timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
9520,508.4376,74,6.870778378378378,6.522892594410589,0.0,0.0
9584,647.175991,90,7.190844344444444,6.550098314780959,0.0,0.0
9632,341.919881,55,6.216725109090909,6.559144406611766,0.0,0.0
9680,714.176472,98,7.287515020408163,6.571107571605764,0.0,0.0
9824,255.100931,42,6.07383169047619,6.54878759284386,0.0,0.0
9920,475.050932,70,6.786441885714286,6.557047679175181,0.0,0.0
9952,290.822632,46,6.3222311304347825,6.5481206809188395,0.0,0.0
10000,442.526486,66,6.704946757575757,6.550158154656213,0.0,0.0
10016,375.739038,62,6.060307064516129,6.522190162362306,0.0,0.0
10080,1014.115002,135,7.511962977777777,6.543424888450835,0.0,0.0
10112,542.573151,78,6.956066038461539,6.567282300617239,0.0,0.0
10160,316.603978,50,6.3320795599999995,6.563878686675211,0.0,0.0
10272,1105.339404,152,7.2719697631578954,6.574936167351902,0.0,0.0
10352,323.350118,52,6.2182715,6.560048981033494,0.0,0.0
10384,315.902848,50,6.31805696,6.544887051531147,0.0,0.0
10384,255.760115,44,5.812729886363637,6.533238252318431,0.0,0.0
10448,504.525581,72,7.007299736111111,6.535928582838376,0.0,0.0
10608,300.234716,49,6.127239102040816,6.517534933932042,0.0,0.0
10624,407.542362,62,6.573263903225807,6.527632426932652,0.0,0.0
10720,229.450502,40,5.73626255,6.502787403599317,0.0,0.0
10736,606.300657,85,7.132948905882353,6.500332887614841,0.0,0.0
10736,314.072935,51,6.158292843137255,6.510949246179186,0.0,0.0
10752,248.417078,40,6.2104269500000004,6.497683999157328,0.0,0.0
10752,275.35228,47,5.858559148936171,6.497408766621866,0.0,0.0
10848,365.778333,56,6.531755946428571,6.505335331502819,0.0,0.0
10896,1142.096036,155,7.368361522580645,6.523112596144396,0.0,0.0
10960,257.781702,43,5.9949233023255815,6.512894753934334,0.0,0.0
11024,341.822003,54,6.330037092592592,6.488304900218034,0.0,0.0
