#{"t_start": 1784739506.2384853, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
611.802862,87,0.215708
530.327466,76,0.393923
416.946664,62,0.54267
307.251897,48,0.655155
382.919301,57,0.787424
440.193996,65,0.945174
503.521386,72,1.120398
292.807377,48,1.226242
589.851701,84,1.405581
205.923595,37,1.49098
220.256416,38,1.57393
249.235497,42,1.669742
270.645913,46,1.77928
377.190424,58,1.907809
713.462924,99,2.1308
595.385266,85,2.320489
227.233873,40,3.205584
461.128848,70,3.362694
521.499996,79,3.535924
328.035612,51,3.652614
653.745472,90,3.864681
781.395453,107,4.110149
378.994884,60,4.245043
177.62736,34,4.324275
327.138708,55,4.444688
518.973998,79,4.62516
359.015637,56,4.749355
395.667872,61,4.892004
493.72315,72,5.053454
471.91875,75,5.696654
601.918617,85,5.894076
372.269761,58,6.822238
595.264996,84,7.002586
573.632481,85,7.191636
360.13129,55,7.313017
438.801897,68,7.46824
248.815289,46,7.567386
249.165285,43,7.661113
472.819262,69,7.814037
854.382347,119,8.079456
358.845452,57,8.207572
392.783245,60,8.342926
370.432813,60,8.476504
646.250112,91,8.683914
317.066149,52,8.804116
419.183953,63,8.942352
318.046971,53,9.882757
539.931482,81,10.069632
1037.170687,140,10.384321
474.389019,71,10.539742
643.570818,94,10.748129
582.259642,85,10.936125
633.707321,91,11.137177
429.065299,66,11.279743
305.274176,51,11.974357
713.441063,103,12.205801
425.560722,65,12.350445
343.307373,59,12.484229
354.034546,56,12.613981
900.57416,122,13.710246
1557.195596,203,14.170218
480.411082,72,14.33356
871.37951,119,14.600514
792.635173,110,14.835923
1946.627212,251,15.397323
778.16477,114,15.64543
880.632353,120,16.702554
1058.761467,141,17.002805
2809.098843,354,19.753398
1749.050287,224,20.235781
1367.179399,182,20.631066
7039.648777,871,23.334085
415.734637,65,23.47684
5255.658051,663,30.016452
