global_step,stage_index,stage_name,level,domain_json
20000,1,smoke_nominal,0.0,"{'level': 0.0, 'physical': {'g': 9.8, 'c_theta': 0.025, 'c_alpha': 0.001, 'k_t': 0.231, 'k_b': 0.1875, 'k_u': 0.04706, 'R': 4.2857, 'm1': 0.20625, 'm2': 0.15845, 'l1cg': 0.080305, 'l1': 0.151894, 'l2cg': 0.066733, 'I1z': 0.00049228, 'I2x': 0.00036892, 'I2y': 2.3641e-05, 'I2z': 0.00036139}, 'init_theta_std_deg': 5.0, 'init_alpha_std_deg': 8.0, 'init_theta_dot_std': 0.0, 'init_alpha_dot_std': 0.0, 'pwm_limit': 150.0, 'pwm_gain': 1.0, 'pwm_bias': 0.0, 'pwm_deadzone': 0.0, 'pwm_noise_sigma': 0.0, 'actuator_tau': 0.0, 'action_delay_steps': 0, 'theta_bias': 0.0, 'alpha_bias': 0.0, 'theta_sigma': 0.0, 'alpha_sigma': 0.0, 'theta_dot_sigma': 0.0, 'alpha_dot_sigma': 0.0, 'encoder_quantization_rad': 0.0, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
22000,1,smoke_nominal,0.0,"{'level': 0.0, 'physical': {'g': 9.8, 'c_theta': 0.025, 'c_alpha': 0.001, 'k_t': 0.231, 'k_b': 0.1875, 'k_u': 0.04706, 'R': 4.2857, 'm1': 0.20625, 'm2': 0.15845, 'l1cg': 0.080305, 'l1': 0.151894, 'l2cg': 0.066733, 'I1z': 0.00049228, 'I2x': 0.00036892, 'I2y': 2.3641e-05, 'I2z': 0.00036139}, 'init_theta_std_deg': 5.0, 'init_alpha_std_deg': 8.0, 'init_theta_dot_std': 0.0, 'init_alpha_dot_std': 0.0, 'pwm_limit': 150.0, 'pwm_gain': 1.0, 'pwm_bias': 0.0, 'pwm_deadzone': 0.0, 'pwm_noise_sigma': 0.0, 'actuator_tau': 0.0, 'action_delay_steps': 0, 'theta_bias': 0.0, 'alpha_bias': 0.0, 'theta_sigma': 0.0, 'alpha_sigma': 0.0, 'theta_dot_sigma': 0.0, 'alpha_dot_sigma': 0.0, 'encoder_quantization_rad': 0.0, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
24000,1,smoke_nominal,0.0,"{'level': 0.0, 'physical': {'g': 9.8, 'c_theta': 0.025, 'c_alpha': 0.001, 'k_t': 0.231, 'k_b': 0.1875, 'k_u': 0.04706, 'R': 4.2857, 'm1': 0.20625, 'm2': 0.15845, 'l1cg': 0.080305, 'l1': 0.151894, 'l2cg': 0.066733, 'I1z': 0.00049228, 'I2x': 0.00036892, 'I2y': 2.3641e-05, 'I2z': 0.00036139}, 'init_theta_std_deg': 5.0, 'init_alpha_std_deg': 8.0, 'init_theta_dot_std': 0.0, 'init_alpha_dot_std': 0.0, 'pwm_limit': 150.0, 'pwm_gain': 1.0, 'pwm_bias': 0.0, 'pwm_deadzone': 0.0, 'pwm_noise_sigma': 0.0, 'actuator_tau': 0.0, 'action_delay_steps': 0, 'theta_bias': 0.0, 'alpha_bias': 0.0, 'theta_sigma': 0.0, 'alpha_sigma': 0.0, 'theta_dot_sigma': 0.0, 'alpha_dot_sigma': 0.0, 'encoder_quantization_rad': 0.0, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
26000,1,smoke_nominal,0.0,"{'level': 0.0, 'physical': {'g': 9.8, 'c_theta': 0.025, 'c_alpha': 0.001, 'k_t': 0.231, 'k_b': 0.1875, 'k_u': 0.04706, 'R': 4.2857, 'm1': 0.20625, 'm2': 0.15845, 'l1cg': 0.080305, 'l1': 0.151894, 'l2cg': 0.066733, 'I1z': 0.00049228, 'I2x': 0.00036892, 'I2y': 2.3641e-05, 'I2z': 0.00036139}, 'init_theta_std_deg': 5.0, 'init_alpha_std_deg': 8.0, 'init_theta_dot_std': 0.0, 'init_alpha_dot_std': 0.0, 'pwm_limit': 150.0, 'pwm_gain': 1.0, 'pwm_bias': 0.0, 'pwm_deadzone': 0.0, 'pwm_noise_sigma': 0.0, 'actuator_tau': 0.0, 'action_delay_steps': 0, 'theta_bias': 0.0, 'alpha_bias': 0.0, 'theta_sigma': 0.0, 'alpha_sigma': 0.0, 'theta_dot_sigma': 0.0, 'alpha_dot_sigma': 0.0, 'encoder_quantization_rad': 0.0, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
28000,1,smoke_nominal,0.0,"{'level': 0.0, 'physical': {'g': 9.8, 'c_theta': 0.025, 'c_alpha': 0.001, 'k_t': 0.231, 'k_b': 0.1875, 'k_u': 0.04706, 'R': 4.2857, 'm1': 0.20625, 'm2': 0.15845, 'l1cg': 0.080305, 'l1': 0.151894, 'l2cg': 0.066733, 'I1z': 0.00049228, 'I2x': 0.00036892, 'I2y': 2.3641e-05, 'I2z': 0.00036139}, 'init_theta_std_deg': 5.0, 'init_alpha_std_deg': 8.0, 'init_theta_dot_std': 0.0, 'init_alpha_dot_std': 0.0, 'pwm_limit': 150.0, 'pwm_gain': 1.0, 'pwm_bias': 0.0, 'pwm_deadzone': 0.0, 'pwm_noise_sigma': 0.0, 'actuator_tau': 0.0, 'action_delay_steps': 0, 'theta_bias': 0.0, 'alpha_bias': 0.0, 'theta_sigma': 0.0, 'alpha_sigma': 0.0, 'theta_dot_sigma': 0.0, 'alpha_dot_sigma': 0.0, 'encoder_quantization_rad': 0.0, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
30000,2,smoke_dr_0.10,0.1,"{'level': 0.1, 'physical': {'g': 9.83772158728565, 'c_theta': 0.026141855649224624, 'c_alpha': 0.001300878465746099, 'k_t': 0.22699795136907092, 'k_b': 0.1857156151918809, 'k_u': 0.04774678434787586, 'R': 4.341482424439751, 'm1': 0.20233012618867913, 'm2': 0.15794120798797368, 'l1cg': 0.08024490368598818, 'l1': 0.15037820523463571, 'l2cg': 0.06724271804846702, 'I1z': 0.0004893969379454105, 'I2x': 0.00036824194366509545, 'I2y': 2.4210099012695497e-05, 'I2z': 0.0003779719164154918}, 'init_theta_std_deg': 5.3284320704520765, 'init_alpha_std_deg': 7.8292817918869915, 'init_theta_dot_std': 0.018635336045251655, 'init_alpha_dot_std': 0.12787268935081647, 'pwm_limit': 150.31694871995336, 'pwm_gain': 0.9925026178393291, 'pwm_bias': 0.22662501740634544, 'pwm_deadzone': 0.17248511422275947, 'pwm_noise_sigma': 0.04329897818633093, 'actuator_tau': 0.0010275284428813572, 'action_delay_steps': 0, 'theta_bias': 0.0009047644465222683, 'alpha_bias': -0.0011856489692908614, 'theta_sigma': 0.0003969841201729135, 'alpha_sigma': 0.00013735805501714426, 'theta_dot_sigma': 0.023115430853167918, 'alpha_dot_sigma': 0.021789555232132156, 'encoder_quantization_rad': 2.10777626535343e-05, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
32000,2,smoke_dr_0.10,0.1,"{'level': 0.1, 'physical': {'g': 9.845389132329991, 'c_theta': 0.03022282213170642, 'c_alpha': 0.0009898189664548527, 'k_t': 0.23009245264325215, 'k_b': 0.18958826466522283, 'k_u': 0.046375767840994765, 'R': 4.235362462118066, 'm1': 0.20135074225703906, 'm2': 0.15881664143436747, 'l1cg': 0.080082304462353, 'l1': 0.15116831189341473, 'l2cg': 0.0673385657298288, 'I1z': 0.00048517497084597084, 'I2x': 0.00037365361857871613, 'I2y': 2.5329483249325058e-05, 'I2z': 0.00035797699555191595}, 'init_theta_std_deg': 4.982059407883207, 'init_alpha_std_deg': 8.152867727708625, 'init_theta_dot_std': 0.09557533773920107, 'init_alpha_dot_std': 0.23839289906940017, 'pwm_limit': 147.0824244913508, 'pwm_gain': 1.00046527692282, 'pwm_bias': 0.26475788307953474, 'pwm_deadzone': 0.1801292711292768, 'pwm_noise_sigma': 0.11478814549069305, 'actuator_tau': 0.0013844311785344923, 'action_delay_steps': 0, 'theta_bias': 0.00018028937355672953, 'alpha_bias': -0.0011546672366087567, 'theta_sigma': 0.000574790884261839, 'alpha_sigma': 0.0011076831260630048, 'theta_dot_sigma': 0.011144775845145359, 'alpha_dot_sigma': 0.04096621749168262, 'encoder_quantization_rad': 7.957106771390263e-05, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
34000,2,smoke_dr_0.10,0.1,"{'level': 0.1, 'physical': {'g': 9.753762012596539, 'c_theta': 0.026864317923260467, 'c_alpha': 0.0013201725389419363, 'k_t': 0.22923533297360138, 'k_b': 0.18485023165009346, 'k_u': 0.04673701078052316, 'R': 4.337321156220273, 'm1': 0.20407216319623647, 'm2': 0.1587893472285121, 'l1cg': 0.081099986621922, 'l1': 0.1515048925350267, 'l2cg': 0.06623244096677565, 'I1z': 0.000493299302828941, 'I2x': 0.0003688939269958077, 'I2y': 2.359444709646572e-05, 'I2z': 0.00035721556230646346}, 'init_theta_std_deg': 4.728632824483779, 'init_alpha_std_deg': 8.163941473445492, 'init_theta_dot_std': 0.04492343490430374, 'init_alpha_dot_std': 0.017209895513188467, 'pwm_limit': 150.5172153733149, 'pwm_gain': 0.9968570771776366, 'pwm_bias': 0.0016250000455281244, 'pwm_deadzone': 0.6125216114813513, 'pwm_noise_sigma': 0.0011680528581702986, 'actuator_tau': 0.0023043270695652213, 'action_delay_steps': 0, 'theta_bias': 8.804576387786301e-06, 'alpha_bias': 8.777304657501552e-05, 'theta_sigma': 0.00010964009820738609, 'alpha_sigma': 0.0011185811720654435, 'theta_dot_sigma': 0.004539022978970835, 'alpha_dot_sigma': 0.0002736759498265151, 'encoder_quantization_rad': 3.688947931042481e-05, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
36000,2,smoke_dr_0.10,0.1,"{'level': 0.1, 'physical': {'g': 9.78880650064211, 'c_theta': 0.024863595585256235, 'c_alpha': 0.0011112839244765249, 'k_t': 0.22614411000472348, 'k_b': 0.18607723126825637, 'k_u': 0.04657834753135226, 'R': 4.304125281850686, 'm1': 0.21117948679347254, 'm2': 0.15711120975012705, 'l1cg': 0.08041130248372498, 'l1': 0.15327799973795778, 'l2cg': 0.06650651200670336, 'I1z': 0.0005058224826333065, 'I2x': 0.00037611875346032884, 'I2y': 2.378359098512275e-05, 'I2z': 0.0003783676558442018}, 'init_theta_std_deg': 5.307775825704951, 'init_alpha_std_deg': 7.868853771644566, 'init_theta_dot_std': 0.03868898911570047, 'init_alpha_dot_std': 0.10277637268621974, 'pwm_limit': 149.4136544604334, 'pwm_gain': 1.0028965184290748, 'pwm_bias': 0.27900451286484007, 'pwm_deadzone': 0.3284907660791698, 'pwm_noise_sigma': 0.16485871592796822, 'actuator_tau': 0.0006680835862885251, 'action_delay_steps': 0, 'theta_bias': 0.000942717163983776, 'alpha_bias': 0.0003658301742407526, 'theta_sigma': 0.00020089353401743764, 'alpha_sigma': 0.0018405963465662144, 'theta_dot_sigma': 0.012077253271142022, 'alpha_dot_sigma': 0.029325187151767837, 'encoder_quantization_rad': 0.00013427607314921806, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
38000,2,smoke_dr_0.10,0.1,"{'level': 0.1, 'physical': {'g': 9.830444614880651, 'c_theta': 0.028893211950308292, 'c_alpha': 0.0013291895694367006, 'k_t': 0.22867581301332066, 'k_b': 0.18851984336518923, 'k_u': 0.04709646248779093, 'R': 4.245023669624705, 'm1': 0.2030249376978139, 'm2': 0.15736550445265166, 'l1cg': 0.08133949048400967, 'l1': 0.15224138101741583, 'l2cg': 0.0655815635246959, 'I1z': 0.0005251347373026721, 'I2x': 0.0003689941921031359, 'I2y': 2.4185684271695285e-05, 'I2z': 0.00036405297236463734}, 'init_theta_std_deg': 4.9750968024757904, 'init_alpha_std_deg': 8.509384913269358, 'init_theta_dot_std': 0.14367323714676403, 'init_alpha_dot_std': 0.050361574997333125, 'pwm_limit': 148.05821594054925, 'pwm_gain': 0.9964747169798446, 'pwm_bias': 0.0996124914042733, 'pwm_deadzone': 0.511999797474996, 'pwm_noise_sigma': 0.11809651321355295, 'actuator_tau': 0.0001075654044315415, 'action_delay_steps': 0, 'theta_bias': -0.0008317922962564288, 'alpha_bias': 0.0011182198178436228, 'theta_sigma': 0.00018319874129872662, 'alpha_sigma': 0.0007351223951390759, 'theta_dot_sigma': 0.017738383119389807, 'alpha_dot_sigma': 0.043359665206240336, 'encoder_quantization_rad': 2.7147914738171e-05, 'velocity_lpf': 0.25, 'process_theta_dot_sigma': 0.0, 'process_alpha_dot_sigma': 0.0}"
