#{"t_start": 1784738302.2852552, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
430.287897,64,0.150436
245.872542,41,0.243539
181.551055,33,0.319867
441.877211,67,0.470375
798.052998,107,0.712729
384.509244,59,0.844638
271.076308,47,0.952956
262.169008,45,1.056317
506.999256,73,1.222836
318.167047,51,1.336564
450.404478,68,1.484471
381.47424,59,1.61956
544.062287,80,1.801586
793.571306,108,2.039232
433.825001,65,2.187208
799.199276,110,3.254464
346.254799,53,3.371891
230.160724,38,3.458155
383.568941,60,3.595591
243.78495,41,3.688995
405.586271,60,3.839065
537.244863,77,4.01031
512.808214,76,4.178687
503.287258,76,4.349922
269.706242,43,4.448481
494.79359,74,4.615159
405.654105,64,4.757212
433.968185,63,4.896873
288.201631,48,5.003567
391.950442,60,5.567133
241.908462,43,5.665167
180.386483,33,5.739584
432.748907,64,6.677147
408.194687,65,6.823853
310.294035,50,6.931899
275.393774,47,7.035048
326.343969,54,7.151791
404.769098,61,7.28571
105.754848,23,7.334373
345.558198,56,7.458531
273.336616,44,7.558557
483.890363,71,7.717119
371.274742,60,7.851793
432.749503,67,8.002697
669.689955,93,8.214898
332.044845,53,8.331377
466.99309,70,8.489481
306.393011,51,8.605796
330.044669,55,8.724385
290.469095,47,8.829036
635.101016,92,9.823139
369.637504,59,9.952555
363.692548,58,10.083831
392.26002,62,10.220537
265.808015,45,10.319601
855.203822,115,10.573253
520.765567,75,10.739639
475.185677,72,10.898433
831.601242,114,11.158463
171.268073,34,11.234247
304.159146,50,11.770461
580.337997,82,11.954762
351.437085,56,12.080779
624.734047,92,12.289506
383.507534,59,12.421417
633.875609,90,13.414703
545.752322,84,13.594847
622.656395,89,13.790331
340.621929,56,13.912359
844.07164,117,14.171043
739.189001,104,14.397999
539.688529,84,14.599999
559.677902,82,14.777037
428.237734,66,14.918177
1341.672817,178,15.326391
666.171082,96,16.327877
1030.559507,139,16.628266
876.576974,134,16.915416
1996.676228,258,18.223676
777.149789,105,18.457307
1466.452763,192,18.886643
1427.898371,188,19.293866
1325.638889,175,20.472104
820.004954,113,20.712675
2271.771718,288,21.334189
835.464413,115,21.582864
1984.429331,255,22.138888
476.692976,71,22.293811
1366.021335,178,23.462584
1649.348192,215,27.073427
590.330957,86,27.261694
4298.798062,545,28.430236
