#{"t_start": 1784739283.477729, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
483.282912,71,0.17168
659.721936,93,0.385772
550.77308,79,0.562492
610.447305,90,0.770235
335.334163,52,0.886952
433.98971,64,1.031495
701.066722,97,1.245881
282.178209,46,1.346592
392.915611,60,1.479329
502.640761,76,1.648407
278.722215,47,1.751311
360.151999,56,1.875706
347.779353,54,1.995997
375.429315,58,2.129325
252.386773,43,2.224517
340.239739,53,3.1412
505.168806,74,3.305066
339.419926,58,3.43188
844.002236,114,3.681583
721.697088,101,3.920636
482.837507,71,4.077826
391.755459,61,4.217214
634.585795,90,4.421655
385.129349,58,4.553995
287.795726,49,4.663291
243.078786,41,4.757016
241.831513,42,4.847834
287.356,47,4.949839
588.655287,86,5.626623
520.990652,80,5.803621
221.992505,39,6.686775
635.931176,90,6.888271
248.127201,43,6.981602
370.575716,58,7.109043
467.814077,69,7.26453
341.640591,56,7.389433
868.985963,122,7.654808
220.381225,39,7.744525
404.336822,66,7.888
562.001192,79,8.06002
357.630199,57,8.183076
250.927156,43,8.275244
367.550795,59,8.405294
307.6857,52,8.51681
384.910958,59,8.650068
419.996293,65,8.795275
296.383917,49,8.903054
492.802429,73,9.86604
572.39613,85,10.051916
229.397734,42,10.148327
608.707258,89,10.401649
459.82748,71,10.571538
856.606773,117,10.825925
798.40736,109,11.0677
298.95968,50,11.180567
540.543207,77,11.878326
784.062545,106,12.10778
447.084593,67,12.256665
557.782559,82,12.43628
1826.580853,234,13.751864
367.619572,60,13.880425
829.07037,118,14.135978
550.408271,80,14.333177
1515.076585,201,14.798163
626.087177,88,15.008346
747.864664,105,15.259086
955.532848,131,15.568949
1176.693645,156,16.707292
870.431686,120,16.970762
997.116035,132,17.25526
1213.178453,165,17.618514
1977.689847,253,19.259145
2378.144457,305,20.722807
3079.363616,386,21.570454
1790.637924,232,22.08037
838.822463,115,22.336289
1338.584454,180,22.734024
24540.659677,3001,39.933223
