episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
27,54000,1,nominal,0.0,0.7722408670164498,-27638.8576259423,-13.81942881297115,2000,0,0,0,2.7062640403058076,4.278815171846885,98.04
28,56000,1,nominal,0.0,0.7648849968834063,-27265.493417487985,-13.632746708743992,2000,0,0,0,2.6662556126935217,4.730870298406874,98.265
29,58000,1,nominal,0.0,0.7575992848912603,-27340.742824752837,-13.670371412376419,2000,0,0,0,2.6736235972709217,4.668685593748609,98.955
30,60000,1,nominal,0.0,0.7503830618921552,-26342.374035820296,-13.171187017910148,2000,0,0,0,2.585896896415323,5.301135865149436,99.765
31,62000,1,nominal,0.0,0.7432356651203712,-27153.542414618052,-13.576771207309026,2000,0,0,0,2.6664953522750525,4.615153213340258,98.235
32,64000,1,nominal,0.0,0.736156438131454,-25849.11013747914,-12.92455506873957,2000,0,0,0,2.549479973521241,5.604384757146055,100.53
33,66000,1,nominal,0.0,0.7291447307419251,-25609.648003108203,-12.8048240015541,2000,0,0,0,2.5299857437739695,5.805294997775576,101.52
34,68000,1,nominal,0.0,0.722199898969566,-25977.214613222026,-12.988607306611012,2000,0,0,0,2.5743061051899705,5.291794335695094,99.75
35,70000,1,nominal,0.0,0.7153213049742725,-26338.421778274165,-13.169210889137082,2000,0,0,0,2.5994209728996482,5.05522552180085,101.925
36,72000,1,nominal,0.0,0.7085083169994729,-26128.27208930224,-13.064136044651121,2000,0,0,0,2.5714369579862213,5.382674892853488,101.49
37,74000,1,nominal,0.0,0.7017603093141056,-25232.56303837459,-12.616281519187295,2000,0,0,0,2.5080353682641534,5.846896782764353,101.505
38,76000,1,nominal,0.0,0.6950766621551485,-24799.306926148965,-12.399653463074483,2000,0,0,0,2.4730087813392565,6.259770217569122,101.91
39,78000,1,nominal,0.0,0.6884567616706987,-23591.220510109237,-11.79561025505462,2000,0,0,0,2.398320107630833,6.493046988889953,104.625
40,80000,1,nominal,0.0,0.6818999998635932,-24372.995661837667,-12.186497830918833,2000,0,0,0,2.4445193807697647,6.389762371367928,102.93
41,82000,1,nominal,0.0,0.6754057745355685,-23524.347271736304,-11.762173635868152,2000,0,0,0,2.3795393571076793,6.9331063850535894,104.91
42,84000,1,nominal,0.0,0.668973489231952,-23049.132756740066,-11.524566378370032,2000,0,0,0,2.350674401376227,7.039561639520445,104.655
43,86000,1,nominal,0.0,0.6626025531868818,-24176.17914268897,-12.088089571344485,2000,0,0,0,2.440917478520083,6.368153829382087,104.52
44,88000,1,nominal,0.0,0.6562923812690482,-22468.081336052514,-11.234040668026257,2000,0,0,0,2.309856423811681,7.349828897049212,103.95
45,90000,1,nominal,0.0,0.6500423939279532,-22972.963174793127,-11.486481587396563,2000,0,0,0,2.340133453603564,7.102593297342664,106.185
46,92000,1,nominal,0.0,0.6438520171406816,-23632.038700842488,-11.816019350421245,2000,0,0,0,2.391226003144445,6.724553011181774,105.39
47,94000,1,nominal,0.0,0.6377206823591819,-22223.22238832985,-11.111611194164926,2000,0,0,0,2.2965915097820275,7.484258288047502,105.15
48,96000,1,nominal,0.0,0.6316478264580472,-23513.767985284205,-11.756883992642102,2000,0,0,0,2.3924616880388965,6.635099220075454,104.805
49,98000,1,nominal,0.0,0.6256328916827966,-24061.962380973724,-12.030981190486862,2000,0,0,0,2.4259426931440813,6.410351858778636,103.515
50,100000,1,nominal,0.0,0.6196753255986486,-22912.124895318993,-11.456062447659496,2000,0,0,0,2.349937669520187,7.045169886641544,102.3
51,102000,1,nominal,0.0,0.6137745810397829,-23082.399376052956,-11.541199688026477,2000,0,0,0,2.35128974320751,7.147794003430532,105.15
52,104000,1,nominal,0.0,0.6079301160590873,-22349.306047133145,-11.174653023566572,2000,0,0,0,2.3193914812403182,7.178033750978893,105.96
53,106000,1,nominal,0.0,0.6021413938783831,-23030.255691978382,-11.515127845989191,2000,0,0,0,2.3447291410455082,7.164714581813827,107.475
54,108000,1,nominal,0.0,0.5964078828391244,-21745.326294214887,-10.872663147107444,2000,0,0,0,2.2662923537059516,7.738999929475005,106.935
55,110000,1,nominal,0.0,0.5907290563535699,-22004.523037994684,-11.002261518997342,2000,0,0,0,2.297973428403397,7.365310814426846,106.815
56,112000,1,nominal,0.0,0.5851043928564179,-20414.998388444088,-10.207499194222043,2000,0,0,0,2.184382351300534,8.201150625292032,106.425
57,114000,1,nominal,0.0,0.5795333757569046,-21653.016983200563,-10.826508491600281,2000,0,0,0,2.2581447283263123,7.755541151820368,106.815
58,116000,1,nominal,0.0,0.5740154933913577,-21809.72576828557,-10.904862884142785,2000,0,0,0,2.2731310753149825,7.608159760729391,106.755
59,118000,1,nominal,0.0,0.5685502389762038,-21718.90127286068,-10.85945063643034,2000,0,0,0,2.2713266863110593,7.520555562678541,106.62
60,120000,1,nominal,0.0,0.5631371105614231,-21382.05096385894,-10.69102548192947,2000,0,0,0,2.242864250480424,7.78176468522806,107.82
61,122000,1,nominal,0.0,0.5577756109844486,-20217.983073314634,-10.108991536657317,2000,0,0,0,2.183152234078764,8.047141475403546,107.355
62,124000,1,nominal,0.0,0.5524652478245043,-20404.921708057747,-10.202460854028873,2000,0,0,0,2.1855365913365623,8.040064529033307,111.06
63,126000,1,nominal,0.0,0.5472055333573801,-21130.832533837256,-10.565416266918628,2000,0,0,0,2.22930493251792,8.021391193943082,107.865
64,128000,1,nominal,0.0,0.541995984510637,-21252.114295737676,-10.626057147868838,2000,0,0,0,2.2458953169634994,7.688383738998032,108.48
65,130000,1,nominal,0.0,0.5368361228192395,-19757.002650937928,-9.878501325468964,2000,0,0,0,2.1499805619011987,8.351150751095007,108.12
66,132000,1,nominal,0.0,0.5317254743816122,-19473.127666074975,-9.736563833037488,2000,0,0,0,2.1276929471186636,8.418685630381708,109.515
67,134000,1,nominal,0.0,0.5266635698161143,-20665.105172178322,-10.332552586089161,2000,0,0,0,2.19924652872475,8.060258160391664,110.475
68,136000,1,nominal,0.0,0.5216499442179302,-19492.17632300945,-9.746088161504726,2000,0,0,0,2.137376487022173,8.322800930731363,107.25
69,138000,1,nominal,0.0,0.5166841371163702,-19363.675333254545,-9.681837666627272,2000,0,0,0,2.1196718806520685,8.446183679832476,110.085
70,140000,1,nominal,0.0,0.5117656924325801,-20639.27396663179,-10.319636983315895,2000,0,0,0,2.1956551187610023,8.06858041231429,108.27
71,142000,1,nominal,0.0,0.5068941584376525,-20472.976700821193,-10.236488350410596,2000,0,0,0,2.1875629622470334,8.008067817220594,107.01
72,144000,1,nominal,0.0,0.5020690877111379,-21235.564205647934,-10.617782102823966,2000,0,0,0,2.2461495478142233,7.697565182641699,108.765
73,146000,1,nominal,0.0,0.4972900370999529,-19487.31917542343,-9.743659587711715,2000,0,0,0,2.1352587301994523,8.367110671324946,107.55
74,148000,1,nominal,0.0,0.49255656767767864,-20264.684280257236,-10.132342140128618,2000,0,0,0,2.173805228815244,8.186103663158647,108.225
75,150000,1,nominal,0.0,0.4878682447042481,-19209.374037164813,-9.604687018582407,2000,0,0,0,2.116260868604326,8.543753906950926,105.6
76,152000,1,nominal,0.0,0.48322463758601825,-19345.417587776967,-9.672708793888484,2000,0,0,0,2.118392193682696,8.48310792589019,105.225
77,154000,1,nominal,0.0,0.47862531983622225,-19266.070082699753,-9.633035041349876,2000,0,0,0,2.119885939956527,8.4407086457455,105.99
78,156000,1,nominal,0.0,0.4740698690357997,-19874.07455168669,-9.937037275843345,2000,0,0,0,2.1545428976789665,8.260401034722996,104.415
79,158000,1,nominal,0.0,0.46955786679459965,-17521.523502491906,-8.760761751245953,2000,0,0,0,2.0199830451315863,8.891238958086868,101.805
80,160000,1,nominal,0.0,0.4650888987129542,-19864.765949219647,-9.932382974609824,2000,0,0,0,2.1526412773394923,8.291108759482585,105.18
81,162000,1,nominal,0.0,0.46066255434361875,-19515.99510733645,-9.757997553668226,2000,0,0,0,2.1293140875837144,8.499623616177331,108.705
82,164000,1,nominal,0.0,0.4562784271540741,-19915.765518994333,-9.957882759497167,2000,0,0,0,2.1557473286664637,8.342367020117782,109.32
83,166000,1,nominal,0.0,0.45193611448918997,-18676.869334220864,-9.338434667110432,2000,0,0,0,2.0828647419167683,8.58372402377497,109.26
84,168000,1,nominal,0.0,0.4476352175342429,-19482.30674151934,-9.74115337075967,2000,0,0,0,2.1286031385564588,8.494357736156497,109.935
85,170000,1,nominal,0.0,0.44337534127828776,-19195.93275571575,-9.597966377857874,2000,0,0,0,2.1170329999962427,8.437619133942617,107.025
86,172000,1,nominal,0.0,0.4391560944778786,-19146.493445815246,-9.573246722907623,2000,0,0,0,2.113033516171462,8.560439150587387,107.19
87,174000,1,nominal,0.0,0.434977089621135,-19749.879499252947,-9.874939749626474,2000,0,0,0,2.1437879677664258,8.313326974864482,108.075
88,176000,1,nominal,0.0,0.4308379428921518,-19176.55596072667,-9.588277980363335,2000,0,0,0,2.112086026406263,8.605991201345361,105.975
89,178000,1,nominal,0.0,0.4267382741357478,-19549.914168358133,-9.774957084179066,2000,0,0,0,2.131285515407279,8.46068426277745,104.985
90,180000,1,nominal,0.0,0.42267770682255085,-19045.001484681456,-9.522500742340728,2000,0,0,0,2.104286388763675,8.631108207408595,105.435
91,182000,1,nominal,0.0,0.418655868014416,-18804.62868710146,-9.40231434355073,2000,0,0,0,2.0932296690644905,8.590890669355488,105.555
92,184000,1,nominal,0.0,0.41467238833017345,-18902.869300698083,-9.451434650349041,2000,0,0,0,2.107600655809058,8.389287012363063,104.58
93,186000,1,nominal,0.0,0.41072690191170297,-18155.9999452402,-9.0779999726201,2000,0,0,0,2.0557115283979956,8.777369720973706,102.81
94,188000,1,nominal,0.0,0.40681904639033245,-19162.025741835412,-9.581012870917705,2000,0,0,0,2.109601613473501,8.640195594434408,102.555
95,190000,1,nominal,0.0,0.40294846285355623,-18765.43112697707,-9.382715563488535,2000,0,0,0,2.0870299103824697,8.691558607678948,103.65
96,192000,1,nominal,0.0,0.3991147958120712,-17529.977226597963,-8.764988613298982,2000,0,0,0,2.020693821533053,8.817156294849111,102.165
97,194000,1,nominal,0.0,0.39531769316712756,-17268.421047940843,-8.634210523970422,2000,0,0,0,2.010045755985927,8.94977261056178,100.98
98,196000,1,nominal,0.0,0.3915568061781905,-17415.051176884153,-8.707525588442076,2000,0,0,0,2.0090235625351855,8.92657425145797,105.495
99,198000,1,nominal,0.0,0.38783178943091046,-17732.95872582126,-8.86647936291063,2000,0,0,0,2.033021962864303,8.908848601797665,103.8
100,200000,1,nominal,0.0,0.38414230080539913,-16423.956038204975,-8.211978019102487,2000,0,0,0,1.9628510961114467,9.036878442896468,100.08
101,202000,1,nominal,0.0,0.38048800144480793,-16904.331612214217,-8.452165806107109,2000,0,0,0,1.9821542428110628,9.143854865688539,107.49
102,204000,1,nominal,0.0,0.3768685557242056,-17721.972018746375,-8.860986009373187,2000,0,0,0,2.031523990495255,8.762689796056776,105.51
103,206000,1,nominal,0.0,0.3732836312197538,-17409.816647728378,-8.704908323864188,2000,0,0,0,2.0086971615780898,8.905213837793768,105.3
104,208000,1,nominal,0.0,0.3697328986781754,-16712.01549274598,-8.35600774637299,2000,0,0,0,1.9717205628274086,8.993220941098999,104.055
105,210000,1,nominal,0.0,0.3662160319865151,-16595.961664013303,-8.297980832006651,2000,0,0,0,1.964159957224409,8.990401931323225,105.195
106,212000,1,nominal,0.0,0.36273270814218744,-17383.058111835635,-8.691529055917817,2000,0,0,0,2.0128161442529704,8.88304275861863,107.97
107,214000,1,nominal,0.0,0.3592826072233115,-18540.63487049703,-9.270317435248515,2000,0,0,0,2.0762551438000703,8.661385869942759,110.7
108,216000,1,nominal,0.0,0.35586541235932784,-18204.604669981567,-9.102302334990783,2000,0,0,0,2.077397813647847,8.185337258430344,111.87
109,218000,1,nominal,0.0,0.3524808097018956,-17397.712519044802,-8.698856259522401,2000,0,0,0,2.014760850343986,8.784421506011594,114.855
110,220000,1,nominal,0.0,0.349128488396068,-16931.513163593278,-8.465756581796638,2000,0,0,0,1.9859445979243004,8.744326118912165,111.87
111,222000,1,nominal,0.0,0.3458081405517419,-17137.340006073115,-8.568670003036557,2000,0,0,0,2.0069113313395497,8.609800468467961,112.32
112,224000,1,nominal,0.0,0.34251946121537996,-17436.60717799598,-8.718303588997989,2000,0,0,0,2.0264640544023402,8.608546346903916,107.415
113,226000,1,nominal,0.0,0.33926214834200263,-16129.28254129542,-8.06464127064771,2000,0,0,0,1.938719408023755,9.113362010940467,111.375
114,228000,1,nominal,0.0,0.3360359027674472,-15787.17033560779,-7.893585167803895,2000,0,0,0,1.9188636927851426,9.250545034036682,108.48
115,230000,1,nominal,0.0,0.3328404281808913,-16542.60458034877,-8.271302290174384,2000,0,0,0,1.961346698081976,9.011186349118633,106.68
116,232000,1,nominal,0.0,0.32967543109763875,-16574.081887654967,-8.287040943827483,2000,0,0,0,1.9637162429933024,9.014201337817992,106.26
117,234000,1,nominal,0.0,0.3265406208321646,-16367.318948458204,-8.183659474229101,2000,0,0,0,1.9504020799358024,9.112168728568774,111.24
118,236000,1,nominal,0.0,0.32343570947141753,-16551.656528075528,-8.275828264037763,2000,0,0,0,1.964021471582051,9.039802789971473,112.695
119,238000,1,nominal,0.0,0.32036041184837677,-16428.55016972995,-8.214275084864976,2000,0,0,0,1.9549664425783653,9.145481606237805,110.64
120,240000,1,nominal,0.0,0.3173144455158615,-17449.217401492886,-8.724608700746442,2000,0,0,0,2.0167167251022398,8.708304544810506,107.22
121,242000,1,nominal,0.0,0.31429753072058947,-16402.85538943584,-8.201427694717921,2000,0,0,0,1.9576173396967933,9.087275245563912,107.475
122,244000,1,nominal,0.0,0.3113093903774834,-16875.655156494773,-8.437827578247386,2000,0,0,0,1.9801128690587386,8.983362426528858,107.475
123,246000,1,nominal,0.0,0.30834975004422294,-15427.48898541707,-7.7137444927085355,2000,0,0,0,1.8983910520530698,9.226231348436006,106.965
124,248000,1,nominal,0.0,0.305418337896038,-16630.91888669454,-8.31545944334727,2000,0,0,0,1.9707550054145229,8.994089954409796,106.56
125,250000,1,nominal,0.0,0.30251488470074395,-16548.53779817394,-8.27426889908697,2000,0,0,0,1.9624607664271647,9.082157906099622,103.485
126,252000,1,nominal,0.0,0.29963912379401414,-16131.307649796106,-8.065653824898053,2000,0,0,0,1.939384792423291,8.937637205692692,107.025
127,254000,1,nominal,0.0,0.29679079105488837,-15989.614877376709,-7.994807438688355,2000,0,0,0,1.9292240567906576,8.945008921367736,108.54
128,256000,1,nominal,0.0,0.29396962488151496,-15431.103120826723,-7.7155515604133615,2000,0,0,0,1.9023915473154436,9.006483742893472,107.835
129,258000,1,nominal,0.0,0.29117536616712425,-15570.677248645286,-7.785338624322643,2000,0,0,0,1.9096536964823818,8.952289460301461,111.405
130,260000,1,nominal,0.0,0.2884077582762314,-16039.168854455125,-8.019584427227562,2000,0,0,0,1.9460321634454778,8.664446367913728,109.95
131,262000,1,nominal,0.0,0.2856665470210658,-15681.892850755348,-7.840946425377674,2000,0,0,0,1.91376983992308,9.077531471929003,112.155
132,264000,1,nominal,0.0,0.28295148063822556,-16823.7071152804,-8.4118535576402,2000,0,0,0,1.9903148533425483,8.484878421415495,118.59
