iter,rollout_source,dataset_size,train_mse,val_mse,val_mae,eval_score,eval_length,eval_terminated_rate,eval_abs_alpha,eval_abs_theta,eval_pwm_norm
0,teacher,40000,0.00012670897881940214,0.00012478309508878738,0.006265469826757908,1586.0454456397442,205.546875,0.984375,0.1978749622504956,0.13880478976700594,0.04042719462140579
1,student,80000,0.00040414774977964244,0.0003905180338770151,0.01131918478012085,12757.584052311731,1578.65625,0.6875,0.03161712630215607,0.8031314564759681,0.06463684034500813
2,student,120000,0.0008340797525037218,0.0008318181714663903,0.01613590914507707,20799.59322804735,2555.078125,0.296875,0.01235680077577408,0.7567551846999321,0.04649750234864816
3,student,160000,0.000781202580482285,0.0007649969686754047,0.015876483649015425,22421.734761990356,2754.203125,0.140625,0.00819584332935111,0.7485156323115489,0.034678785431674825
4,student,200000,0.0008884011886865748,0.0008897495306096971,0.017811501824855806,23530.612056965532,2870.9375,0.09375,0.006244364740989548,0.5750512479808176,0.02632587899120489
5,student,240000,0.0010534196055300956,0.0010524048581719398,0.019910073548555375,22825.34795957582,2782.234375,0.140625,0.006797484138624069,0.5479947162964378,0.030444632907020763
6,student,280000,0.0011321046491033367,0.0011624116224369832,0.021099303615944726,24171.897769608044,2942.296875,0.03125,0.0037683288761849306,0.5285746828901849,0.01767373144180033
7,student,320000,0.0012201234340851366,0.001255597568117082,0.02304746091365814,22637.332761747002,2763.890625,0.125,0.0067355279452151525,0.5931753017823683,0.03491629693193194
