episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.9958982533922086,-29668.322749071078,-14.834161374535539,2000,0,0,0,2.9893416422767474,1.8026795623728362,90.285
2,4000,1,smoke_nominal,0.0,0.9918133479508182,-29798.28014550393,-14.899140072751965,2000,0,0,0,3.020952586969738,1.494808010091266,88.215
3,6000,1,smoke_nominal,0.0,0.9877452145284842,-29747.35216951375,-14.873676084756875,2000,0,0,0,3.0145261952665225,1.701110145820831,88.2
4,8000,1,smoke_nominal,0.0,0.983693784261771,-29620.512737415524,-14.810256368707762,2000,0,0,0,2.980835106317313,1.9861694030323251,89.985
5,10000,1,smoke_nominal,0.0,0.9796589885699858,-29622.585948370095,-14.811292974185047,2000,0,0,0,2.9828693561347035,1.908504923374872,90.24
6,12000,1,smoke_nominal,0.0,0.9756407591540184,-29795.08036679259,-14.897540183396295,2000,0,0,0,3.024448218606366,1.3709747518972573,90.465
7,14000,1,smoke_nominal,0.0,0.9716390279951844,-29661.90886099301,-14.830954430496506,2000,0,0,0,2.9909776647616426,1.822002453587295,89.13
8,16000,1,smoke_nominal,0.0,0.9676537273540742,-29814.91029685479,-14.907455148427394,2000,0,0,0,3.033856345190017,1.2616405823766126,91.365
9,18000,1,smoke_nominal,0.0,0.963684789769406,-29828.981270310116,-14.914490635155058,2000,0,0,0,3.034108915651882,1.3182941713331409,90.3
10,20000,1,smoke_nominal,0.0,0.9597321480568846,-29700.683901985234,-14.850341950992616,2000,0,0,0,3.0006808908645604,1.6986442481362005,91.365
11,22000,1,smoke_nominal,0.0,0.9557957353080628,-29584.753240192385,-14.792376620096192,2000,0,0,0,2.9837582903464277,1.8667750081407724,91.515
12,24000,1,smoke_nominal,0.0,0.9518754848892105,-29692.66519321068,-14.84633259660534,2000,0,0,0,2.9973272623695637,1.7110676127712423,91.455
13,26000,1,smoke_nominal,0.0,0.9479713304401852,-29768.007180114317,-14.884003590057159,2000,0,0,0,3.0136625421143863,1.5483653242209403,90.675
14,28000,1,smoke_nominal,0.0,0.9440832058733096,-29721.65165946175,-14.860825829730874,2000,0,0,0,3.004527199916451,1.5808999968469595,91.08
15,30000,1,smoke_nominal,0.0,0.9402110453722526,-29709.14466072052,-14.854572330360261,2000,0,0,0,2.9990711667795957,1.7182447246647794,89.49
16,31999,2,smoke_dr_0.10,0.1,0.09940229357010165,-29939.422608014458,-14.977199903959209,1999,0,0,0,3.088400080286771,0.6147715353627644,62.44622311155578
17,33999,2,smoke_dr_0.10,0.1,0.09880826058968954,-27038.601705641486,-13.519300852820743,2000,0,0,0,2.694957390455038,3.565829413240341,103.11
18,35999,2,smoke_dr_0.10,0.1,0.09821817465770008,-24310.44884337881,-12.155224421689406,2000,0,0,0,2.4694014213306255,5.297351430417633,116.865
19,37999,2,smoke_dr_0.10,0.1,0.09763200954799471,-22747.219099923026,-11.373609549961513,2000,0,0,0,2.3534488723635287,6.2477822696246825,115.395
20,39999,2,smoke_dr_0.10,0.1,0.0970497392086943,-24434.39654163782,-12.21719827081891,2000,0,0,0,2.4710126633659413,5.23851827772687,109.065
21,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-14.998970531606687,-14.998970531606687,1,0,0,0,3.1272394679363305,0.01885453412576084,150.0
