episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.99496172716075,-29786.093448015017,-14.893046724007508,2000,0,0,0,3.0216871841109336,1.3910286473838944,91.53
2,4000,1,smoke_nominal,0.0,0.9899488639243057,-29648.46055938967,-14.824230279694834,2000,0,0,0,2.9947342124221104,1.8534732409269952,91.17
3,6000,1,smoke_nominal,0.0,0.9849612821420065,-29688.31895056844,-14.844159475284219,2000,0,0,0,3.0003336048422944,1.6975672334520828,92.325
4,8000,1,smoke_nominal,0.0,0.9799988543114865,-29843.755440119374,-14.921877720059687,2000,0,0,0,3.03979732490931,1.2417854692759573,90.63
5,10000,1,smoke_nominal,0.0,0.975061453573414,-29744.25987495938,-14.872129937479691,2000,0,0,0,3.016392824321354,1.603393724522486,89.73
6,12000,1,smoke_nominal,0.0,0.9701489537082497,-29622.07756191105,-14.811038780955524,2000,0,0,0,2.986413154670804,1.8692993446568655,87.99
7,14000,1,smoke_nominal,0.0,0.9652612291330187,-29833.99042982331,-14.916995214911655,2000,0,0,0,3.037488481842122,1.389707308081453,89.205
8,16000,1,smoke_nominal,0.0,0.9603981548981012,-29713.387564930963,-14.85669378246548,2000,0,0,0,2.998894506985669,1.6496549528105744,91.83
9,18000,1,smoke_nominal,0.0,0.9555596066840376,-29621.746798331507,-14.810873399165754,2000,0,0,0,2.9872379021353073,1.8338176062864697,90.24
10,20000,1,smoke_nominal,0.0,0.9507454607983505,-29721.653118562273,-14.860826559281136,2000,0,0,0,3.0078024300696664,1.691532682235902,88.77
11,22000,1,smoke_nominal,0.0,0.9459555941723834,-29756.66263290758,-14.87833131645379,2000,0,0,0,3.010312632066112,1.5067057087811249,89.685
12,24000,1,smoke_nominal,0.0,0.9411898843581532,-29561.593577914384,-14.780796788957192,2000,0,0,0,2.9690763244437592,1.9952421000090304,90.735
13,26000,1,smoke_nominal,0.0,0.936448209525221,-29761.78739481813,-14.880893697409064,2000,0,0,0,3.011567517197279,1.5724176416620035,89.595
14,28000,1,smoke_nominal,0.0,0.9317304484575776,-29649.261464863957,-14.824630732431979,2000,0,0,0,2.987453633881646,1.8306339965200638,90.225
15,30000,1,smoke_nominal,0.0,0.9270364805505438,-29741.263239191045,-14.870631619595523,2000,0,0,0,3.009153136477623,1.5721266174755084,89.835
16,32000,2,smoke_dr_0.10,0.1,0.09940199556295311,-29980.704321319303,-14.99035216065965,2000,0,0,0,3.106682809608755,0.4270476529059242,36.315
17,34000,2,smoke_dr_0.10,0.1,0.09880796456264762,-27152.36128694321,-13.576180643471606,2000,0,0,0,2.7184786245197903,3.421738716548273,86.28
18,36000,2,smoke_dr_0.10,0.1,0.09821788059760798,-26502.265822834328,-13.251132911417164,2000,0,0,0,2.6536442336586528,3.7551541384085674,96.66
19,38000,2,smoke_dr_0.10,0.1,0.09763171744178306,-23691.04401729718,-11.84552200864859,2000,0,0,0,2.4381538282866653,5.294417056819153,109.395
20,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-21762.9649769065,-10.88148248845325,2000,0,0,0,2.313030003770229,6.529249708210073,112.605
