time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.335,-0.7821993,0.7906318,3.1120803,9.4297065,150.0,1,0.0
0.34,-0.7530128,2.0523011,-3.101664,10.5443458,150.0,1,0.0
0.34500000000000003,-0.7413382,2.1229579,-3.0441668,10.783123,150.0,1,0.0
0.35000000000000003,-0.7296636,2.1759476,-2.9786834,11.3615093,150.0,1,0.0
0.355,-0.7121516,2.5075588,-2.9243804,11.2362785,150.0,1,0.0
0.36,-0.6888024,3.0481305,-2.8525087,12.0207967,150.0,1,0.0
0.365,-0.6654531,3.4535591,-2.7902197,12.1300477,150.0,1,0.0
0.37,-0.6421039,3.7576305,-2.7391111,11.6529655,150.0,1,0.0
0.375,-0.6362666,3.110089,-2.651268,13.1318836,150.0,1,0.0
0.38,-0.624592,2.916296,-2.5921733,12.803646,150.0,1,0.0
0.385,-0.6012427,3.3546862,-2.5330786,12.5574684,150.0,1,0.0
0.39,-0.5720562,3.9753389,-2.4707899,12.5325393,150.0,1,0.0
0.395,-0.548707,4.1489686,-2.4196813,11.9548339,150.0,1,0.0
0.4,-0.5428697,3.4035897,-2.3462121,12.6395835,150.0,1,0.0
0.405,-0.5370324,2.8445582,-2.290312,12.2746925,150.0,1,0.0
0.41000000000000003,-0.5136832,3.3008799,-2.2471892,11.3621578,150.0,1,0.0
0.41500000000000004,-0.4903339,3.6431226,-2.1960802,11.0770721,150.0,1,0.0
0.42,-0.4611474,4.1916694,-2.1497631,10.6236591,150.0,1,0.0
0.425,-0.4553101,3.4356167,-2.0970571,10.6030445,150.0,1,0.0
0.43,-0.4319608,3.7441737,-2.0459482,10.5077247,150.0,1,0.0
0.435,-0.4086116,3.975593,-2.0140051,9.4779472,150.0,1,0.0
0.44,-0.3852623,4.149156,-1.9692851,9.3444633,150.0,1,0.0
0.445,-0.3735877,3.6955976,-1.9229678,9.3242149,150.0,1,0.0
0.45,-0.3619131,3.3554289,-1.8862333,8.8298845,150.0,1,0.0
0.455,-0.3502385,3.1003022,-1.8574847,8.0598449,150.0,1,0.0
0.46,-0.321052,3.784554,-1.8111673,8.3607501,150.0,1,0.0
0.465,-0.3093774,3.422146,-1.7824187,7.7079944,150.0,1,0.0
0.47000000000000003,-0.30354,2.8584756,-1.7568641,7.0587224,150.0,1,0.0
0.47500000000000003,-0.2860281,3.019452,-1.7249212,6.89119,150.0,1,0.0
0.48,-0.2626789,3.4320518,-1.7025611,6.2863969,150.0,1,0.0
0.485,-0.2451669,3.449635,-1.6738124,6.1522293,150.0,1,0.0
0.49,-0.2218177,3.7546875,-1.6482581,5.8918929,150.0,1,0.0
0.495,-0.2043058,3.6916122,-1.6243008,5.6167821,150.0,1,0.0
0.5,-0.1751192,4.2280359,-1.6163151,4.6118721,120.0,1,0.0
0.505,-0.1576073,4.0466237,-1.6003437,4.2574753,120.0,1,0.0
0.51,-0.1342581,4.2024288,-1.6003437,3.1931066,120.0,1,0.0
0.515,-0.1109089,4.3192834,-1.5811778,3.3531236,120.0,1,0.0
