episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.9901103750587213,-29695.68072652683,-14.847840363263414,2000,0,0,0,2.9982706177486547,1.8344538365986605,90.36
2,4000,1,smoke_nominal,0.0,0.9803186527015059,-29768.09237819565,-14.884046189097825,2000,0,0,0,3.0171708804182735,1.5506705848663123,89.34
3,6000,1,smoke_nominal,0.0,0.9706238637393275,-29655.81715968479,-14.827908579842395,2000,0,0,0,2.987886003402701,1.8218664787816234,90.45
4,8000,1,smoke_nominal,0.0,0.9610250485776703,-29737.809493901084,-14.868904746950543,2000,0,0,0,3.0091698387314856,1.4873840491694468,88.02
5,10000,1,smoke_nominal,0.0,0.9515212571215482,-29685.205259758975,-14.842602629879488,2000,0,0,0,2.9925686827015894,1.7431802686733766,89.865
6,12000,1,smoke_nominal,0.0,0.9421115486814633,-29709.127863344944,-14.854563931672471,2000,0,0,0,3.0071934979706754,1.6361538356652219,90.375
7,14000,1,smoke_nominal,0.0,0.9327949918802966,-29718.921250315296,-14.859460625157649,2000,0,0,0,3.004656326765671,1.5788063061467221,91.245
8,16000,1,smoke_nominal,0.0,0.9235706645611195,-29812.746958912663,-14.906373479456331,2000,0,0,0,3.0368899279824126,1.293205008373604,91.89
9,18000,1,smoke_nominal,0.0,0.9144376536959185,-29688.697757693677,-14.844348878846839,2000,0,0,0,2.9975130516397455,1.6921229058005385,90.72
10,20000,1,smoke_nominal,0.0,0.9053950552952237,-29676.310842601513,-14.838155421300756,2000,0,0,0,2.990888648672072,1.8080358497871043,90.24
11,22000,1,smoke_nominal,0.0,0.8964419743186303,-29740.705163358845,-14.870352581679423,2000,0,0,0,3.0130331241228205,1.5585163083353955,90.3
12,24000,1,smoke_nominal,0.0,0.8875775245862085,-29711.828055773898,-14.85591402788695,2000,0,0,0,3.0026906008054537,1.5904078018612477,90.345
13,26000,1,smoke_nominal,0.0,0.8788008286907882,-29691.72657028239,-14.845863285141196,2000,0,0,0,2.9934174053380556,1.7322924186181585,88.665
14,28000,1,smoke_nominal,0.0,0.8701110179111131,-29534.640531374334,-14.767320265687168,2000,0,0,0,2.9635964124840712,2.0503143790181206,90.24
15,30000,1,smoke_nominal,0.0,0.8615072321258539,-29581.789685923934,-14.790894842961967,2000,0,0,0,2.9770803506024666,1.952807195475056,88.095
16,32000,2,smoke_dr_0.10,0.1,0.09940199556295311,-29947.895981051202,-14.973947990525602,2000,0,0,0,3.087355802982114,0.6184457648158539,63.33
17,34000,2,smoke_dr_0.10,0.1,0.09880796456264762,-25818.64716017196,-12.90932358008598,2000,0,0,0,2.5709632643560894,4.679288636936158,103.935
18,36000,2,smoke_dr_0.10,0.1,0.09821788059760798,-27420.107706837305,-13.710053853418653,2000,0,0,0,2.7134910343141545,3.1940803798751287,94.83
19,38000,2,smoke_dr_0.10,0.1,0.09763171744178306,-25030.884170877274,-12.515442085438638,2000,0,0,0,2.535280141577599,4.753130843940165,104.865
20,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-25724.191194372972,-12.862095597186485,2000,0,0,0,2.5728679333707287,5.116072588888941,96.135
