#{"t_start": 1784830796.0641026, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
274.058848,45,0.118084
243.802414,40,0.203526
212.907426,37,0.284495
285.661623,45,0.377497
304.081264,52,0.488414
295.136268,48,0.588011
379.391275,57,0.707642
268.314811,46,0.812794
228.066979,40,0.89961
391.370252,61,1.03829
481.002068,71,1.199606
286.2313,48,1.308049
347.459309,57,1.434094
279.518702,45,1.535595
443.867499,66,1.68479
411.457795,62,1.824921
450.72443,66,1.969656
306.177838,49,2.083553
348.226047,54,2.205022
721.354107,99,2.829374
473.333774,69,2.984001
321.993572,52,3.102002
231.889175,39,3.188183
520.851925,76,3.360359
424.084845,63,3.513976
236.929525,42,3.609244
400.137954,61,3.743163
247.226527,43,3.8443
261.510559,45,3.944357
266.915561,44,4.043674
661.494458,96,4.260169
642.236345,89,4.461636
599.827767,86,4.651995
872.952638,119,4.917779
304.746756,52,5.430807
928.528696,124,5.721445
487.953029,71,5.876343
506.699104,78,6.0491
260.992875,43,6.145027
623.857627,88,6.343352
541.16452,78,6.52184
389.579368,61,6.656405
670.770209,94,6.867035
444.378982,69,7.023689
545.779152,80,7.197537
535.997865,77,7.375134
440.81354,64,7.520021
480.681959,71,7.677628
517.281463,78,8.245609
815.448858,112,8.498021
759.666746,106,8.733106
253.060883,43,8.82693
514.629313,75,8.993699
514.586128,75,9.160963
402.715026,61,9.294435
520.913001,75,9.461569
495.033651,74,9.625488
600.437874,84,9.813301
275.623549,45,9.912989
350.678638,56,10.038141
511.365738,76,10.210885
498.228253,74,10.373508
951.507637,128,11.052127
396.081845,62,11.199004
480.260305,70,11.352728
778.514128,110,11.597235
449.320394,66,11.742466
346.190105,56,11.865696
787.768236,111,12.111875
803.330025,110,12.354163
696.335079,97,12.566177
915.651093,122,12.836656
622.576889,90,13.036643
788.518351,108,13.670199
1034.720226,140,13.982953
704.94323,99,14.202313
613.092196,88,14.39464
815.101024,111,14.636751
622.407715,87,14.831348
598.909499,86,15.02009
882.628523,121,15.292477
770.993833,107,15.527461
916.987702,124,16.191293
705.847767,99,16.413352
578.520445,81,16.591664
1118.456005,154,16.929889
564.624358,85,17.116109
702.927611,99,17.334605
786.586943,106,17.56806
516.662764,77,17.736979
647.517744,94,17.946331
616.077837,88,18.138542
1837.452757,241,19.067592
756.90251,106,19.3047
986.636552,136,19.605
1045.266022,138,19.907474
1305.321671,173,20.293105
926.761762,127,20.571321
1246.652614,166,20.935655
558.961868,82,21.515514
1058.586601,142,21.824379
902.085932,126,22.09765
1727.38933,224,22.584865
917.075288,126,22.860035
1151.882448,156,23.203059
1173.225721,156,23.544524
1366.448585,181,24.339728
2082.512626,271,24.934597
1611.923838,210,25.400902
653.405098,93,25.604801
729.090665,107,25.841568
1387.879787,181,26.23851
2020.560585,265,27.231647
1279.095383,168,27.599994
1788.778342,233,28.101431
1064.182004,142,28.410414
1527.006505,204,28.85534
2822.027883,358,30.030292
1246.179417,163,30.389741
1410.775246,186,30.793012
1834.545197,239,31.305691
3698.106841,469,32.711058
4822.379723,612,34.027826
24022.284985,3001,41.684777
24535.67847,3001,49.357606
24599.096665,3001,57.007432
24680.17615,3001,64.67602
24673.683707,3001,72.371563
24644.989701,3001,86.686306
24692.443744,3001,94.477839
24730.678811,3001,102.341071
24693.216283,3001,110.137462
24707.545728,3001,117.986101
24679.868121,3001,125.811967
24744.883923,3001,133.580088
24731.703936,3001,141.400674
24653.201016,3001,148.818583
24711.793126,3001,156.618357
24745.070865,3001,164.415457
24742.679397,3001,178.987453
24731.286272,3001,186.86451
24746.34639,3001,194.694181
24750.684079,3001,202.523363
24742.291574,3001,210.317947
24733.493849,3001,218.087141
24721.577023,3001,225.821165
5799.675015,741,227.829514
24698.523474,3001,235.537671
24727.430733,3001,242.867588
24682.046125,3001,250.618951
24690.674476,3001,264.924926
24737.93011,3001,272.66244
24316.358352,3001,280.37126
24750.686329,3001,288.113378
24230.155028,3001,295.816732
24664.300157,3001,303.528069
24723.250784,3001,311.240157
7225.587773,921,313.624029
24625.813317,3001,321.357434
24621.272337,3001,329.087026
24745.800773,3001,336.88626
24544.134405,3001,350.935339
24710.261922,3001,358.79475
24728.17861,3001,366.598187
24750.621775,3001,374.450679
24540.444206,3001,382.277421
24428.767896,3001,390.04436
24694.606315,3001,397.798186
24707.443413,3001,405.57107
24536.347325,3001,413.346221
24710.63546,3001,421.172341
24679.989229,3001,428.959699
24540.153218,3001,443.479632
24751.453957,3001,451.254338
24658.29316,3001,458.987664
24752.231055,3001,466.727018
24679.411242,3001,474.085685
24166.248875,3001,481.87383
24711.152582,3001,489.695629
24581.284483,3001,497.489639
6674.288414,874,499.81213
24563.460758,3001,507.58332
24514.476898,3001,515.329175
24730.065132,3001,529.629287
24693.10394,3001,537.382041
24747.512819,3001,545.180449
8856.838935,1158,548.115156
24727.23186,3001,555.943028
24578.640621,3001,563.706409
24535.227965,3001,571.459394
24563.13297,3001,579.287453
24588.476364,3001,587.105922
24632.699564,3001,594.500138
24747.263624,3001,602.293553
24694.876496,3001,616.732397
24748.560543,3001,624.490479
24631.441012,3001,632.277365
24746.535398,3001,640.107751
24637.984545,3001,647.843377
24658.850809,3001,655.648789
24673.0723,3001,663.3876
24755.827646,3001,671.186309
24690.29194,3001,678.94705
24744.456387,3001,686.72637
