timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
320,235.444993,40,5.8861248250000004,5.8861248250000004,0.0,0.0
352,261.293685,44,5.938492840909091,5.912308832954546,0.0,0.0
376,301.90229,47,6.423452978723404,6.082690214877498,0.0,0.0
464,374.008877,58,6.448428913793103,6.1741248896064,0.0,0.0
472,385.432526,59,6.532754677966102,6.245850847278341,0.0,0.0
536,462.919819,67,6.909251029850746,6.356417544373741,0.0,0.0
560,488.193995,70,6.974199928571428,6.444672170687697,0.0,0.0
856,412.26182,63,6.543838412698412,6.457067950939036,0.0,0.0
912,841.746506,114,7.383741280701754,6.560031654246005,0.0,0.0
984,374.474316,56,6.687041357142857,6.572732624535691,0.0,0.0
1104,468.180334,68,6.885004911764706,6.601121014283783,0.0,0.0
1112,578.280864,81,7.139269925925925,6.645966756920629,0.0,0.0
1136,650.896586,95,6.851543010526315,6.661780314890297,0.0,0.0
1136,583.024307,83,7.024389240963855,6.687680952466979,0.0,0.0
1168,782.550533,106,7.382552198113207,6.734005702176728,0.0,0.0
1328,235.819556,43,5.484175720930232,6.6558913283488215,0.0,0.0
1376,381.843932,58,6.583516068965517,6.651633960149804,0.0,0.0
1448,255.026396,42,6.072057047619047,6.619435242786984,0.0,0.0
1448,238.989884,43,5.557904279069767,6.563565192065025,0.0,0.0
1520,583.729992,83,7.032891469879519,6.58703150595575,0.0,0.0
1528,268.93445,45,5.976321111111112,6.557950058582195,0.0,0.0
1672,261.248205,43,6.07553965116279,6.536022312790404,0.0,0.0
1688,222.541055,39,5.706180897435898,6.499942251253252,0.0,0.0
1688,474.332973,69,6.874390913043478,6.515544278827844,0.0,0.0
1832,292.108127,48,6.085585979166667,6.498345946841397,0.0,0.0
1864,310.52406,52,5.9716165384615385,6.4780871234421715,0.0,0.0
2056,441.889791,66,6.695299863636364,6.4861320397456605,0.0,0.0
2152,946.680826,127,7.454179732283465,6.520705171622011,0.0,0.0
2160,344.971591,59,5.846976118644068,6.497473135312427,0.0,0.0
2288,703.224684,96,7.325257125,6.52506593496868,0.0,0.0
2312,395.606801,60,6.593446683333334,6.548643330246458,0.0,0.0
2320,550.146705,79,6.963882341772152,6.5828229802752265,0.0,0.0
2368,613.435015,87,7.050977183908047,6.6037404537813815,0.0,0.0
2440,495.494991,72,6.881874875,6.618188652488277,0.0,0.0
2456,307.621624,50,6.15243248,6.6055112458894065,0.0,0.0
2616,207.617917,38,5.463629394736842,6.557323858052276,0.0,0.0
2616,382.97398,57,6.718841754385965,6.548811918912762,0.0,0.0
2752,331.821264,54,6.144838222222222,6.535511912563554,0.0,0.0
2760,525.51978,76,6.914733947368421,6.519878334785777,0.0,0.0
2768,403.57115,60,6.726185833333333,6.5211831506587945,0.0,0.0
2864,399.510678,62,6.443720612903226,6.506473674030079,0.0,0.0
2888,186.01825,34,5.471125,6.450868843165881,0.0,0.0
2952,430.94456,64,6.73350875,6.446934367815003,0.0,0.0
3072,220.841681,39,5.662607205128205,6.401541633287149,0.0,0.0
3080,547.466963,78,7.0188072179487175,6.389416800614998,0.0,0.0
3200,361.450578,56,6.454474607142857,6.421760096822085,0.0,0.0
3248,527.937418,79,6.682752126582278,6.42506796540931,0.0,0.0
3304,354.692832,55,6.448960581818182,6.437631416549281,0.0,0.0
3336,368.695128,56,6.583841571428572,6.471829326294574,0.0,0.0
3512,326.401124,54,6.044465259259259,6.438881785940565,0.0,0.0
3536,515.251708,73,7.058242575342466,6.474945834748278,0.0,0.0
3592,305.590556,49,6.236541959183674,6.480312578348974,0.0,0.0
3600,455.289335,66,6.898323257575758,6.5200506570203025,0.0,0.0
