#{"t_start": 1784738260.9338014, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
345.37176,57,0.138112
218.817602,39,0.223165
331.094764,52,0.337492
865.664764,118,0.604422
259.367612,44,0.700612
413.371478,61,0.839741
259.65714,44,0.936891
642.461235,92,1.136953
419.476555,65,1.281342
409.228498,64,1.420366
346.768401,54,1.536767
579.082657,83,1.723295
501.594458,73,1.885372
437.502836,65,2.024263
503.807792,76,2.192837
250.301067,43,3.073361
259.697039,45,3.173191
759.282186,105,3.409638
291.78505,46,3.512462
934.636645,127,3.796311
475.744941,71,3.95254
294.171896,51,4.068299
732.748314,105,4.302351
447.561075,67,4.449328
916.973193,130,4.730914
551.790336,78,4.911676
658.315401,91,5.541602
358.664414,57,5.667601
266.42235,45,5.767759
485.283861,73,6.744164
720.49276,99,6.968423
353.153908,57,7.099982
451.29228,67,7.2518
588.628857,85,7.447883
220.542072,39,7.535458
552.542055,82,7.714981
396.725341,61,7.850278
301.047986,52,7.965697
773.524937,107,8.201006
481.568558,71,8.356638
372.086795,57,8.484193
356.350561,57,8.606867
292.050943,50,8.715661
282.112207,46,8.818489
505.238593,78,9.790121
295.862004,49,9.898738
453.344144,69,10.050545
517.842248,78,10.219546
613.176533,89,10.410736
604.00819,84,10.591176
501.494967,75,10.753707
575.440618,84,10.939229
220.641597,39,11.025089
1064.888345,152,11.953496
726.542362,102,12.175633
539.106765,77,12.342008
609.103094,87,13.32321
967.016007,131,13.616523
1743.921613,226,14.131096
769.145704,107,14.372852
495.919176,71,14.528845
756.948728,105,14.778638
867.616869,120,15.041236
1116.816293,149,15.372188
4383.217681,555,17.334559
1523.430205,199,18.827801
1169.992096,155,19.15889
1150.310699,154,19.489177
1499.099182,196,20.700179
24633.513932,3001,33.891237
