#{"t_start": 1784739976.2451878, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
704.609773,98,0.224243
206.516393,36,0.300249
935.206732,127,0.609429
425.151603,64,0.760456
285.087252,45,0.870322
512.953324,75,1.046785
459.218879,66,1.20375
435.718231,65,1.341542
327.860709,52,1.457274
336.527671,57,1.581726
390.912854,60,1.713933
354.831695,57,1.843713
293.833139,47,1.948252
487.390791,71,2.107487
430.228732,63,2.244651
251.005396,41,2.33511
872.367211,119,3.392408
229.762258,40,3.480084
320.497143,51,3.595581
600.83472,84,3.777309
656.600342,94,3.99379
220.718132,38,4.079173
722.306944,100,4.302856
239.774691,41,4.395339
548.676961,81,4.577124
245.101138,41,4.667988
918.577587,124,4.9437
354.238123,57,5.609006
365.556858,61,5.745165
1282.277233,171,6.921018
228.149002,42,7.014936
354.708383,60,7.144304
437.034223,67,7.294222
481.622616,74,7.459407
512.382586,76,7.627092
366.972854,60,7.759487
353.614972,59,7.89029
315.535026,52,8.006792
529.546924,78,8.178845
317.20904,50,8.290971
250.356372,43,8.386345
500.121965,75,8.550356
442.134201,66,8.699929
903.909168,122,8.976961
606.033324,87,9.975116
963.008393,130,10.27123
477.970936,77,10.435688
379.082431,59,10.567369
790.862099,108,10.805423
608.3019,87,10.996013
528.374604,77,11.167729
368.549275,59,11.299745
468.736948,74,12.008481
351.708758,57,12.139646
177.176499,34,12.218612
691.561945,98,12.43574
478.19929,70,12.597102
381.92468,63,13.533236
707.510323,99,13.757134
718.159712,104,13.983807
896.885019,124,14.259221
808.721314,115,14.507439
1205.664126,161,14.883099
486.690712,74,15.042754
1105.456901,149,15.367919
495.927436,75,15.536565
1918.962734,246,16.878928
651.095278,93,17.081285
1453.895455,191,17.497493
537.101074,90,18.398762
1011.376248,139,18.706628
544.028572,81,18.885153
343.673998,63,19.027667
846.126027,117,19.286286
579.882237,88,19.473792
1487.810479,198,20.713312
1603.596085,210,21.175874
1771.061213,232,21.684578
1143.6683,155,22.032603
612.034588,90,22.239677
1007.340018,137,22.578849
1131.210746,153,23.686839
1704.442014,228,25.199462
683.451731,100,25.412509
1042.828756,144,25.721845
1546.645613,205,26.15975
1297.941861,173,26.531564
1333.241348,184,27.707758
5874.133295,763,29.306694
1484.644593,200,30.509233
