#{"t_start": 1784826203.2341363, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
330.209842,52,0.130586
663.316131,96,0.352447
338.34324,54,0.47944
372.15512,59,0.631804
330.718175,52,0.751199
373.193262,58,0.899624
219.031084,40,1.003331
555.949001,79,1.186189
685.613998,94,1.403255
710.871612,99,1.630602
491.26747,73,1.801558
401.539044,60,1.938533
365.935334,57,2.065478
516.505904,75,2.23472
512.515137,74,2.409492
571.340203,81,2.994518
637.377602,92,3.203966
488.802781,73,3.383292
545.287481,78,3.561312
666.387119,95,3.782844
267.69002,45,3.879311
432.793585,65,4.030917
295.385892,47,4.138797
448.854857,67,4.290387
492.278772,71,4.452871
408.733359,61,4.593244
301.362381,50,4.704584
268.724306,46,4.810737
572.426628,81,4.994762
265.057795,46,5.103979
461.921913,70,5.662935
583.766954,82,5.846866
341.952489,57,5.97875
402.951149,61,6.119382
543.738112,78,6.292264
628.574355,88,6.486889
478.761118,69,6.643309
507.619145,73,6.808103
398.09315,60,6.946119
453.158015,67,7.095303
595.562987,85,7.287186
644.163527,90,7.490826
472.745607,69,7.644092
740.412679,101,7.866775
977.47659,131,8.556846
738.131451,103,8.793223
516.090296,75,8.958237
511.342659,76,9.12856
738.629481,101,9.353767
687.256286,99,9.575444
947.651968,128,9.856884
595.084558,84,10.040365
964.541605,130,10.356653
378.468954,60,10.490426
543.815062,82,11.07678
779.957412,109,11.319299
852.582039,116,11.571207
869.18354,117,11.837029
996.118999,133,12.131215
654.948038,93,12.33155
641.770374,91,12.534448
516.336391,76,12.704405
710.010921,98,12.923385
513.807456,76,13.097677
729.924784,102,13.715958
691.610042,98,13.931196
808.968413,113,14.182912
637.786974,92,14.382045
1051.925709,141,14.693186
880.210629,121,14.955832
964.619618,129,15.248358
740.765633,104,15.487364
1433.293331,190,15.90653
921.157453,124,16.579318
704.906006,99,16.802542
576.447293,83,16.979555
751.97286,104,17.204192
1019.382875,137,17.506366
878.449033,120,17.775857
584.105733,85,17.958421
843.94577,116,18.220232
1251.849373,165,18.990773
1117.165804,149,19.31817
695.301526,97,19.531514
840.121897,115,19.782518
602.615248,86,19.97338
899.188744,121,20.2378
751.553874,105,20.470608
768.811836,106,20.70683
1088.440454,144,21.032041
578.631603,84,21.21788
880.893403,120,21.88873
1125.335006,149,22.22163
866.878536,117,22.47725
962.521923,129,22.761857
1194.801702,158,23.114979
703.811888,99,23.330077
774.70566,108,23.578605
1123.40668,150,23.910003
1044.644449,142,24.627778
1233.018415,163,24.991917
1175.919449,156,25.339114
647.333741,93,25.54064
1014.417745,136,25.847883
874.086357,119,26.10874
986.325771,134,26.403154
1139.416687,154,27.140968
1169.395615,156,27.47842
799.370615,110,27.727802
852.174588,116,27.985253
928.023452,127,28.261915
1198.116685,159,28.620192
1286.751428,170,28.994773
813.058322,115,29.243434
1401.970749,184,30.050645
868.143405,119,30.314038
1284.699779,170,30.690445
924.34369,127,30.973272
1025.998573,142,31.286713
1243.78879,165,31.651772
804.690411,113,31.901049
1096.680155,148,32.62406
1152.069113,155,32.966623
1851.00403,240,33.517053
825.262958,118,33.778439
1448.493689,191,34.188332
1354.3449,179,34.578702
1100.683558,151,35.308189
1247.330478,168,35.671109
1575.585214,207,36.127543
1203.893311,160,36.479842
1194.71834,159,36.83639
1074.093771,144,37.153355
1697.335691,223,38.039816
1897.082302,251,38.589457
1967.527722,259,39.170734
1321.689465,174,39.55368
1696.921039,219,40.426975
2475.265089,323,41.140922
1654.997514,216,41.612287
1852.859399,241,42.140287
2351.380794,307,43.214527
2070.626513,269,43.802579
1715.591635,229,44.300617
2000.010987,263,44.872002
2531.08317,346,46.025568
2712.097685,360,46.798587
2223.918621,290,47.425387
3608.466615,478,48.881134
2053.285359,274,49.474439
2514.372145,334,50.212175
2851.91046,383,51.487228
2965.290172,395,52.355832
3989.132324,526,53.899128
4899.192275,647,55.315621
3789.097852,493,56.795514
3242.665037,429,57.717666
3025.138998,403,58.984705
3224.138342,428,59.916662
4006.729646,523,61.452075
5394.741324,713,62.99332
4874.34575,644,64.798476
21910.569357,3001,72.523366
11736.621448,1559,76.303692
6119.193326,803,78.437415
23109.868447,3001,92.336516
23326.173832,3001,100.113278
23140.945516,3001,107.811118
23628.184804,3001,115.509546
23128.720059,3001,123.202036
23325.307344,3001,130.894676
23660.174105,3001,138.565754
5008.095798,658,139.995804
23704.586039,3001,147.795398
23866.234454,3001,155.568154
9776.795903,1249,158.677735
24155.71529,3001,166.45235
