#{"t_start": 1784741623.0326357, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
519.629133,75,0.18043
397.741657,64,0.331171
207.011809,35,0.414961
417.773388,62,0.565854
450.657525,66,0.740863
479.860341,71,0.920665
524.04361,75,1.102885
319.626129,50,1.211816
331.587928,53,1.333437
368.501829,57,1.458326
315.537327,52,1.575852
367.943329,61,1.709075
288.875723,47,1.812185
302.537336,49,1.921554
566.408304,81,2.102069
387.76404,62,2.241733
487.346408,69,3.190441
360.874222,56,3.312373
347.012225,53,3.433917
453.193644,68,3.581222
206.600491,36,3.660707
430.8593,66,3.818074
469.557654,68,3.965806
383.56226,58,4.095306
417.425233,64,4.238041
468.632442,75,4.413981
640.48024,89,4.615572
408.01789,63,4.75761
296.703204,50,4.876169
366.967091,57,5.00123
506.464765,73,5.595428
437.254825,66,5.741662
496.80389,73,5.903682
734.877289,103,6.927276
374.005741,64,7.07052
347.233681,54,7.192305
509.787713,76,7.36128
464.978497,68,7.520274
549.030616,79,7.693343
266.798687,47,7.79988
495.804176,73,7.964434
286.499607,49,8.077494
501.578502,77,8.247991
558.225225,79,8.42161
949.83425,131,8.71218
978.079825,133,9.793693
442.111552,72,9.952574
550.475941,80,10.131122
913.259856,125,10.41031
1085.414334,145,10.732211
661.933878,95,10.939628
477.270706,70,11.094342
689.064756,97,11.905553
751.130425,103,12.130805
486.95987,72,12.286885
434.620221,68,12.434311
676.084793,97,13.442571
434.975972,71,13.600841
1200.271684,163,13.95176
398.421794,63,14.089346
679.806862,100,14.306211
586.313008,84,14.485265
1014.875325,138,14.806015
1437.207713,195,15.230079
699.583024,100,15.44685
547.15373,85,15.628335
2755.933893,355,17.197089
698.258585,99,17.408685
1044.295483,140,20.939589
2332.169581,301,21.58546
1328.989014,176,22.761735
4852.018127,604,24.048965
2286.623428,300,24.686272
24683.484448,3001,42.008876
