#{"t_start": 1784737185.3566563, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
417.859373,64,0.176958
614.547247,86,0.380065
320.323634,51,0.504376
320.401291,51,0.719009
409.346652,61,1.043832
716.553001,98,1.594775
444.49471,66,1.938346
751.884475,107,2.490281
303.418045,49,2.747895
892.954774,122,3.432581
528.121705,76,3.80174
363.314839,56,3.999605
441.790722,67,4.162725
509.942611,73,5.159201
214.342345,39,5.279107
502.071961,73,5.450007
718.313886,101,5.68988
249.583372,43,5.783706
450.707589,65,5.94615
605.003887,86,6.140378
510.195863,74,6.340565
286.647747,47,6.447542
239.618178,41,6.537305
276.532149,49,6.648132
405.410135,62,6.777516
432.867616,66,6.935424
346.041244,59,7.069105
629.895396,91,7.703784
465.912823,72,7.864157
425.301617,62,8.889258
543.147996,82,9.068582
382.430989,60,9.227145
327.143538,52,9.347211
443.78125,70,9.500177
486.556272,72,9.663695
331.461023,55,9.785659
639.945449,95,10.000174
775.304197,106,10.246068
713.948039,105,10.487188
386.674037,62,10.629975
429.039771,64,10.77353
298.109962,47,10.883076
499.900474,74,11.046923
238.141037,40,11.143155
261.894355,45,12.072613
371.202078,58,12.212421
693.98205,103,12.507672
237.180361,40,12.617941
445.00798,67,12.796072
230.511501,40,12.88682
725.48101,104,13.12553
208.28379,37,13.217517
687.992982,100,13.474388
464.251861,71,13.634063
826.571259,114,14.395615
268.861603,44,14.500828
245.240229,42,14.59614
415.21283,68,14.790603
642.158672,93,15.075823
369.369699,57,16.391219
694.663537,105,16.688831
276.265892,47,16.796002
231.550844,39,16.911662
710.926734,103,17.15878
454.90226,68,17.372556
357.946232,56,17.495867
979.41742,136,17.810455
517.13834,79,18.00904
503.169634,75,18.183293
975.57642,133,18.487947
635.245841,89,18.691509
642.126872,91,19.765984
367.58576,65,19.923463
546.43145,81,20.112783
578.992323,85,20.308562
806.660634,110,20.59
445.72602,69,20.737459
468.183946,73,21.498621
436.294148,68,21.651544
485.759714,74,21.81371
869.952079,119,22.072677
739.059605,107,22.326548
468.98586,71,22.485694
815.815184,111,23.586059
792.528028,109,23.827374
530.574043,78,24.055675
585.391859,86,24.245312
926.929465,128,24.536957
837.722078,115,24.784789
428.389508,66,25.019332
775.694821,108,25.283704
2390.328707,306,26.877409
1595.750882,210,27.33392
2434.182869,312,31.024047
1868.577633,241,31.562207
2322.573828,298,33.053777
