timesteps,episode_reward,episode_length,reward_per_step,moving_mean_30,episode_success,success_rate_30
352,269.485204,44,6.124663727272727,6.124663727272727,0.0,0.0
360,247.657474,45,5.503499422222222,5.814081574747474,0.0,0.0
360,278.550373,45,6.1900082888888885,5.939390479461278,0.0,0.0
408,328.289477,51,6.437048568627451,6.063805001752821,0.0,0.0
464,366.883761,58,6.3255820862068965,6.116160418643636,0.0,0.0
528,444.167676,66,6.729813272727272,6.218435894324242,0.0,0.0
584,501.205286,73,6.865825835616438,6.310920171651699,0.0,0.0
688,581.008012,86,6.75590711627907,6.36654353973012,0.0,0.0
736,277.482345,47,5.903879680851064,6.315136444299114,0.0,0.0
800,340.452398,55,6.1900436,6.3026271598692025,0.0,0.0
880,431.529857,66,6.538331166666667,6.324054796850791,0.0,0.0
1000,319.189237,52,6.138254557692307,6.308571443587584,0.0,0.0
1008,233.141655,40,5.8285413749999995,6.271646053696231,0.0,0.0
1032,534.501836,78,6.852587641025641,6.3131418813626174,0.0,0.0
1040,502.948827,72,6.985400375,6.357959114271776,0.0,0.0
1176,577.726566,81,7.132426740740741,6.406363340926087,0.0,0.0
1176,271.512914,47,5.7768705106382985,6.369334350909159,0.0,0.0
1216,347.959851,60,5.7993308500000005,6.337667489747539,0.0,0.0
1264,276.739293,48,5.765401937499999,6.3075482501555635,0.0,0.0
1376,279.852761,46,6.083755673913044,6.296358621343438,0.0,0.0
1488,382.110441,57,6.703691947368421,6.315755446392247,0.0,0.0
1536,271.016753,45,6.0225945111111105,6.302429949334013,0.0,0.0
1592,466.709217,69,6.763901695652175,6.322493938304369,0.0,0.0
1608,351.130727,54,6.50242087037037,6.329990893807117,0.0,0.0
1728,434.388092,64,6.7873139375,6.348283815554831,0.0,0.0
1792,717.0412,99,7.242840404040404,6.382689838188892,0.0,0.0
1904,557.597785,80,6.9699723125,6.404441040941156,0.0,0.0
2016,400.099948,66,6.062120424242424,6.392215304630487,0.0,0.0
2032,213.974347,38,5.630903868421052,6.365963186140506,0.0,0.0
2072,627.015097,87,7.207070080459769,6.394000082617816,0.0,0.0
2104,428.360946,64,6.69313978125,6.412949284417059,0.0,0.0
2128,498.054932,74,6.730472054054054,6.453848372144786,0.0,0.0
2240,538.26682,79,6.813504050632912,6.4746315642029195,0.0,0.0
2432,306.961488,50,6.139229759999999,6.464704270582004,0.0,0.0
2488,391.647276,59,6.638089423728813,6.475121181832734,0.0,0.0
2488,622.036284,87,7.1498423448275865,6.489122150902745,0.0,0.0
2520,362.28414,56,6.4693596428571425,6.475906611144102,0.0,0.0
2544,566.889972,80,7.0861246499999995,6.486913862268133,0.0,0.0
2568,373.607629,58,6.441510844827586,6.50483490106735,0.0,0.0
2584,356.248847,57,6.249979771929825,6.5068327734650095,0.0,0.0
