episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.9944419687732591,-29756.029560019757,-14.87801478000988,2000,0,0,0,3.015222830141443,1.6576092076312954,91.77
2,4000,1,smoke_nominal,0.0,0.9889148601802693,-29568.340829056477,-14.784170414528239,2000,0,0,0,2.9674456788120587,1.961771803696557,89.76
3,6000,1,smoke_nominal,0.0,0.9834185021800258,-29655.51741107767,-14.827758705538836,2000,0,0,0,2.9831027918394004,1.8601508583313762,90.405
4,8000,1,smoke_nominal,0.0,0.9779527236886898,-29620.914527561716,-14.810457263780858,2000,0,0,0,2.9852609335091085,1.7513532006727452,90.435
5,10000,1,smoke_nominal,0.0,0.9725173545742641,-29859.113258672256,-14.929556629336128,2000,0,0,0,3.0410314635062443,1.2767347643199942,90.48
6,12000,1,smoke_nominal,0.0,0.9671122256512967,-29705.563663454133,-14.852781831727066,2000,0,0,0,3.00546711594711,1.6345352207647335,90.66
7,14000,1,smoke_nominal,0.0,0.9617371686756149,-29704.917836748802,-14.852458918374401,2000,0,0,0,3.0029856050542527,1.6457023396250188,89.505
8,16000,1,smoke_nominal,0.0,0.9563920163390887,-29682.09597824176,-14.841047989120879,2000,0,0,0,2.998301491204097,1.7032311265982747,89.7
9,18000,1,smoke_nominal,0.0,0.9510766022644224,-29781.53429117831,-14.890767145589153,2000,0,0,0,3.0216351000672987,1.4925438645488802,90.315
10,20000,1,smoke_nominal,0.0,0.9457907609999764,-29763.664323588273,-14.881832161794136,2000,0,0,0,3.0126628581208332,1.5543116148450085,88.95
11,22000,1,smoke_nominal,0.0,0.9405343280146169,-29611.979739729686,-14.805989869864844,2000,0,0,0,2.9806084670020025,1.9907118902340093,89.415
12,24000,1,smoke_nominal,0.0,0.9353071396925946,-29793.83035399812,-14.89691517699906,2000,0,0,0,3.021531196740791,1.5222646191216678,91.8
13,26000,1,smoke_nominal,0.0,0.930109033328452,-29655.154752090133,-14.827577376045067,2000,0,0,0,2.9853950355225494,1.6215453338275387,89.775
14,28000,1,smoke_nominal,0.0,0.9249398471219589,-29760.80987993251,-14.880404939966255,2000,0,0,0,3.010098655324508,1.6480188219124325,90.6
15,30000,1,smoke_nominal,0.0,0.9197994201730759,-29715.89694707562,-14.85794847353781,2000,0,0,0,3.002374507586411,1.7439210398387026,87.795
16,31332,2,smoke_dr_0.10,0.1,0.0996012858005303,-19924.603405275026,-14.95841096492119,1332,0,0,0,3.08061717481077,0.5948568560189877,90.27027027027027
17,33332,2,smoke_dr_0.10,0.1,0.0990059306174878,-27589.675672224468,-13.794837836112235,2000,0,0,0,2.7739911463986227,2.7801991872851732,103.26
18,35332,2,smoke_dr_0.10,0.1,0.09841453126823506,-23061.929124093756,-11.530964562046877,2000,0,0,0,2.397979704780059,5.736513324290214,108.705
19,37332,2,smoke_dr_0.10,0.1,0.09782706146825922,-23886.832491281777,-11.943416245640888,2000,0,0,0,2.43868159080875,5.511475022691946,102.12
20,39332,2,smoke_dr_0.10,0.1,0.09724349510769466,-21505.822067494973,-10.752911033747488,2000,0,0,0,2.297015114189124,6.813156456068049,103.395
21,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-8088.160286892355,-12.108024381575381,668,0,0,0,2.469492964745089,5.599845350917781,108.32335329341318
