#{"t_start": 1784742608.895248, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
264.249019,46,0.121552
366.372921,55,0.247172
385.289312,61,0.393068
263.567465,44,0.500229
716.616526,99,0.743573
516.25027,74,0.924384
347.979756,54,1.059335
370.39493,57,1.190526
776.985311,107,1.431216
462.007681,66,1.578882
330.105874,53,1.698936
334.759112,53,1.81983
561.917346,81,1.997648
686.490453,96,2.203381
451.819443,68,2.350888
392.350226,59,3.265638
670.514088,94,3.470195
703.674957,100,3.693082
546.794866,80,3.884568
268.805121,44,3.982253
460.828359,66,4.126648
307.752866,50,4.240499
482.555882,70,4.396833
456.351467,68,4.544103
601.170612,86,4.733463
235.035916,41,4.820299
727.192441,100,5.040862
425.983777,64,5.620224
407.133735,65,5.760943
332.15575,55,6.696512
227.754101,38,6.784435
420.297037,64,6.930956
445.616724,68,7.096861
591.056501,85,7.287881
1024.528311,137,7.602798
415.002481,63,7.746969
312.31118,52,7.865955
497.415289,72,8.02773
589.618328,84,8.209181
640.670037,90,8.406241
386.996666,60,8.537474
378.40956,58,8.664928
636.927277,92,8.878441
486.274081,72,9.835348
451.297863,68,9.983245
511.131897,80,10.173475
455.590731,70,10.329167
557.675924,80,10.506563
549.050482,80,10.680863
751.329733,103,10.908536
298.581113,48,11.013453
416.824572,65,11.162632
859.061232,116,11.940446
704.829265,98,12.157051
869.480692,117,12.418738
450.996041,69,12.571527
921.6009,124,13.655011
486.885831,73,13.820379
470.326927,71,13.978422
336.50211,53,14.095479
457.232886,70,14.258198
490.449134,71,14.422291
1245.546086,168,14.816377
384.481763,61,14.953671
1086.31019,151,15.296942
1310.939765,172,15.686446
1026.509762,137,16.786367
614.61203,89,16.988792
697.570934,100,17.201046
603.297943,86,17.389261
593.492932,83,17.567895
1818.752625,234,18.845731
449.944185,66,18.993151
525.82216,75,19.160358
1625.196227,213,20.432742
716.408695,101,20.64788
3801.315198,474,21.659887
993.415041,134,21.950377
895.604011,121,22.218025
4030.962424,501,27.624006
