#{"t_start": 1784736558.301193, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
218.995789,37,0.113259
619.115896,91,0.359371
278.725561,47,0.476869
681.321416,95,0.728488
523.680318,77,0.940374
575.625457,81,1.143537
473.9186,71,1.32663
554.465802,79,1.530031
691.408118,97,1.800896
327.025529,50,1.938555
558.538165,79,2.146402
364.221044,58,2.299295
328.580459,53,2.444965
469.935375,68,2.632732
557.648628,80,3.897095
578.243344,82,4.127016
273.616811,45,4.243986
218.798495,37,4.340059
714.660151,98,4.614645
312.495858,51,4.754585
467.273191,69,4.936589
330.029535,53,5.081668
464.674877,69,5.266075
1150.548292,154,5.692662
377.532377,60,5.854851
367.01505,57,6.001949
431.476535,66,6.631389
568.230813,82,6.851106
210.699277,38,6.952877
186.197836,33,8.019386
652.484528,91,8.277185
510.270231,75,8.471356
458.988847,68,8.655928
205.442501,40,8.7567
308.964309,53,8.90233
401.810904,64,9.072936
359.136028,60,9.231689
715.914631,100,9.487154
351.885933,56,9.635401
194.484606,36,9.729632
339.18026,57,9.870129
246.135443,43,9.995564
430.337688,65,10.170632
393.521986,64,10.334611
445.01787,67,10.516176
396.059371,61,10.686868
479.151249,72,11.819624
646.980472,93,12.068349
267.63783,45,12.178751
727.604165,105,12.456283
529.139511,80,12.675832
539.969572,80,12.876763
265.940259,45,12.995661
303.933258,49,13.119643
581.859016,85,13.342184
389.985562,60,14.055931
291.434316,48,14.189118
850.854988,116,14.487738
295.182532,49,14.617419
603.122676,90,14.877193
682.724052,96,16.090811
917.837078,126,16.429356
561.653845,83,16.645398
1463.932462,194,17.170999
408.685179,64,17.329587
578.775382,87,17.574493
1515.387221,200,18.082526
421.364587,68,18.251281
788.597261,112,18.535796
1045.457449,140,19.854959
681.368584,96,20.11074
473.618098,71,20.304589
1259.65844,171,20.741432
1947.439112,251,22.776507
528.597684,77,22.960565
1148.456883,154,23.356789
643.900069,93,24.54406
1930.18697,251,25.207656
745.643089,103,25.474767
1091.35218,146,25.849921
2464.576024,321,26.738785
23774.411529,3001,45.872713
