episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.9901459774736755,-29792.010315620002,-14.89600515781,2000,0,0,0,3.026879227463582,1.4123065498353293,90.075
2,4000,1,smoke_nominal,0.0,0.9803891539062591,-29694.896945716857,-14.847448472858428,2000,0,0,0,2.996110595256544,1.7831314360957218,89.025
3,6000,1,smoke_nominal,0.0,0.9707285705382609,-29569.695666242093,-14.784847833121047,2000,0,0,0,2.975453967711373,1.9059111872831085,89.505
4,8000,1,smoke_nominal,0.0,0.9611632780672854,-29801.916151415295,-14.900958075707647,2000,0,0,0,3.025085416521319,1.495299221156004,88.77
5,10000,1,smoke_nominal,0.0,0.9516923365547483,-29778.918598001612,-14.889459299000807,2000,0,0,0,3.0190250363279794,1.459070927769108,90.18
6,12000,1,smoke_nominal,0.0,0.9423148153335125,-29669.37116848628,-14.83468558424314,2000,0,0,0,2.9971205095603684,1.745607644240109,88.695
7,14000,1,smoke_nominal,0.0,0.9330297929164358,-29807.2267625916,-14.9036133812958,2000,0,0,0,3.02365775984342,1.4106853932610506,90.48
8,16000,1,smoke_nominal,0.0,0.9238363569058211,-29754.905325713647,-14.877452662856824,2000,0,0,0,3.0066358346304405,1.4588422954164166,90.195
9,18000,1,smoke_nominal,0.0,0.9147336039037578,-29731.883889002303,-14.865941944501152,2000,0,0,0,3.0054279818656715,1.6377142873275907,88.77
10,20000,1,smoke_nominal,0.0,0.9057206394233501,-29641.527296218723,-14.820763648109361,2000,0,0,0,2.9905262293690713,1.7398645563703752,90.975
11,22000,1,smoke_nominal,0.0,0.8967965778008191,-29569.469893926354,-14.784734946963177,2000,0,0,0,2.9756148485186453,2.0557256992954094,90.48
12,24000,1,smoke_nominal,0.0,0.8879605421084731,-29643.976035769094,-14.821988017884546,2000,0,0,0,2.988009918176639,1.772732700043303,89.415
13,26000,1,smoke_nominal,0.0,0.8792116640685352,-29659.14579677573,-14.829572898387866,2000,0,0,0,2.990367921725182,1.6514901571469491,93.57
14,28000,1,smoke_nominal,0.0,0.8705490839678222,-29696.27219664956,-14.84813609832478,2000,0,0,0,3.003917497871213,1.5975358339223849,89.565
15,30000,1,smoke_nominal,0.0,0.8619719505732638,-29433.846500603664,-14.716923250301832,2000,0,0,0,2.9538331560158206,2.08911601110339,90.81
16,31348,2,smoke_dr_0.10,0.1,0.09959650719271829,-20159.698465959424,-14.955265924302243,1348,0,0,0,3.072795492751672,0.6188448783790569,89.55489614243324
17,33348,2,smoke_dr_0.10,0.1,0.0990011837611055,-28356.01928714822,-14.17800964357411,2000,0,0,0,2.8242425093891486,2.2313531158032647,104.745
18,35348,2,smoke_dr_0.10,0.1,0.0984098159523103,-24413.365599344485,-12.206682799672242,2000,0,0,0,2.4672631890645342,5.221785878863351,108.045
19,37348,2,smoke_dr_0.10,0.1,0.09782237748322162,-20958.79395024787,-10.479396975123935,2000,0,0,0,2.2373533468816693,6.8373571856185675,122.235
20,39348,2,smoke_dr_0.10,0.1,0.09723884224536634,-20164.738609389275,-10.082369304694637,2000,0,0,0,2.1928434669384846,7.218328855685301,128.385
21,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-6715.315641131514,-10.299563866766126,652,0,0,0,2.213523053896264,6.784220550962749,130.53680981595093
