#{"t_start": 1784736606.0400593, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
726.098568,99,0.277046
515.2924,75,0.460893
333.801657,53,0.593644
445.746435,65,0.768779
232.411931,38,0.865547
212.007129,38,0.960053
443.555948,69,1.139312
925.709544,124,1.455564
420.816541,65,1.623766
381.064385,59,1.763967
231.648466,42,1.868526
712.280312,100,2.122943
550.143662,81,2.319039
300.589882,48,2.443357
336.395316,54,2.583538
488.305524,71,3.711263
811.538366,110,3.998872
384.264642,60,4.15375
474.856614,71,4.336218
390.217402,65,4.508569
266.369061,45,4.62608
351.107649,55,4.771866
637.187159,93,5.014086
258.221028,44,5.132395
457.449215,69,5.319374
404.001981,62,5.477854
427.921708,65,5.649791
277.639963,46,5.764893
379.492698,59,6.437701
790.102852,110,6.721238
272.405072,46,7.765726
442.514674,65,7.929046
279.259567,46,8.054398
366.767045,57,8.198347
631.79351,90,8.416204
295.036094,47,8.540336
558.127176,82,8.750103
382.878235,59,8.903338
339.569052,52,9.034854
509.86403,77,9.236274
273.755041,47,9.357855
597.910406,86,9.572935
391.965749,62,9.729806
383.932964,61,9.887846
415.206742,62,10.040529
429.685442,70,10.220526
295.99105,50,11.296563
346.594102,53,11.433536
783.385313,108,11.754688
523.353136,77,11.942495
791.983885,112,12.229863
344.021655,53,12.363401
483.00765,76,12.553603
262.185121,45,12.662818
759.89265,104,12.926516
681.765278,95,13.916317
437.542217,68,14.08715
960.655379,130,14.401553
601.276284,88,15.546349
960.928263,132,15.875192
580.575405,86,16.090391
373.24253,57,16.234702
552.290411,82,16.430104
1088.6402,146,16.782562
1131.991077,151,17.157195
636.981044,99,17.400107
1374.741096,183,17.840831
653.491015,96,18.992607
2167.747497,281,19.675288
1182.247779,160,20.061676
428.997123,67,21.52256
931.83047,127,21.835351
1132.803462,153,22.210078
865.294665,120,22.491855
407.099162,62,22.640681
2490.001237,322,24.318658
1456.259348,192,24.7937
1898.679595,247,25.396584
930.043453,126,25.705854
1278.261926,168,26.10878
1388.257233,181,27.556348
2075.405829,265,31.879526
