time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend
0.35000000000000003,1.21416,2.9143934,-2.7025792,-4.0416135,-100.0,1,0.0
0.355,1.2199974,2.4776611,-2.7321581,-4.5101566,-100.0,1,0.0
0.36,1.2258347,2.1501119,-2.7959864,-6.5740289,-100.0,1,0.0
0.365,1.231672,1.9044499,-2.8302356,-6.6429872,-100.0,1,0.0
0.37,1.2375093,1.7202034,-2.8816097,-7.5509386,-100.0,1,0.0
0.375,1.2433466,1.5820187,-2.9283132,-7.9983825,-100.0,1,0.0
0.38,1.2375093,0.8946479,-2.9672328,-7.9447712,-100.0,1,0.0
0.385,1.2375093,0.6709859,-3.0310609,-9.1499776,-100.0,1,0.0
0.39,1.2375093,0.5032395,-3.0793211,-9.2754936,-100.0,1,0.0
0.395,1.231672,0.0855635,-3.1353657,-9.7588491,-100.0,1,0.0
0.4,1.2375093,0.3560387,3.0856547,-10.4273757,-100.0,1,0.0
0.405,1.231672,-0.024837,3.038788,-10.1638641,-100.0,1,0.0
0.41000000000000003,1.231672,-0.0186278,2.9798261,-10.5709915,-100.0,1,0.0
0.41500000000000004,1.2258347,-0.3058369,2.919353,-10.9519042,-100.0,1,0.0
0.42,1.2258347,-0.2293776,2.8664388,-10.8596353,-100.0,1,0.0
0.425,1.21416,-0.7557653,2.7923588,-11.8487262,-100.0,1,0.0
0.43,1.2083227,-0.85869,2.7409565,-11.4566612,-100.0,1,0.0
0.435,1.2024854,-0.9358836,2.6971132,-10.7846593,-100.0,1,0.0
0.44,1.2024854,-0.7019127,2.6472227,-10.5830202,-100.0,1,0.0
0.445,1.2083227,-0.2345685,2.5837256,-11.1121187,-100.0,1,0.0
0.45,1.2024854,-0.4677924,2.5323233,-10.9042053,-100.0,1,0.0
0.455,1.1966482,-0.6427044,2.4778971,-10.8994636,-100.0,1,0.0
0.46,1.1849736,-1.0657603,2.4310302,-10.5179424,-100.0,1,0.0
0.465,1.1791362,-1.0911862,2.3826518,-10.3073806,-100.0,1,0.0
0.47000000000000003,1.1732989,-1.1102557,2.3372964,-9.9983015,-100.0,1,0.0
0.47500000000000003,1.1791362,-0.5408257,2.2934534,-9.6908779,-100.0,1,0.0
0.48,1.1849736,-0.1137532,2.2571694,-9.0823574,-100.0,1,0.0
0.485,1.1791362,-0.377181,2.2103025,-9.1551132,-100.0,1,0.0
0.49,1.1732989,-0.5747518,2.1437816,-10.1923809,-100.0,1,0.0
0.495,1.1732989,-0.4310638,2.1498291,-7.3419113,-100.0,1,0.0
0.5,1.1674616,-0.6151639,2.1074976,-7.6230063,-100.0,1,0.0
0.505,1.1616243,-0.7532391,2.0591189,-8.1361904,-100.0,1,0.0
0.51,1.1557869,-0.8567954,2.0379533,-7.1604232,-100.0,1,0.0
0.515,1.1499496,-0.9344626,2.0107402,-6.7309722,-100.0,1,0.0
0.52,1.1499496,-0.7008469,1.9865509,-6.2576971,-100.0,1,0.0
0.525,1.1441124,-0.8174953,1.9563141,-6.2051086,-100.0,1,0.0
0.53,1.1382751,-0.9049875,1.9563141,-4.6538314,-100.0,1,0.0
0.535,1.1324378,-0.9706067,1.921542,-5.2289814,-100.0,1,0.0
0.54,1.1266005,-1.019821,1.8837461,-5.811531,-100.0,1,0.0
0.545,1.1207631,-1.0567318,1.8807225,-4.5098295,-100.0,1,0.0
0.55,1.1266005,-0.5006828,1.8731633,-3.7603311,-100.0,1,0.0
0.555,1.1149258,-0.9592443,1.8595569,-3.5005698,-100.0,1,0.0
0.56,1.1090885,-1.0112992,1.8535095,-2.9277958,-100.0,1,0.0
0.5650000000000001,1.1032512,-1.0503405,1.858045,-1.9690751,-100.0,1,0.0
0.5700000000000001,1.0974139,-1.0796214,1.8459503,-2.0815372,-100.0,1,0.0
0.5750000000000001,1.0857393,-1.3934422,1.7990834,-3.9044976,-100.0,1,0.0
0.58,1.0857393,-1.0450817,1.8368792,-1.0385842,-100.0,1,0.0
0.585,1.079902,-1.0756773,1.8338556,-0.9301194,-100.0,1,0.0
0.59,1.0682274,-1.3904901,1.8353673,-0.6219989,-100.0,1,0.0
0.595,1.06239,-1.3347337,1.8535095,0.440606,100.0,1,0.0
0.6,1.0273662,-2.7522406,1.8399029,-0.349873,-100.0,1,0.0
0.605,1.0156916,-2.6479125,1.8519977,0.3423321,100.0,1,0.0
0.61,0.9806678,-3.7371277,1.8656042,0.9370706,100.0,1,0.0
0.615,0.9631559,-3.678441,1.8731633,1.0807619,100.0,1,0.0
0.62,0.9865051,-1.5913696,1.8882817,1.5664894,100.0,1,0.0
0.625,0.9748305,-1.7772593,1.921542,2.8378844,100.0,1,0.0
0.63,0.9689932,-1.6248075,1.9411959,3.1111092,100.0,1,0.0
0.635,0.9456439,-2.3860669,1.9668971,3.61839,100.0,1,0.0
0.64,0.9456439,-1.7895502,1.9986455,4.3012132,100.0,1,0.0
0.645,0.9514812,-1.0502995,2.0273704,4.6621551,100.0,1,0.0
0.65,0.9398067,-1.3714537,2.0621426,5.2352242,100.0,1,0.0
0.655,0.9106201,-2.4879176,2.0893557,5.2870731,100.0,1,0.0
0.66,0.8814335,-3.3252656,2.1316871,6.0818777,100.0,1,0.0
0.665,0.852247,-3.9532766,2.1664593,6.3000164,100.0,1,0.0
0.67,0.852247,-2.9649574,2.2133262,7.0683569,100.0,1,0.0
0.675,0.8755962,-1.0562567,2.2541456,7.3422379,100.0,1,0.0
0.68,0.8872709,-0.2084604,2.3040361,8.0012044,100.0,1,0.0
0.685,0.8755962,-0.7400775,2.3645098,9.0245876,100.0,1,0.0
0.6900000000000001,0.8931082,0.3205401,2.4159119,9.3385448,100.0,1,0.0
0.6950000000000001,0.8814335,-0.343327,2.4642908,9.4228553,100.0,1,0.0
0.7000000000000001,0.8989455,0.6180999,2.5459299,11.1490936,100.0,1,0.0
0.705,0.8989455,0.4635749,2.6184978,11.9902172,100.0,1,0.0
0.71,0.9164574,1.2232794,2.6714119,11.6383705,100.0,1,0.0
0.715,0.9456439,2.3767869,2.7409565,12.206005,100.0,1,0.0
0.72,0.9573185,2.3663194,2.8180599,13.0096721,100.0,1,0.0
0.725,0.9806678,2.9422008,2.883069,13.0077095,100.0,1,0.0
0.73,1.0098543,3.6659779,2.9768026,14.4424591,100.0,1,0.0
0.735,1.0273662,3.6250815,3.0448353,14.2334814,100.0,1,0.0
0.74,1.0507154,3.8862695,3.1415927,15.5129814,100.0,1,0.0
0.745,1.0682274,3.7903003,-3.0621964,15.6045484,100.0,1,0.0
0.75,1.0974139,4.3020496,-2.9750165,16.0624065,100.0,1,0.0
0.755,1.1207631,4.3940014,-2.892507,16.1722812,100.0,1,0.0
0.76,1.1557869,5.0466914,-2.8084406,16.3325309,100.0,1,0.0
0.765,1.1732989,4.6606168,-2.7228174,16.5305614,100.0,1,0.0
0.77,1.1966482,4.6629266,-2.6309671,16.9904346,100.0,1,0.0
