#{"t_start": 1784829398.6523075, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
440.923797,66,0.158489
723.598049,103,0.38181
284.089587,47,0.480599
224.257257,38,0.562059
567.216912,81,0.738613
245.749068,43,0.838451
497.532379,73,1.003072
184.146958,35,1.082112
229.135736,39,1.172597
262.091812,43,1.271447
387.459347,62,1.414607
541.973253,77,1.591428
490.284404,70,1.752316
467.70739,69,1.910132
395.409,59,2.041969
372.524162,58,2.170658
240.875677,46,2.279152
382.028962,59,2.812116
526.049393,75,2.981202
555.223751,79,3.168073
267.332227,46,3.271346
374.302949,58,3.402946
644.049077,91,3.624219
556.81134,81,3.808552
481.929289,70,3.970636
329.977017,54,4.091508
357.092255,56,4.216781
305.163113,49,4.332134
341.669413,55,4.460802
239.681553,41,4.555727
444.07529,66,4.706003
408.797999,64,4.851713
424.432619,63,4.997222
396.119297,59,5.529948
612.696651,87,5.723795
383.808823,57,5.852585
426.940556,67,6.000769
429.647879,65,6.152949
351.551294,56,6.280049
411.468836,63,6.423932
374.453471,57,6.555029
838.375742,115,6.821576
446.485772,70,6.977525
608.687292,88,7.178149
524.84432,76,7.351102
724.197169,98,7.572392
304.444077,49,7.686331
591.588861,84,8.273959
279.798694,48,8.385313
487.472415,72,8.548036
479.369184,70,8.708973
585.354818,83,8.894263
762.022575,106,9.128022
354.703853,59,9.26432
522.728547,77,9.436768
754.520125,107,9.676408
367.32836,57,9.807993
364.457504,62,9.94619
401.769028,63,10.083087
886.470323,123,10.367173
688.250628,99,10.984046
1234.749036,164,11.35243
610.176811,90,11.555585
564.651204,84,11.74592
615.12663,88,11.950755
462.901266,68,12.099556
741.236839,103,12.329897
546.449769,80,12.513055
251.353608,44,12.642049
689.537674,98,12.861347
581.848678,84,13.051347
628.406255,88,13.653235
675.177765,96,13.86453
540.962,78,14.040432
302.938174,54,14.161775
524.888572,77,14.334901
358.762929,56,14.459558
720.552646,100,14.685996
757.281976,105,14.923519
1081.545923,147,15.268469
801.282021,113,15.524802
648.157318,92,15.729082
635.194922,90,15.934845
922.67886,127,16.637971
489.508877,73,16.807288
1347.549982,178,17.205002
1146.32132,152,17.544024
728.307127,103,17.770734
977.55616,132,18.064618
792.590426,112,18.313383
1077.001381,144,18.640564
596.579134,90,19.238413
720.902979,99,19.457434
1281.865176,169,19.829357
701.123974,98,20.041684
824.977993,115,20.290584
917.119679,124,20.563727
969.788305,129,20.849064
877.750137,120,21.116905
874.979107,120,21.778774
1082.752356,146,22.101021
690.253894,97,22.314482
1109.514205,149,22.639645
805.738405,111,22.890827
1267.504567,168,23.268082
809.499121,110,23.508339
1183.609856,158,23.854584
1051.055032,142,24.561311
991.301506,134,24.860916
896.54992,124,25.133383
1578.085786,204,25.580006
1389.539789,182,25.973735
1254.132302,165,26.343256
918.743449,124,26.610635
2379.776371,301,27.67244
1685.490924,226,28.166944
986.895302,131,28.454175
1809.16912,238,28.964171
2410.62981,306,30.01847
1705.488233,227,30.511788
2514.774021,319,31.202017
1659.047336,216,31.668352
9140.996242,1127,34.934319
24694.458677,3001,42.174684
24719.707085,3001,49.866323
24723.872618,3001,57.56826
24736.109086,3001,65.342385
24730.784177,3001,73.120551
24722.547078,3001,87.59595
24737.225071,3001,95.358119
24741.09976,3001,103.123941
24739.417149,3001,110.884528
24726.093876,3001,118.655205
24747.99786,3001,126.409695
23621.813799,3001,134.142029
24738.699431,3001,141.944605
24733.396133,3001,149.703818
24745.679722,3001,157.076056
24731.943742,3001,164.825128
24749.52113,3001,179.386785
24710.580918,3001,187.050271
24749.621084,3001,194.706781
24720.97274,3001,202.380995
24724.641037,3001,210.048835
24739.833093,3001,217.714936
24721.026978,3001,225.365623
24746.012236,3001,232.980865
24718.316943,3001,240.621346
24736.876627,3001,248.327249
24725.180963,3001,262.563059
24747.092956,3001,270.344169
24752.160059,3001,277.665479
24609.967062,3001,285.413252
24737.48778,3001,293.160897
24718.213847,3001,300.925171
5474.067633,706,302.874007
24736.279092,3001,310.712607
24642.735028,3001,318.557281
24699.04728,3001,326.362998
24736.52262,3001,334.150317
24711.894121,3001,348.715534
15735.839562,2056,354.032444
15172.52614,1875,358.560282
24746.765107,3001,366.346537
8232.563911,1087,369.160149
24671.683257,3001,376.940673
24718.346018,3001,384.892009
23395.861713,2978,392.668789
24739.293591,3001,400.50219
24752.424481,3001,408.341109
24731.940311,3001,416.13194
24713.562143,3001,423.956088
24726.038551,3001,438.401074
24738.480582,3001,446.155637
24727.145452,3001,453.896715
24746.245299,3001,461.634258
24040.681689,3001,469.38343
24752.005217,3001,477.119684
24715.594765,3001,484.408225
24748.791908,3001,492.143228
24742.166513,3001,499.901737
24752.23318,3001,507.626199
24659.445571,3001,515.311037
24725.010356,3001,529.677644
24689.282439,3001,537.442311
24747.662117,3001,545.188373
24742.597142,3001,553.065073
24734.008599,3001,560.867716
24739.028754,3001,568.710679
24674.557001,3001,576.491783
24717.705836,3001,584.398856
24691.997503,3001,592.203952
24545.311429,3001,600.063307
24742.475769,3001,614.129663
24739.496838,3001,621.945507
24735.71293,3001,629.631578
24690.001494,3001,637.238635
24684.751043,3001,644.888953
24731.171138,3001,652.539734
24682.602484,3001,660.233869
24648.052164,3001,667.963373
24728.218839,3001,675.750849
24690.629373,3001,683.493551
24740.079306,3001,697.717911
