#{"t_start": 1784738618.0982978, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
249.524979,42,0.120818
279.591732,46,0.223848
311.832205,52,0.338228
428.168507,63,0.476732
442.69413,66,0.615782
524.784021,74,0.779113
374.48162,59,0.908097
308.814741,52,1.018178
375.282601,59,1.1447
455.560543,68,1.291943
460.769029,67,1.436199
747.819315,102,1.654331
249.072612,44,1.752054
659.423623,92,1.954635
294.821972,47,2.056075
534.389515,75,2.222579
471.914537,68,3.198596
478.058772,70,3.38689
239.494016,43,3.492139
265.33035,43,3.601314
565.501801,87,3.816188
277.395466,46,3.935158
311.647601,50,4.05872
382.465559,61,4.197535
495.974535,75,4.364542
354.225642,54,4.484013
365.645081,59,4.613201
964.456009,130,4.912161
202.129173,37,4.991992
594.074866,84,5.629742
296.077071,48,5.734767
360.444426,55,5.858979
354.474805,57,6.778887
268.312271,50,6.891503
569.167967,83,7.080191
326.292024,50,7.191624
330.968156,54,7.313268
430.926401,67,7.465196
286.808199,47,7.569987
714.44929,101,7.796784
852.113375,116,8.05765
406.570325,62,8.192477
499.994387,75,8.359808
390.444266,60,8.495692
631.239058,91,8.700439
313.707628,55,8.826758
415.809449,64,8.970131
506.574518,77,9.932542
322.929039,53,10.045607
649.925336,93,10.246953
447.759302,70,10.398211
476.786537,70,10.556127
238.944649,41,10.643336
503.766529,78,10.814261
332.343936,53,10.934443
1072.617193,144,11.263331
1027.808043,136,12.142953
704.221123,98,12.357252
674.905564,101,12.581943
883.668519,121,13.636682
852.394829,118,13.894751
2202.405692,283,14.50454
1200.465396,162,14.877513
1794.135553,231,15.37357
1019.715749,137,15.667007
1601.713674,212,16.913226
621.608598,89,17.105757
1127.402142,154,17.438019
3701.742644,494,19.603907
3216.235069,411,21.32245
826.156938,118,21.574431
2870.020736,364,22.358526
23852.363772,3001,38.919408
