#{"t_start": 1784711319.5524352, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
377.396232,58,3.50227
218.596891,37,3.811679
236.203296,41,4.148715
274.781423,45,4.527676
385.232527,60,5.008558
858.164449,117,5.9739
355.602527,56,6.499623
243.131802,41,6.869043
459.936043,69,7.47663
635.579549,89,8.278278
314.886677,52,8.743471
263.560381,43,9.119238
345.937359,55,9.607449
572.714075,85,10.347059
501.301,72,11.000196
547.62798,79,11.788528
217.029398,38,14.72082
327.625765,52,15.183481
376.322775,59,15.700462
270.421359,46,16.111555
353.759074,58,16.653421
490.619772,73,17.316587
521.882345,79,18.01481
554.390748,80,18.733307
274.808347,45,19.144424
336.446063,57,21.446209
1268.183534,169,22.935076
306.088433,50,23.376752
268.780378,45,23.786379
334.065441,51,24.252246
495.183671,72,24.882067
364.550112,56,25.370938
650.516936,92,28.571513
547.732265,80,29.341383
350.218044,58,29.866097
386.728438,62,30.416147
263.086172,45,30.810128
472.469932,70,31.417521
359.855134,57,31.912478
794.074302,110,32.911657
530.971749,76,33.658512
436.679504,66,34.230843
518.870951,75,34.888256
244.006871,44,35.275015
339.690678,54,35.754478
283.511751,47,36.170736
376.551057,61,36.713272
630.588545,91,39.920995
545.716524,80,42.911522
504.491852,75,43.573534
663.305156,92,44.36806
476.028564,70,44.977787
568.895311,82,45.703155
517.439601,74,46.353108
298.484146,48,46.766001
860.019816,126,47.862017
486.598169,75,48.516226
796.193988,109,49.467844
244.763701,41,49.838917
722.882487,102,50.725544
2053.152505,267,54.096977
453.674082,69,54.371069
1177.215615,158,55.023877
1178.908831,156,56.9684
800.180612,113,57.415859
419.266391,64,57.690638
963.357253,131,58.260644
484.706253,73,59.927353
1537.436257,201,60.775115
1678.946937,221,61.689912
644.659317,96,62.120038
1136.802619,153,62.765234
1359.99478,181,64.116115
784.688686,109,65.060999
1550.860662,205,74.434775
1547.173388,206,76.185058
909.266375,127,77.273243
1512.784618,202,78.992144
1287.672602,170,80.472267
1201.511388,162,81.845085
2708.248325,363,87.27907
4284.469491,561,107.664116
23393.392261,3001,223.383932
23808.584333,3001,408.720288
23157.344429,3001,517.431404
22611.609706,3001,693.186981
22992.665694,3001,846.186346
22937.12738,3001,982.329459
22976.766567,3001,1127.711707
23013.993042,3001,1271.316294
23061.49445,3001,1420.354037
23093.807865,3001,1568.209158
23008.999734,3001,1710.512925
16871.294335,2211,1780.079302
18858.336018,2461,1904.31865
22774.36985,3001,2037.313175
3428.496553,450,2043.723866
3994.147473,527,2048.267774
16965.637918,2218,2156.341727
17502.129826,2286,2234.26533
21336.292633,2777,2321.656643
17241.265544,2259,2359.85295
22919.039464,3001,2499.078303
22654.653396,3001,2636.244433
22843.91783,3001,2759.386424
3444.331015,456,2766.812893
14624.689713,1923,2895.788726
4097.266001,534,2900.539116
22970.295144,3001,3020.934595
8935.301967,1211,3059.349335
5009.278993,669,3064.22505
22920.072727,3001,3144.585164
9811.418243,1325,3198.699859
22606.196111,3001,3286.62613
23034.250737,3001,3381.538945
4372.665909,569,3387.469466
13663.473552,1881,3444.361174
22328.92238,3001,3530.749529
5962.821226,781,3568.701133
22626.150521,3001,3678.088909
3423.300288,454,3682.447775
16861.504746,2204,3760.716827
6131.997068,803,3799.735389
22019.489333,3001,3937.94761
6502.405308,873,3950.452586
4979.195222,659,4028.570038
3859.560696,507,4032.870141
22312.250925,3001,4135.12498
