#{"t_start": 1784742132.3643782, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
298.401831,49,0.125432
608.494213,85,0.316494
335.821048,52,0.442797
517.23599,75,0.61731
618.645398,88,0.829745
414.306657,63,0.975071
299.624123,49,1.090999
281.563573,47,1.195867
409.242383,60,1.331589
455.821919,68,1.482269
576.868174,82,1.662531
188.55446,35,1.738753
319.556386,51,1.850234
525.724128,76,2.017567
313.983749,50,2.126863
340.804844,52,2.241033
404.582363,65,3.171653
354.983183,59,3.299487
438.687441,65,3.442502
475.428407,71,3.595666
332.755736,54,3.714242
303.397552,50,3.824547
588.293123,84,4.01971
478.195819,70,4.171878
332.531649,52,4.286676
240.939923,40,4.373045
530.739433,78,4.545827
407.415832,61,4.677909
308.37016,51,4.790488
820.1815,115,5.410618
415.43361,64,5.558798
212.156934,38,5.646076
607.922284,88,6.622634
569.417564,81,6.806495
309.271372,52,6.920575
835.211065,119,7.181949
1113.266407,149,7.525469
654.23675,93,7.734089
523.713542,78,7.905748
704.668325,100,8.130063
391.041694,59,8.253786
273.389578,49,8.3641
821.416551,115,8.615981
240.951324,43,8.71194
346.933617,57,9.633864
345.580602,56,9.757433
608.594667,89,9.95276
283.51015,47,10.058386
797.135207,111,10.297268
309.676317,52,10.413956
903.471681,126,10.688281
604.910157,89,10.889106
385.585342,61,11.018799
555.400929,85,11.680087
293.822011,51,11.793508
715.73812,106,12.035494
432.42753,67,12.185911
404.288377,63,12.327987
787.908479,111,13.378396
625.915918,90,13.579328
316.526172,53,13.697854
452.829577,68,13.845312
491.843558,73,14.005799
971.442661,134,14.293844
451.786862,69,14.449765
447.445917,74,14.633234
1108.603432,153,14.967053
479.187748,78,15.138827
509.514907,80,15.312127
2423.595492,310,16.773145
491.961726,74,16.932184
790.217416,110,17.192553
930.955364,128,18.460549
820.092988,114,18.703972
1060.680911,147,19.018021
657.155342,95,19.217706
3140.278341,398,20.859959
3239.466215,420,21.750361
2833.686093,371,23.338597
766.606627,110,23.571084
5483.126479,686,28.874084
