#{"t_start": 1784741935.225247, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
445.442275,66,0.158982
428.916496,66,0.330709
305.907037,52,0.467121
418.778509,66,0.624544
385.280124,59,0.764344
248.098475,43,0.874922
262.374537,46,0.983493
192.997476,34,1.061468
307.647488,50,1.175005
686.012927,95,1.379544
342.274204,53,1.493322
224.247497,39,1.577232
463.180453,69,1.726793
787.14682,111,1.968913
650.505547,91,2.175323
741.861363,102,3.192851
606.583526,85,3.378212
755.751282,105,3.609906
459.47486,66,3.756219
624.118704,88,3.960041
337.851658,55,4.084843
471.882141,71,4.240254
382.864908,56,4.364275
951.603671,128,4.648232
347.297277,55,4.76867
619.679285,89,4.964331
186.671418,35,5.044766
251.152903,43,5.55416
198.988674,36,5.636212
306.745416,52,5.749899
549.836575,79,6.719924
674.885787,96,6.930985
367.75808,58,7.053713
647.309676,91,7.252862
400.274519,61,7.383679
387.807348,61,7.519093
528.516202,78,7.691809
427.784552,66,7.839205
309.827761,50,7.951232
587.704992,86,8.141586
172.331202,34,8.21776
341.073006,54,8.33637
691.921115,97,8.547421
271.697511,46,8.652493
608.544971,90,8.847685
522.924019,78,9.816663
608.315138,88,10.008024
1013.815303,137,10.303723
747.013727,104,10.532351
853.303872,118,10.795512
638.538915,93,11.000213
733.694955,102,11.734191
331.566099,55,11.854847
781.26446,107,12.092622
360.67076,55,12.216005
623.522334,92,12.416816
481.477674,75,13.394684
653.890836,92,13.60038
607.548158,89,13.798398
233.090105,39,13.889519
638.285312,91,14.088006
876.365554,120,14.353453
793.952371,108,14.61791
909.141698,124,14.892013
565.11036,82,15.070531
590.563893,83,15.251706
399.511313,61,15.387295
897.308659,121,16.435441
582.470971,83,16.61254
807.073034,110,16.849329
882.216957,123,17.117471
1501.146584,198,18.73343
934.417308,125,19.002569
1388.001902,186,19.400506
535.051706,78,19.568128
1216.458133,162,20.712058
7130.917689,893,22.657479
24658.118455,3001,39.142037
