episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
1,2000,1,smoke_nominal,0.0,0.9913133720568406,-29675.47011987934,-14.837735059939671,2000,0,0,0,2.9918634701442692,1.7991228093856428,90.765
2,4000,1,smoke_nominal,0.0,0.9827022771517421,-29699.03097157673,-14.849515485788364,2000,0,0,0,3.00247495635392,1.757047736592502,90.96
3,6000,1,smoke_nominal,0.0,0.9741660585005213,-29802.235684387604,-14.901117842193802,2000,0,0,0,3.028320905948028,1.3989030375055196,90.18
4,8000,1,smoke_nominal,0.0,0.9657040650299457,-29831.120468007484,-14.915560234003742,2000,0,0,0,3.0344158119954034,1.4153613654954316,90.6
5,10000,1,smoke_nominal,0.0,0.9573156513280753,-29682.75664275748,-14.84137832137874,2000,0,0,0,2.9925883047583612,1.7921377768995226,88.98
6,12000,1,smoke_nominal,0.0,0.9490001775950351,-29686.03376883582,-14.84301688441791,2000,0,0,0,2.994828507324424,1.8151924290770964,90.045
7,14000,1,smoke_nominal,0.0,0.940757009594217,-29809.031206541404,-14.904515603270703,2000,0,0,0,3.026642183120718,1.5298202923412545,88.005
8,16000,1,smoke_nominal,0.0,0.9325855186039057,-29766.002392917406,-14.883001196458704,2000,0,0,0,3.0198939709088743,1.6052624478343531,92.1
9,18000,1,smoke_nominal,0.0,0.9244850813693237,-29641.580713076983,-14.820790356538492,2000,0,0,0,2.9864219645764822,1.7856791405611503,90.12
10,20000,1,smoke_nominal,0.0,0.9164550800550958,-29692.948791820356,-14.846474395910178,2000,0,0,0,2.9942805852662824,1.7731176059249802,90.96
11,22000,1,smoke_nominal,0.0,0.9084949021981249,-29624.985829599063,-14.812492914799531,2000,0,0,0,2.992011610316608,1.7126248506844608,91.47
12,24000,1,smoke_nominal,0.0,0.9006039406608787,-29520.367609984867,-14.760183804992433,2000,0,0,0,2.956307754552786,2.09937592897669,92.7
13,26000,1,smoke_nominal,0.0,0.8927815935850819,-29698.379675182885,-14.849189837591442,2000,0,0,0,3.002252754950392,1.703713104657774,90.105
14,28000,1,smoke_nominal,0.0,0.8850272643458111,-29725.703830148508,-14.862851915074254,2000,0,0,0,3.0030373296809376,1.6136362373138178,88.62
15,30000,1,smoke_nominal,0.0,0.8773403615059902,-29631.124028462906,-14.815562014231453,2000,0,0,0,2.9892990359681963,1.8049602554943718,93.855
16,31347,2,smoke_dr_0.10,0.1,0.09959680584824002,-20075.12729184938,-14.903583735597165,1347,0,0,0,3.047224261501834,0.97735478691633,89.75501113585746
17,33347,2,smoke_dr_0.10,0.1,0.09900148043221249,-27212.47496873059,-13.606237484365295,2000,0,0,0,2.740004275174502,3.1354458983744915,96.9
18,35347,2,smoke_dr_0.10,0.1,0.09841011065218798,-18123.024607585066,-9.061512303792533,2000,0,0,0,2.0751951639779134,8.218592748890151,107.505
19,37347,2,smoke_dr_0.10,0.1,0.0978226702249678,-19382.35791744696,-9.69117895872348,2000,0,0,0,2.1538557478270057,7.78847154711411,94.56
20,39347,2,smoke_dr_0.10,0.1,0.09723913304199183,-19977.26589113223,-9.988632945566115,2000,0,0,0,2.1692660006827356,7.6135987413156565,101.58
21,40000,2,smoke_dr_0.10,0.1,0.09704944904338053,-6090.2597487536805,-9.326584607586035,653,0,0,0,2.094137030705588,8.155901297745498,110.39816232771823
