#{"t_start": 1784741741.1829505, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
227.259964,38,0.102607
199.145748,35,0.181759
321.596247,52,0.306242
432.55463,65,0.459016
374.090677,57,0.593623
402.63563,61,0.745605
342.194419,54,0.874706
413.226414,61,1.02206
295.277916,47,1.130591
846.292117,114,1.383461
274.791846,44,1.47957
415.841242,64,1.624277
364.52446,57,1.751092
289.116741,48,1.854106
659.423835,95,2.066257
443.554649,66,2.213674
692.158323,97,3.223869
361.248356,57,3.350522
231.900523,39,3.437707
225.945101,41,3.528695
549.721913,80,3.718002
277.95371,48,3.824731
281.056669,49,3.935734
393.308463,60,4.071318
376.930713,58,4.197787
428.593415,64,4.34894
588.017224,85,4.541698
250.713364,42,4.636678
649.306907,89,4.837159
319.882304,53,4.952652
274.91007,46,5.057527
237.476292,42,5.535589
325.746122,51,5.648981
349.382437,54,5.77091
309.332403,51,6.700243
625.602788,93,6.909918
405.610788,63,7.048637
527.839393,77,7.221763
556.633898,80,7.40171
386.287701,64,7.544868
679.737238,95,7.758403
266.706549,46,7.860356
641.945209,90,8.060693
473.830946,72,8.221494
284.14921,48,8.32934
489.222534,72,8.491072
262.825944,47,8.596916
397.871413,61,8.732954
217.94114,44,8.83187
643.800947,92,9.836723
489.578214,73,9.99454
353.558191,58,10.121442
324.538387,55,10.242823
551.079364,81,10.422833
511.210738,75,10.588817
556.396687,81,10.765179
1166.268441,158,11.116627
479.466115,74,11.707325
195.201647,35,11.783708
533.584587,81,11.961235
580.022153,82,12.143548
373.886071,64,12.286569
492.395623,75,13.241195
607.171766,89,13.436345
1018.447754,137,13.788017
935.463541,128,14.068145
742.786997,107,14.306508
1025.483384,140,14.622061
426.115051,70,14.774965
430.036069,68,14.921736
709.933819,99,15.142072
758.630031,105,15.373233
896.626612,123,16.441149
574.801987,86,16.628351
391.613497,62,16.769284
940.960292,132,17.063325
739.495723,104,17.297877
493.669743,74,17.461286
1082.24321,148,18.471955
1320.680719,175,18.868538
734.031145,104,19.092021
896.147841,124,20.157143
1500.462037,199,20.598202
2154.968881,285,21.2069
2427.670211,309,21.860162
616.162508,91,22.060323
7702.496478,960,28.909725
