#{"t_start": 1784835310.49443, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
283.26411,45,0.119588
529.519062,77,0.284043
255.277179,43,0.375709
588.658297,84,0.558994
372.416201,57,0.683044
275.331885,45,0.78478
564.822119,82,0.971311
188.460444,34,1.048207
489.876797,72,1.208324
330.561824,53,1.330937
310.686691,47,1.437424
413.128722,65,1.585936
260.129341,42,1.680777
353.287205,55,1.804591
420.592658,66,1.950704
595.103916,88,2.14476
343.38043,53,2.263782
536.825004,78,3.11181
575.476465,82,3.29621
393.266126,60,3.429295
364.648769,55,3.565067
470.839466,70,3.721399
438.252674,64,3.867452
263.546733,43,3.960897
317.934333,51,4.075688
310.815522,48,4.183797
289.468307,46,4.288045
415.642005,67,4.437449
312.062926,50,4.54883
326.165113,54,4.666942
377.084084,60,4.802793
253.498268,42,4.895997
327.386722,51,5.006546
592.011854,91,5.206748
897.30244,123,6.114771
751.147909,104,6.34885
641.419868,92,6.556167
345.571151,54,6.675899
250.937762,43,6.772664
905.727176,122,7.045444
487.36151,71,7.199862
402.047653,62,7.339744
727.991713,100,7.562477
606.46556,87,7.760047
225.573752,41,7.849829
255.132776,44,7.949575
446.356657,67,8.098741
405.168899,60,8.861089
420.638828,66,9.016447
361.480991,58,9.141202
452.065758,68,9.294646
368.559619,57,9.423964
735.703668,100,9.644379
471.164168,73,9.804323
826.076381,117,10.065489
1043.675937,140,10.373059
636.470112,89,10.57014
972.745897,133,10.869302
807.998958,111,11.745733
397.101102,61,11.87725
743.017762,103,12.107186
455.188069,69,12.264619
612.4845,87,12.457965
600.61997,84,12.641064
479.3224,70,12.794276
758.402641,104,13.023926
278.643134,46,13.129014
396.956533,64,13.273018
1043.002502,141,13.586891
530.615105,77,13.762518
593.39804,85,13.950997
1182.964907,158,14.935412
1261.83275,167,15.30083
1069.047503,143,15.61647
726.261794,102,15.844508
607.078534,88,16.040076
849.406913,116,16.291773
1585.078779,205,16.744859
968.786246,131,17.663568
549.49574,81,17.842598
858.20665,120,18.111014
761.264344,104,18.338723
908.851966,124,18.61184
608.400446,89,18.806587
1065.772872,142,19.113448
878.535767,120,19.37326
862.899459,117,19.626287
1389.216168,181,20.651141
965.886549,130,20.934105
1104.536755,147,21.256651
1202.04942,160,21.606525
845.700076,115,21.856783
916.666973,124,22.130846
759.613758,105,22.3651
954.696087,129,22.646652
2676.415211,339,24.031034
666.689854,94,24.231427
812.207685,114,24.478562
1936.983309,249,25.014993
2324.285927,298,26.29679
1705.205299,220,26.772814
1094.034931,147,27.090592
1313.024424,172,27.464378
2933.483034,369,28.259914
555.092965,84,29.068307
1174.685884,156,29.415176
2170.83966,279,30.021917
1476.586782,193,30.448925
2414.265841,306,31.119744
1546.25059,202,32.199311
2874.582914,361,32.977408
1424.846553,187,33.378926
1139.890024,151,33.700585
1840.814539,237,34.835647
3992.237632,498,35.915561
3130.073376,394,36.760557
3093.401684,390,38.220755
4728.819259,587,39.479218
7927.361395,977,42.199692
24700.156863,3001,50.497788
24718.210654,3001,58.816525
24728.548357,3001,67.101089
24732.279376,3001,75.458343
24739.906944,3001,83.793892
24723.455998,3001,98.653587
24738.856018,3001,107.003203
24744.047326,3001,115.331057
24733.855521,3001,123.722683
24745.775982,3001,132.156137
24741.553841,3001,140.579302
24733.523322,3001,149.039778
24749.816408,3001,156.847968
24738.616514,3001,165.331934
24748.8324,3001,173.869734
24730.22854,3001,188.954966
24750.253016,3001,197.385994
24739.142131,3001,205.856881
24746.753064,3001,214.358628
24747.85872,3001,222.81525
24739.352658,3001,231.221329
24745.962208,3001,239.63902
24750.590215,3001,248.105865
24745.061818,3001,256.574126
24716.134495,3001,265.030365
24689.09535,3001,273.446939
24738.261164,3001,287.799758
24747.102068,3001,296.195289
24752.288732,3001,304.59185
24748.109209,3001,312.953188
24754.131395,3001,321.316474
24739.617577,3001,329.724043
24739.462034,3001,338.136219
24751.02019,3001,346.492866
24754.436845,3001,354.881556
24752.672873,3001,363.214237
