#{"t_start": 1784737114.1285765, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
841.746506,114,0.273101
381.843932,58,0.408463
222.541055,39,0.494768
550.146705,79,0.668613
331.821264,54,0.787297
361.450578,56,0.915732
305.590556,49,1.023878
222.491097,38,1.110582
343.495544,55,1.23135
265.223362,43,1.332497
284.841507,48,1.440734
319.144122,52,1.553728
272.393627,45,1.653519
356.597987,57,1.781282
270.509469,48,1.888671
303.024674,49,1.999408
378.510449,57,2.123189
455.995742,67,2.274673
209.574593,41,3.160286
449.495678,67,3.316116
328.527635,56,3.441196
275.462118,45,3.552611
552.986988,84,3.737205
341.834441,53,3.855537
505.437556,74,4.029505
772.51232,107,4.267337
239.051709,39,4.353803
360.12304,55,4.474586
594.567214,84,4.658744
668.137414,95,4.868293
441.027088,67,5.017984
289.275569,50,5.565958
272.871902,46,5.666888
516.522184,75,5.828772
753.964476,105,6.886521
250.739278,43,6.978753
848.54869,120,7.246458
609.010397,86,7.44271
609.629366,90,7.650856
717.294417,103,7.878846
804.827159,113,8.128378
353.529868,55,8.251777
329.812476,55,8.378552
375.904168,65,8.523816
508.931378,74,8.686787
314.530417,50,8.796866
264.413717,44,8.895454
845.558134,118,9.95081
357.009393,59,10.078055
575.271536,87,10.26677
444.261584,70,10.424896
933.210129,125,10.699564
702.304351,96,10.913144
533.024213,81,11.093425
611.363361,92,11.851954
407.249701,64,11.9931
815.260359,114,12.243593
498.151698,76,12.413521
391.009414,63,12.558217
908.69526,125,13.634094
1084.199401,144,13.947756
1176.735187,160,14.298808
665.691911,96,14.508714
852.365228,118,14.779208
769.373815,109,15.019828
926.327736,129,15.309582
782.177448,112,15.554786
361.268316,60,16.497895
578.374136,85,16.682257
638.771776,94,16.88244
1175.376224,161,17.241349
983.950511,140,18.236555
1117.071903,152,18.57012
685.004621,100,18.796108
745.536457,106,19.021918
1176.160415,160,20.159245
963.239918,134,20.457432
773.033562,109,20.735092
813.601687,113,20.987931
1288.143335,172,21.368294
1108.766987,150,21.69079
1094.036816,153,22.022423
979.510106,136,22.321347
571.312097,83,23.306997
737.853786,106,23.538157
1168.478084,160,23.883159
1272.534888,171,25.248531
1271.474115,173,25.617277
764.762295,112,25.854001
1011.962243,143,26.157982
1869.042338,252,27.515617
1302.484776,177,27.886278
926.165296,130,28.165084
1090.194323,147,28.483333
1281.417953,174,28.853747
1122.684408,157,29.187587
1225.251026,166,30.340228
2626.144096,354,32.39446
2820.61747,376,33.20113
