#{"t_start": 1784737705.0409791, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
412.493388,63,0.14902
237.490208,43,0.245385
460.054851,69,0.40292
277.631958,45,0.505504
456.365192,67,0.674953
245.844528,43,0.773823
410.274232,62,0.910134
313.838913,50,1.021
358.830093,55,1.141191
323.291785,51,1.252914
741.511349,102,1.481583
760.649856,104,1.759104
306.193566,49,1.868749
721.517517,99,2.081829
295.661717,49,2.188932
581.605856,81,3.182198
222.482103,38,3.268769
630.448799,88,3.461095
367.888677,58,3.589425
530.209627,78,3.772454
820.256162,112,4.021704
519.572725,77,4.19709
527.635852,81,4.375874
870.126681,119,4.639794
232.176652,42,4.729011
304.140063,48,4.838647
582.520579,83,5.027356
445.173957,68,5.641718
365.210048,57,5.769358
758.724745,106,6.843249
518.592535,76,7.026631
439.47586,68,7.183405
446.280564,68,7.333281
558.859818,83,7.525203
385.875833,61,7.659696
571.622081,83,7.842969
472.640396,70,8.00943
395.896753,60,8.142864
289.713913,50,8.253637
628.735045,90,8.451748
360.751992,59,8.586679
902.357587,127,8.86539
301.609482,53,8.986286
410.087396,64,9.935326
571.248235,83,10.128434
633.097067,88,10.326002
540.11093,78,10.502189
1996.027754,258,11.068841
474.30939,70,11.22431
632.526616,92,12.315161
577.052824,84,12.497268
1980.991314,268,13.909064
1956.268082,255,14.466432
777.336464,107,14.696378
2316.992916,297,15.361178
1222.832497,163,15.707612
3319.179777,419,17.39407
1418.571884,187,17.79492
2718.321509,345,21.718306
4293.488237,539,23.706506
4750.588821,601,25.004588
23572.650824,3001,41.036747
